"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","F10508158","W","3700","300 NE 3rd Avenue Unit#3207S","Ombelle Fort Lauderdale Ombelle Fort Lauderdale","","$1,455,070","","2","2","0","1,298","Condo","2028","2","","No","",""
"1","A11947064","W","3480","1207 SW 21st St","FLORAL RIDGE ADDITION ","","$1,360,500","","6","5","0","¤3,668","Single","2004","0","Yes","No","Detached","¤6,599"
"1","A11902865","W","3740","1608 SW 5th Ct","GILL ISLES ","","$1,355,000","","3","2","0","¤1,939","Single","1957","0","Yes","Yes","Attached","¤7,475"
"1","A11858027","W","3380","1233 NE 12th Ave","LAKE RIDGE ","","$1,290,000","","4","4","1","2,600","Single","2025","1","Yes","No","Attached","¤6,748"
"1","F10540743","W","3470","301 SW 14 Way","River Highlands 10-3 B ","","$1,280,000","","2","2","0","1,054","Single","1971","0","No","Yes","","8,652"
"1","A11722190","W","3800","200 W Broward Blvd Unit#3205","Natiivo Fort Lauderdale Natiivo Fort Lauderdale","","$1,250,000","","2","2","","","Condo","2027","2","","No","",""
"1","F10544401","W","3270","302 NE 8th Avenue Unit#0","VICTORIA'S POINT VICTORIA'S POINT","","$1,175,000","","3","3","1","2,587","Townhouse","2007","2","","No","",""
"1","A11972886","W","3600","1524 SE 12th St Unit#6","LA CASA DEL RIO VISTA CON LA CASA DEL RIO VISTA CON","","$1,159,000","","2","2","1","¤1,597","Townhouse","1982","0","","Yes","",""
"1","F10525461","W","3380","1616 NE 17th Avenue","Progresso 2-18 D ","","$1,149,000","","3","2","0","2,080","Single","1978","0","No","No","","9,450"
"1","F10508160","W","3700","300 NE 3rd Avenue Unit#2808S","Ombelle Fort Lauderdale Ombelle Fort Lauderdale","","$1,107,075","","2","2","0","1,035","Condo","2028","2","","No","",""
"1","B26033213","W","3390","301 NW 26th Court","BABCO HEIGHTS ","","$1,100,000","","4","4","0","2,736","Single","1957","","Yes","No","","9,965"
"1","A11722225","W","3800","200 W Broward Blvd Unit#3602","Natiivo Fort Lauderdale Natiivo Fort Lauderdale","","$1,086,000","","2","1","","","Condo","2027","2","","No","",""
"1","B26013693","W","3380","1044 N Victoria Park Road","LINEO ","","$1,075,000","","3","3","1","1,988","Townhouse","2022","2","Yes","No","","1,428"
"1","B26015599","W","3280","347 N New River Drive Unit#1104","WATERGARDEN CONDO ","","$1,067,000","","3","2","0","1,469","Condo","2004","1","Yes","Yes","","0"
"1","A11936888","W","3390","8 W St","BABCO PARK ","","$1,049,750","","4","3","0","¤2,208","Single","1966","2","Yes","No","Attached","¤11,941"
