"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","A11905995","C","3280","430 Royal Plaza Dr","STILWELL ISLES ","","$14,900,000","","5","5","1","6,024","Single","2026","6","Yes","Yes","Detached","¤12,000"
"1","F10505791","C","3280","10 Pelican Drive","Pelican Isle 21-19 B ","","$14,700,000","","7","7","1","8,535","Single","2014","3","Yes","Yes","","14,313"
"1","F10449541","C","3280","821 SOLAR ISLE DR","RIVIERA ","","$14,495,000","","6","7","2","9,510","Single","2011","2","Yes","Yes","",""
"1","F10474218","C","3280","621 Riviera Drive","Riviera 6-17 B ","","$14,299,000","","5","6","1","6,619","Single","2022","3","Yes","Yes","","12,500"
"1","F10382531","C","3600","1015 N Rio Vista Blvd","Rio Vista C J Hectors Res ","","$13,990,000","","4","4","1","0","Single","2014","2","Yes","Yes","","22,786"
"1","A11761184","C","3280","2605 Castilla Isle","LAUDERDALE SHORES REAMEN ","","$13,500,000","","7","4","2","6,000","Single","2025","3","Yes","Yes","Attached","¤11,800"
"1","F10505250","C","3170","2519 Lucille Dr","Lucille Island 37-19 B ","","$12,995,000","","6","6","2","7,190","Single","2020","3","Yes","Yes","","11,875"
"1","F10500263","C","3260","1317 Middle River Dr","Beach Way Heights ","","$12,950,000","","8","8","2","10,161","Single","2007","4","Yes","Yes","","14,250"
"1","A11812745","C","3280","630 Isle Of Palms Dr","STILWELL ISLES ISLES OF P ","","$12,950,000","","7","7","1","7,000","Single","2025","3","Yes","Yes","Detached","¤12,999"
"1","A11404959","C","3280","630 Isle Of Palms Dr","STILWELL ISLES ISLES OF P ","","$12,950,000","","7","7","1","7,000","Single","2025","3","Yes","Yes","Detached","¤12,999"
"1","F10538052","C","3280","2617 AQUA VISTA BLVD","LAS OLAS SEVEN ISLES ","","$12,900,000","","4","3","0","3,200","Single","1970","2","Yes","Yes","",""
"1","F10441120","C","3260","2733 NE 16th St","CORAL RIDGE ","","$12,000,000","","5","6","1","7,545","Single","2024","3","Yes","Yes","","12,500"
"1","F10457138","C","3280","24 Fiesta Way","Nurmi Isles Island 3 ","","$11,975,000","","6","6","1","6,479","Single","2024","3","Yes","Yes","","10,200"
"1","F10448416","C","3160","623 Bayshore Dr","Birch Ocean Front Sub 2 ","","$11,900,000","","12","11","0","8,134","Single","1949","0","Yes","Yes","","17,000"
"1","A11566086","C","3300","2932 N Atlantic Blvd","LAUDERDALE BEACH ","","$11,850,000","","0","0","","","Single","2024","0","No","Yes","Detached","¤18,112"
"1","F10411706","C","3160","151 N Seabreeze blv Unit#2702PH-S","SELENE OCEANFRONT RESIDEN SELENE OCEANFRONT RESIDEN","","$11,799,000","","3","5","1","5,183","Condo","2025","3","","Yes","",""
"1","F10415347","C","3600","1739 SE 11th St","Rio Vista Isles ","","$11,500,000","","7","6","1","8,424","Single","2016","6","Yes","Yes","","14,875"
"1","F10460922","C","3160","151 N Seabreeze blv Unit#2602PH-E","SELENE OCEANFRONT RESIDEN SELENE OCEANFRONT RESIDEN","","$11,399,000","","3","4","1","5,183","Condo","2025","3","","Yes","",""
"1","A12004015","C","3160","3030 N Atlantic Blvd","LAUDERDALE BEACH ","","$11,000,000","","3","3","0","¤2,112","Single","1950","2","No","Yes","Detached","¤12,596"
"1","B26003169","C","3280","2520 Delmar Place","GOULD ISLAND ","","$10,999,000","","7","6","3","6,872","Single","2028","3","Yes","Yes","","9,150"
"1","F10500157","C","3280","2617 Aqua Vista Blvd","Sea Island ","","$10,900,000","","4","3","0","2,664","Single","1970","2","Yes","Yes","","12,428"
"1","F10448622","C","3280","2617 Aqua Vista Blvd","AQUA VISTA LAS OLAS 7ISLE ","","$10,900,000","","9","10","0","10,000","Single","2025","6","Yes","Yes","",""
"1","F10425455","C","3280","500 Isle Of Capri Drive","VENICE RESUB IN BLKS 3&4 ","","$10,900,000","","6","7","1","7,788","Single","2015","4","Yes","Yes","","16,500"
"1","R10998664","C","3280","510 Coral Way","Coral Isles ","","$10,700,000","","6","5","1","5,625","Single","1990","2","Yes","Yes","","10,500"
"1","F10551402","C","3280","2400 Barcelona Drive","Sea Island ","","$10,499,000","","6","6","2","6,058","Single","2026","3","Yes","Yes","","10,400"
"1","F10477419","C","3280","520 San Marco Dr","Coral Isles 15-60 B ","","$10,250,000","","6","7","1","6,363","Single","2001","3","Yes","Yes","","11,000"
"1","F10498917","C","3160","1813 N Fort Lauderdale Beach Blvd","Las Olas By The Sea ","","$10,000,000","","5","5","1","5,049","Single","2024","3","Yes","Yes","","7,827"
"1","A11588251","C","3280","400 Mola Ave","Venice 6-4 B ","","$10,000,000","","6","5","1","6,036","Single","2022","3","Yes","Yes","Detached","¤14,080"
"1","F10532657","C","3170","2200 Inlet Drive","Harbour Heights Add Amd 3 ","","$9,999,000","","4","4","1","3,254","Single","1988","3","Yes","Yes","","12,500"
"1","F10403202","C","3260","797 Middle River Dr","SUNRISE INTRACOASTAL ","","$9,990,000","","6","5","2","6,994","Single","2018","5","Yes","Yes","","17,195"
"1","A11586052","C","3260","2010 Intracoastal Dr","CORAL RIDGE NORTH ","","$9,950,000","","5","6","1","¤5,332","Single","2024","3","Yes","Yes","Attached","¤10,426"
"1","A11902077","C","3280","520 San Marco Dr","CORAL ISLES ","","$9,900,000","","6","7","1","¤4,995","Single","2000","3","Yes","Yes","Attached","¤11,000"
"1","F10471484","C","3280","607 3rd Key Dr","Sunrise Key 45-6 B ","","$9,900,000","","0","0","0","0","Single","2026","20","No","Yes","","28,000"
"1","A11924369","C","3260","2218 NE 16th St","BAL HARBOUR 1ST ADD ","","$9,750,000","","5","7","","6,500","Single","2025","3","Yes","Yes","Detached","¤8,844"
"1","F10449490","C","3280","401 Lido Dr","LAS OLAS ","","$9,295,000","","8","8","1","6,845","Single","2022","3","Yes","Yes","","10,500"
"1","F10493438","C","3280","401 Lido Dr","Las Olas Isles ","","$8,995,000","","8","8","1","6,845","Single","2022","3","Yes","Yes","","10,500"
"1","F10466620","C","3160","3108 NE 26th ST","LAUDERDALE BEACH EXT ","","$8,950,000","","6","7","2","6,482","Single","2025","3","Yes","Yes","","11,528"
"1","B26012645","C","3600","1607 SE 12th Court","LAUDERDALE HARBORS SEC A R ","","$8,900,000","","4","4","0","2,889","Single","1953","2","No","Yes","Substantially Remodeled","17,600"
"1","F10455544","C","3600","1637 SE 14th St","Lauderdale Harbors ","","$8,900,000","","7","6","2","5,765","Single","2024","2","Yes","Yes","","7,700"
"1","A11863116","C","3280","401 Lido Dr","Las Olas Isles ","","$8,700,000","","8","8","1","¤6,446","Single","2022","3","Yes","Yes","Detached","¤10,500"
"1","A11719633","C","3280","401 Bontona Ave","VENICE RESUB OF BLKS 5 & ","","$8,500,000","","5","5","3","6,026","Single","2025","4","Yes","Yes","Attached","¤9,488"
"1","F10489005","C","3600","1500 SE 14th","Lauderdale Harbors Sec A ","","$8,499,000","","5","6","2","8,433","Single","2025","6","Yes","Yes","",""
"1","F10464077","C","3600","1500 SE 14th St","Lauderdale Harbors Sec A ","","$8,499,000","","5","6","2","8,433","Single","2025","6","Yes","Yes","","8,800"
"1","F10429391","C","3260","2849 NE 29th St","Coral Ridge Galt Add 1 ","","$8,395,000","","5","6","2","6,436","Single","2025","3","Yes","Yes","","10,004"
"1","F10489042","C","3260","2870 NE 24th Place","Coral Ridge Galt Add 27-4 ","","$8,000,000","","5","5","0","5,003","Single","2017","2","Yes","Yes","","10,000"
"1","F10489043","C","3260","2836 NE 29th St","Coral Ridge Galt Add 1 ","","$8,000,000","","4","6","1","5,947","Single","2025","3","Yes","Yes","","10,004"
"1","F10493352","C","3280","625 ISLE OF PALMS DR","Las Olas Isles ","","$7,995,000","","6","5","1","6,970","Single","2000","3","Yes","Yes","","13,000"
"1","A11683479","C","3170","1236 E Lake Dr","HARBOR BEACH ","","$7,990,000","","5","5","1","6,366","Single","2026","3","Yes","No","Attached","¤13,050"
"1","A11610075","C","3260","1328 Seminole Dr","BEACH WAY HEIGHTS UNIT ","","$7,795,000","","4","4","0","¤6,788","Single","1999","2","Yes","Yes","Detached","¤12,651"
"1","A11783673","C","3280","401 Royal Plaza Dr","STILWELL ISLES ","","$7,700,000","","4","4","0","¤4,036","Single","2020","2","Yes","Yes","Detached","¤12,000"
"1","R11039532","C","3160","3021 NE 26th Street","LAUDERDALE BEACH EXT UNIT ","","$7,500,000","","6","7","1","9,894","Single","2026","3","Yes","Yes","","14,054"
"1","F10437387","C","3260","2406 Fryer Pt","Coral Ridge Galt Add 27-4 ","","$7,500,000","","5","6","1","5,940","Single","2024","2","Yes","Yes","","10,730"
"1","F10489342","C","3280","441 Royal Plaza Dr","Stilwell Isles 15-26 B ","","$7,500,000","","6","6","2","6,602","Single","2008","3","Yes","Yes","","12,000"
"1","F10491979","C","3260","920 Intracoastal Drive Unit#PH1","AQUABLU AQUABLU","","$7,495,000","","3","3","1","4,295","Condo","2018","3","","Yes","",""
"1","F10531793","C","3280","625 Isle Of Palms Drive","Las Olas Isles ","","$7,495,000","","6","5","1","6,970","Single","2000","3","Yes","Yes","","13,000"
"1","A11886978","C","3280","620 Solar Isle Dr","RIVIERA ","","$7,200,000","","4","5","1","¤3,949","Single","2025","2","Yes","Yes","Attached",""
"1","A11812148","C","3280","401 Bontona Ave","VENICE RESUB OF BLKS 5 & ","","$7,200,000","","5","5","2","6,026","Single","2025","2","Yes","Yes","Attached","¤9,488"
"1","A11927656","C","3600","1537 SE 13th St","LAUDERDALE HARBORS SECTIO ","","$7,000,000","","5","5","0","¤4,495","Single","2021","2","Yes","Yes","Detached","¤7,700"
"1","F10501528","C","3280","432 Coconut Isle Dr","Venice 8-12 B ","","$6,999,999","","6","6","2","6,046","Single","2020","6","Yes","Yes","","9,375"
"1","F10459472","C","3280","432 Coconut Isle Dr","Venice 8-12 B ","","$6,999,999","","6","6","2","6,046","Single","2020","6","Yes","Yes","","9,375"
"1","F10530763","C","3260","920 Intracoastal Drive Unit#PH1","AQUABLU AQUABLU","","$6,999,000","","3","3","1","4,295","Condo","2018","3","","Yes","",""
"1","F10468252","C","3160","2200 N Ocean Blvd Unit#n1501","Auberge Beach Auberge Beach","","$6,995,000","","3","4","0","3,422","Condo","2018","2","","Yes","",""
"1","F10392522","C","3170","2000 Harbourview Dr","Harbour Heights Add 35-21 ","","$6,995,000","","4","5","1","4,964","Single","2024","3","Yes","No","","8,500"
"1","F10481675","C","3280","620 Coral Way","Coral Isles 15-47 B ","","$6,995,000","","6","6","2","4,945","Single","2000","4","Yes","Yes","","10,500"
"1","F10341936","C","3280","2425 DELMAR PL","GOULD ISLAND ","","$6,995,000","","5","5","0","4,714","Single","2020","4","Yes","Yes","","9,000"
"1","A11545722","C","3260","2891 NE 28th St","CORAL RIDGE GALT ADD NO 1 ","","$6,990,000","","4","4","0","¤3,116","Single","1958","2","Yes","Yes","Attached","¤12,964"
"1","F10451340","C","3280","337 Coconut Isle Dr","Venice 8-12 B ","","$6,900,000","","5","6","1","4,511","Single","2024","2","Yes","Yes","","6,250"
"1","F10503466","C","3160","525 N Fort Lauderdale Beach Blvd Unit#1801","Four Seasons Four Seasons","","$6,750,000","","3","3","1","2,634","Condo","2022","2","","Yes","",""
"1","A11475483","C","3170","2537 Lucille Dr","LUCILLE ISLAND ","","$6,690,000","","4","4","","¤2,998","Single","1958","2","Yes","Yes","Attached","¤11,875"
"1","A11656760","C","3280","50 Isle Of Venice Dr Unit#50","NURMI ISLES ISLAND NO 4 NURMI ISLES ISLAND NO 4","","$6,600,000","","0","0","","","Unimproved Agri/Recreatn/Moblhome","1987","0","","Yes","",""
"1","F10509638","C","3260","2035 Intracoastal Dr","Coral Ridge North 28-37 B ","","$6,500,000","","7","7","1","6,147","Single","2025","3","Yes","No","","13,339"
"1","A11927281","C","3160","2200 N Ocean Blvd Unit#S1701","2200 FORT LAUDERDALE BEAC AUBERGE RESIDENCES","","$6,499,000","","3","5","0","¤3,301","Condo","2019","2","","Yes","",""
"1","A11472159","C","3280","168 Fiesta Way","NURMI ISLES ISLAND NO 3 ","","$6,390,000","","6","5","1","¤4,632","Single","1994","2","Yes","Yes","Attached","¤10,800"
"1","R10940290","C","3260","1335 Seminole Drive","BEACH WAY HEIGHTS UNIT B ","","$6,300,000","","5","6","1","6,627","Single","2001","3","Yes","Yes","Garden Apartment","9,900"
"1","F10532574","C","3470","522 SW 9th Terrace","TROPICAL POINT NO 2 ","","$6,299,888","","5","6","1","5,000","Single","2025","6","Yes","Yes","","11,415"
"1","A11532508","C","3280","307 Seven Isles Dr","BARCELONA ISLE ","","$6,295,000","","5","5","0","¤4,858","Single","2018","6","Yes","Yes","Detached","¤10,400"
"1","A11832249","C","3280","168 Fiesta Way","NURMI ISLES ISLAND NO 3 ","","$6,290,000","","5","5","1","¤4,632","Single","1998","2","Yes","Yes","Attached","¤10,800"
"1","F10509104","C","3280","30 Fiesta Way","Nurmi Isles Island 3 ","","$6,250,000","","7","6","0","5,510","Single","2000","3","Yes","Yes","","10,200"
"1","A11993250","C","3160","3318 NE 16th Pl","LAS OLAS BY THE SEA EXT ","","$6,000,000","","5","7","1","¤4,644","Single","2026","2","Yes","No","Attached","¤8,107"
"1","A11903266","C","3160","2508 Center Ave","LAUDERDALE BEACH ","","$6,000,000","","5","5","0","¤1,485","Single","2025","2","Yes","No","Detached","¤5,625"
"1","A11656973","C","3280","94-96 Hendricks Isle Unit#94","VICTORIA ISLES VICTORIA ISLES","","$6,000,000","","0","0","","¤4,252","Duplex","1956","0","","Yes","",""
"1","F10490810","C","3600","1523 SE 12th St","RIO VISTA ISLES ","","$5,975,000","","5","5","1","4,102","Single","2024","2","Yes","Yes","","8,125"
"1","A11732274","C","3160","2200 N Ocean Blvd Unit#N401","Auberge Beach Auberge Beach","","$5,950,000","","4","6","0","3,422","Condo","2018","2","","Yes","",""
"1","F10446505","C","3160","3318 NE 16th Pl","Las Olas By The Sea Ext 7 ","","$5,950,000","","6","7","0","4,600","Single","2025","2","Yes","No","","8,107"
"1","R11120604","C","3600","1740 SE 7th Street","RIO VISTA ISLES ","","$5,950,000","","6","5","0","3,034","Single","1965","2","Yes","Yes","","12,500"
"1","F10434171","C","3260","2210 Intracoastal Drive","Coral Ridge North 28-37 B ","","$5,900,000","","5","4","1","4,082","Single","2022","2","Yes","Yes","","12,000"
"1","A11783764","C","3380","1220-1226 NE 15th Ave","PROGRESSO 1220 townhomes","","$5,800,000","","17","13","","","Townhouse","2023","2","","No","",""
"1","R11046632","C","3280","516 Royal Plaza Drive","STILWELL ISLES ","","$5,775,000","","4","4","1","3,084","Single","1987","2","Yes","Yes","","12,000"
"1","A11574350","C","3160","3306 NE 16th St","LAS OLAS BY THE SEA EXT ","","$5,725,000","","5","5","1","","Single","2024","2","Yes","No","Detached","¤6,212"
"1","F10485191","C","3160","2100 N Ocean Blvd Unit#GPH30A","The Palms The Palms","","$5,650,000","","3","3","1","4,738","Condo","1999","2","","Yes","",""
"1","F10554863","C","3280","330 Royal Plaza Drive","Las Olas Isles ","","$5,650,000","","4","4","2","3,606","Single","1982","2","Yes","Yes","","12,000"
"1","A11506986","C","3260","2815 NE 26th Pl","CORAL RIDGE GALT ADD NO 1 ","","$5,649,000","","3","2","1","¤2,690","Single","2017","2","Yes","Yes","Attached","¤12,004"
"1","A11669884","C","3280","337 Coconut Isle Dr","Las Olas Isles ","","$5,595,000","","6","6","1","4,511","Single","2024","2","Yes","Yes","Detached","¤6,250"
"1","R11127874","C","3160","525 N Fort Lauderdale Beach Boulevard Unit#901","Four Seasons ","","$5,575,000","","2","2","1","2,031","Condo","2022","2","No","Yes","",""
"1","A11766572","C","3260","2816 NE 25th Ct","CORAL RIDGE GALT ADD ","","$5,500,000","","5","5","1","¤5,761","Single","2000","2","Yes","Yes","Detached","¤10,000"
"1","F10434794","C","3160","3325 NE 18th St","LAS OLAS BY THE SEA EXT ","","$5,499,000","","5","5","1","8,000","Single","2020","1","Yes","No","","9,403"
"1","A11530475","C","3160","3320 NE 17th St","LAS OLAS BY THE SEA EXT ","","$5,499,000","","6","6","","","Single","2024","2","Yes","No","Attached","¤6,236"
"1","B26000328","C","3280","122 Nurmi Drive","NURMI ISLES ISLAND NO 2 ","","$5,499,000","","4","7","0","4,821","Single","1992","2","Yes","Yes","","12,000"
"1","F10498525","C","3170","1628 Haskins Avenue","HARBOR BEACH ","","$5,490,000","","4","5","0","4,100","Single","2025","3","Yes","No","","14,546"
"1","F10436060","C","3160","151 N Seabreeze blvd Unit#E-2101","SELENE OCEANFRONT RESIDEN SELENE OCEANFRONT RESIDEN","","$5,449,000","","3","4","0","3,122","Condo","2025","2","","Yes","",""
"1","F10530178","C","3280","609 Poinciana Drive","Idlewyld ","","$5,395,000","","4","4","1","4,539","Single","2022","2","Yes","Yes","","6,250"
"1","A11681583","C","3260","2886 NE 25th St","CORAL RIDGE GALT ADD ","","$5,390,000","","4","5","1","¤4,022","Single","1971","1","Yes","Yes","Detached","¤6,962"
"1","A11734914","C","3160","2200 N Ocean Blvd Unit#N804","2200 FORT LAUDERDALE BEAC Auberge Beach Residences","","$5,350,000","","3","3","1","¤2,501","Condo","2018","2","","Yes","",""
"1","A11686638","C","3160","2613 Center Ave","LAUDERDALE BEACH ","","$5,299,999","","6","6","","4,000","Single","2024","2","Yes","No","Detached","7,731"
"1","F10463628","C","3800","100 E Las Olas Blvd Unit#4301","One Hundred Las Olas One Hundred Las Olas","","$5,250,000","","4","4","1","3,626","Condo","2020","2","","No","",""
"1","F10541384","C","3260","900 Intracoastal Drive Unit#2702","Sage Intracoastal Sage Intracoastal","","$5,225,000","","4","4","1","3,191","Condo","2025","2","","Yes","",""
"1","F10461931","C","3260","2406 NE 13th Court","Beach Way Heights ","","$5,200,000","","5","6","0","4,595","Single","2025","5","Yes","No","","13,000"
"1","F10435238","C","3260","2506 NE 14th St","Beach Way Heights ","","$5,200,000","","5","5","1","5,088","Single","2025","2","Yes","No","","10,500"
