"","MLS # Link","St","Area","Address","Subdivision/Complex","","List Price","Sale Price","#Beds","#FBaths","#HBaths","SqFt LA","Type of Property","Year Built","#Garage Spaces","Pool YN","Waterfront Property (Y/N)","Design","Lot SqFt"
"1","A11897948","AC","3700","1516 SE 1st St","COLEE HAMMOCK COLEE HAMMOCK","","$1,725,000","","5","4","0","¤3,066","Townhouse","2020","2","","No","",""
"1","F10544320","AC","3370","629 Kensington Place","Tropical Gardens Amd ","","$1,720,000","","4","3","1","3,678","Single","1970","2","Yes","Yes","","10,708"
"1","A12018291","AC","3170","2711 Mayan Dr","HARBOR BEACH ","","$1,699,000","","3","2","0","¤1,846","Single","1962","2","Yes","No","Detached","¤17,553"
"1","A12039362","AC","3270","736 NE 17th Way","VICTORIA HIGHLANDS ","","$1,688,000","","4","3","1","¤3,011","Single","2007","2","Yes","No","Detached","¤5,840"
"1","F10541236","AC","3280","100 E Las Olas Boulevard Unit#3004","100 E Las Olas Blvd 100 E Las Olas Blvd","","$1,549,000","","2","3","0","1,867","Condo","2020","1","","No","","0"
"1","A12024829","AC","3160","153 N Seabreeze Boulevard Unit#1403-S","SELENE OCEANFRONT SELENE OCEANFRONT","","$1,500,000","","2","2","1","1,416","Condo","2026","1","","No","",""
"1","A12002822","AC","3380","1122 NE 10th Ave Unit#A","Progresso Lake Ridge","","$1,495,000","","4","4","","2,814","Townhouse","2025","2","","No","",""
"1","A12002555","AC","3380","1122 NE 10th Ave Unit#B","PROGRESSO Lake Ridge","","$1,475,000","","4","4","","2,814","Townhouse","2025","2","","No","",""
"1","B26030697","AC","3270","648 NE 17th Avenue","VICTORIA PARK ","","$1,380,000","","3","2","1","1,888","Single","1941","","Yes","No","Ranch, Substantially Remodeled","6,972"
"1","B26019953","AC","3390","2812 NW 12th Avenue","JENADA ISLE ","","$1,350,000","","4","3","0","2,155","Single","1965","2","Yes","No","Ranch","9,866"
"1","B26008985","AC","3480","1328 SW 21st Court","RIVER OAKS ","","$1,340,499","","4","3","1","3,058","Single","2011","2","Yes","No","Substantially Remodeled","6,353"
"1","B26010633","AC","3600","1004 SE 11th Street","RIO VISTA ISLES ","","$1,330,000","","3","2","0","1,891","Single","1949","","No","No","Substantially Remodeled",""
"1","B26046727","AC","","333 Las Olas Way Unit#2906","LAS OLAS RIVER HOUSE CONDO ","","$1,250,000","","2","2","1","1,869","Condo","2004","1","No","No","","0"
