"","MLS # Link","St","Area","Address","","Current Price","Total Units","SqFt LA","Style ","Year Built","#Parking Spaces","Subdivision Name","Pool YN","Waterfront Property (Y/N)","Sale Price"
"1","A11724152","CS","3370","1827 N Dixie Hwy","","$480,000","","¤2,080","I03","1964","4","¤LAUDERDALE PARK 6-33 1/2","No","No","$480,000"
"1","F10471887","CS","3390","916 NW 26th St","","$692,500","2","1,705","I02","1975","4","BONNIE VILLAS","No","No","$692,500"
"1","F10446926","CS","3470","923 W Las Olas Blvd","","$634,900","2","2,112","I02","1972","4","Waverly Place 2-19 D","No","No","$634,900"
"1","F10535963","CS","3360","1644 NE 33RD ST","","$680,000","2","2,175","I02","1971","4","SIMPSON PLACE","No","No","$680,000"
"1","R11121045","CS","3370","823-825 NW 30th Court Unit#1-2","","$685,000","2","2,156","I02","1967","","OAKLAND BOULEVARD","No","No","$685,000"
"1","F10441161","CS","3370","53 NE 16th Pl","","$550,000","","2,673","I03","1951","4","Placido Place Resub 34-36","No","No","$550,000"
"1","A11612556","CS","3390","1509 NW 3rd Ave","","$607,500","3","2,000","I03","1938","6","¤PROGRESSO","No","No","$607,500"
"1","A11770585","CS","3400","1538 NE 5th Ave","","$670,000","","¤1,557","I02","1963","5","Middle river Terrace","No","No","$670,000"
"1","A11885801","CS","3450","901 NE 39th St","","$680,000","2","¤2,894","I02","1976","5","¤OAKLAND PARK SECOND ADD","No","No","$680,000"
"1","F10516851","CS","3480","931 - 933 SW 16th Pl","","$692,000","2","2,602","I02","1970","4","Mandarin Isle Add 69-13 B","No","No","$692,000"
"1","F10497723","CS","3480","944 SW 16th St","","$675,000","2","2,602","I02","1970","6","Mandarin Isle Add 69-13 B","No","No","$675,000"
"1","A11659870","CS","3360","1699 NE 33rd St","","$645,000","2","¤2,031","I02","1966","2","¤OAKLAND PARK SECOND ADD","No","No","$645,000"
"1","A11929493","CS","3370","1015 NE 17th Ct","","$705,000","2","¤1,821","I02","1959","4","¤LAUDERDALE PARK 6-33 1/2","No","No","$705,000"
"1","F10521329","CS","3480","1799 SW 22nd Street","","$620,000","2","2,160","","1977","","Osceola Park 9-46 B","No","No","$620,000"
"1","F10516175","CS","3480","1524 SW 22nd St","","$675,000","2","2,149","I02","1969","4","Marilynn Gardens 48-50 B","No","No","$675,000"
"1","A11953402","CS","3380","1427-1429 NE 17th Ct","","$635,550","2","¤1,708","I02","1961","6","Middle River Terrace","No","No","$635,550"
"1","F10445494","CS","3450","3620 NE 1st Ter","","$625,000","3","2,340","I03","1971","5","Feller Estates","No","No","$625,000"
"1","A11781717","CS","3470","1905 SW 11th St","","$600,000","","¤2,616","I02","1963","4","¤RIVERSIDE PARK","No","No","$600,000"
"1","F10520190","CS","3390","1345 N Andrews Ave #1-2","","$672,000","2","2,010","I02","1968","4","Progresso 2-18 D","No","No","$672,000"
"1","A11733595","CS","3390","417 NW 15th Ave","","$685,000","","¤1,988","I03","1961","4","¤DORSEY PARK FIRST ADD","No","No","$685,000"
"1","A11719715","CS","3270","928 N Victoria Park Rd","","$580,000","","¤1,393","I02","1970","4","¤PROGRESSO","No","No","$580,000"
"1","A11969747","CS","3380","1116 NE 15th Ave","","$605,000","","¤1,120","I02","1975","5","¤PROGRESSO","No","No","$605,000"
"1","A11915957","CS","3390","1035 NW 8th Ave","","$718,000","2","¤2,554","I02","1971","6","¤PROGRESSO","No","No","$718,000"
"1","F10504826","CS","3450","970 NE 38th St","","$659,000","","1,418","I03","1959","6","Oakland Park Second Add 1","No","No","$659,000"
"1","F10448290","CS","3460","645 NW 15th Ave","","$676,000","4","2,225","I04","1985","4","Dorsey Park 19-5 B","No","No","$676,000"
"1","F10534735","CS","3480","513 SW 15th St","","$706,000","","1,620","","1959","4","Lauderdale 2-9 D","No","No","$706,000"
"1","A11518731","CS","3360","1279 NE 40th Pl","","$620,000","3","1,720","I03","1990","6","CENTRAL CORALS","No","No","$620,000"
"1","F10477633","CS","3480","1811 SW 21st St","","$650,000","2","1,537","I02","1959","4","Osceola Park 9-46 B","No","No","$650,000"
"1","A11620139","CS","3720","281 NW 43rd St","","$660,000","3","¤2,403","I03","1971","6","¤PROSPECT GARDENS","No","No","$660,000"
"1","R10997906","CS","3380","1113-1115 NE 17th Terrace","","$600,000","","1,449","I02","1952","","PROGRESSO","No","No","$600,000"
"1","A11787315","CS","3450","460 NE 45th St","","$670,000","2","¤2,084","I02","1970","4","¤NORTH ANDREWS GARDENS 2ND","No","No","$670,000"
"1","A11684338","CS","3350","1042 NW 8th Ave","","$630,000","2","¤2,662","I02","1981","5","¤PROGRESSO","No","No","$630,000"
"1","B26007188","CS","3380","1516 N Dixie Highway Unit#1-2","","$600,000","2","1,944","","1959","","LAUDERDALE PARK 6-33 1/2","No","No","$600,000"
"1","F10470358","CS","3400","1471 NW 21st St","","$560,000","","2,052","I03","1973","4","Ft Lauderdale Estates 76-","No","No","$560,000"
"1","A11885085","CS","3450","3960 NE 8th Ave","","$600,000","2","¤2,015","I02","1963","6","¤OAKLAND PARK SECOND ADD","Yes","No","$600,000"
"1","A11904000","CS","3500","218 SW 14th Ct","","$615,000","2","¤6,168","I02","1953","4","¤LAUDERDALE","No","No","$615,000"
"1","F10454688","CS","3720","375 NW 40th Ct","","$650,000","4","2,858","I04","1973","6","Prospect Gardens 22-26 B","No","No","$650,000"
"1","A11940189","CS","3480","421 SW 14th Ct","","$615,000","2","¤1,642","I02","1966","6","Croissant Springs","No","No","$615,000"
"1","F10516235","CS","3480","2120 SW 18th Avenue","","$620,000","2","2,160","","1977","","Osceola Park 9-46 B","No","No","$620,000"
"1","A11935969","CS","3480","900 Mandarin Isle #1-2","","$667,000","2","¤2,764","I02","1976","6","Mandarin Isle","No","No","$667,000"
"1","F10500496","CS","3600","1715 SW 21st St","","$562,000","","1,741","","1969","4","Osceola Park 9-46 B","No","No","$562,000"
"1","F10418905","CS","3450","3779-3781 NE 10th Ave","","$600,000","2","1,380","I02","1958","5","Oakland Park Second Add 1","No","No","$600,000"
"1","F10539407","CS","3360","3280 NE 15th Ave","","$600,000","","1,847","","1967","4","Ocean Ave Heights 11-3 B","No","No","$600,000"
"1","F10485376","CS","3390","1201 NW 5th Ave","","$639,000","2","1,456","I02","1964","4","Progresso 2-18 D","No","No","$639,000"
"1","F10483221","CS","3390","1200 NW 3 Ave","","$610,000","","2,304","I02","1980","5","progresso","No","No","$610,000"
"1","F10501192","CS","3450","251 NE 40th Ct","","$637,000","","1,650","I02","1969","4","Boniello Gardens 1 Add 66","No","No","$637,000"
"1","F10550355","CS","3360","3200 NE 13th Avenue","","$500,000","2","1,633","","1961","","Oakland Park 2-38 B","No","No","$500,000"
"1","R11123704","CS","3380","1317 NE 1st Avenue","","$625,000","2","1,042","","1966","","PROGRESSO","No","No","$625,000"
"1","A11640621","CS","3380","1236 NE 12th Ave","","$626,000","","¤2,730","I02","1993","4","¤PROGRESSO","No","No","$626,000"
"1","A11687423","CS","3450","210 NE 41st St","","$620,000","4","¤3,179","I04","1969","8","¤BONIELLO GARDENS 2ND ADD","No","No","$620,000"
"1","F10513321","CS","3470","1004 W Las Olas Blvd","","$645,000","3","1,526","I03","1968","5","WAVERLY PLACE","No","No","$645,000"
"1","B26037587","CS","3500","210 SW 11th Street Unit#1-2","","$625,000","2","1,590","","1958","","CROISSANT PARK RIVER SEC","No","No","$625,000"
"1","A11640062","CS","3860","715 NW 15th Ter","","$624,000","","¤1,853","I03","1961","3","¤CARVER PARK","No","No","$624,000"
"1","A11681803","CS","3380","1116-1118 NE 15th Av","","$603,000","2","¤1,120","I02","1952","4","¤PROGRESSO","No","No","$603,000"
"1","F10491874","CS","3450","872 NE 40th St","","$575,000","2","1,458","I02","1958","5","OAKLAND PARK SECOND ADD","No","No","$575,000"
"1","R11022984","CS","3450","1086 NE 36th Street","","$590,000","2","1,196","","1958","","OAKLAND PARK SECOND ADD","No","No","$590,000"
"1","A11658553","CS","3390","1439 NW 8th Ave","","$500,000","","¤2,504","I02","1968","4","¤PROGRESSO","No","No","$500,000"
"1","F10447181","CS","3370","1232-1234 3rd Ave","","$580,000","3","2,000","I03","1951","5","Progresso","No","No","$580,000"
"1","F10506298","CS","3380","1116 NE 17th Ter","","$560,000","","1,553","I03","1953","3","Progresso 2-18 D","No","No","$560,000"
"1","F10390454","CS","3390","1040 NW 5th Ave","","$600,000","2","1,820","I02","1966","4","Progresso 2-18 D","No","No","$600,000"
"1","A11838002","CS","3400","1535 NE 5th Ter","","$600,000","","¤1,722","I02","1958","6","Middle river Terrace","No","No","$600,000"
"1","F10447743","CS","3360","3331 NE 16th Ave","","$540,000","2","1,456","I02","1964","4","Oakland Park Second Add 2","No","No","$540,000"
"1","A11950433","CS","3390","1221 NW 5th Ave","","$485,000","2","¤1,770","I02","1974","4","¤PROGRESSO","No","No","$485,000"
"1","A11722974","CS","3380","1601 NE 11th Ave","","$599,000","2","¤1,086","I02","1954","7","¤LAUDERDALE PARK 6-33 1/2","No","No","$599,000"
"1","A11962362","CS","3390","919 NW 13th St","","$560,000","3","¤1,478","I03","1955","8","¤LAUDERDALE MANORS ADD","No","No","$560,000"
"1","B26002896","CS","3450","902 NE 34th Street","","$580,000","3","1,472","","1949","","OAKLAND PARK SECOND ADD","Yes","No","$580,000"
"1","F10552329","CS","3450","1085 NE 34th Street","","$555,000","3","1,834","","1964","","Oakland Park Second Add 1","No","No","$555,000"
"1","A11781608","CS","3470","1901 SW 11th St","","$435,000","","¤1,820","I02","1960","4","¤RIVERSIDE PARK","No","No","$435,000"
"1","A11762963","CS","3470","804 SW 4th Street","","$515,000","2","1,400","I02","1944","5","Sailboat Bend","No","No","$515,000"
"1","B26000809","CS","3380","1010 NE 16th Street","","$586,500","2","812","","1988","","LAUDERDALE PARK 6-33 1/2","No","No","$586,500"
"1","A11820113","CS","3390","1410-1412 NW 8th Ave","","$585,000","","¤2,504","I02","1968","4","¤PROGRESSO","No","No","$585,000"
"1","F10521322","CS","3480","1530 SW 21st St","","$530,000","","1,822","I02","1969","4","Marilynn Gardens 48-50 B","No","No","$530,000"
"1","F10506375","CS","3500","341 SW 21st St","","$552,500","","1,029","I02","1951","2","Lauderdale 2-9 D","No","No","$552,500"
"1","F10496362","CS","3500","246 W Park Drive","","$580,000","2","1,573","I02","1955","2","CROISSANT PARK PARK SEC","No","No","$580,000"
"1","F10441415","CS","3460","1901 NW 14th Ave","","$560,000","","2,358","I03","1973","5","Ft Lauderdale Estates 76-","No","No","$560,000"
"1","A11841529","CS","3390","1437 N Andrews Ave","","$585,000","","¤1,948","I03","1959","7","¤PROGRESSO","No","No","$585,000"
"1","A11874270","CS","3380","1020 NE 16th Ter","","$515,000","","¤1,104","I02","1951","4","Lake Ridge Progresso","No","No","$515,000"
"1","F10508835","CS","3390","1238 NW 5th Ave","","$579,000","2","1,742","I02","1966","4","Progresso 2-18 D","No","No","$579,000"
"1","F10545347","CS","3400","1451 NW 20th Court","","$579,000","2","2,059","","1974","","FT LAUDERDALE ESTATES","No","No","$579,000"
"1","F10435813","CS","3470","834 - 836 SW 14th St","","$530,000","2","2,070","I02","1967","8","Island View 33-2 B","No","No","$530,000"
"1","F10485907","CS","3390","1345 NW 1st Ave","","$530,000","","1,235","I02","1953","6","PROGRESSO","No","No","$530,000"
"1","A11520618","CS","3390","1619 NW 8th Ave","","$560,000","","¤2,504","I02","1970","0","¤PROGRESSO","No","No","$560,000"
"1","F10463203","CS","3380","1405-1407 NE 17 St","","$590,000","2","1,428","I02","1959","5","Allenwood 7-51 B","No","No","$590,000"
"1","F10421905","CS","3390","1500 NW 6th Ave","","$576,000","2","2,770","I02","1956","4","PROGRESSO","No","No","$576,000"
"1","A11762803","CS","3390","1025 NE 3RD AVE","","$515,000","2","","I02","1953","4","Progreeso","No","No","$515,000"
"1","R11047791","CS","3490","217 SW 11th Court Unit#1-2","","$495,000","2","1,469","I02","1965","","CROISSANT PARK RIVER SEC","No","No","$495,000"
"1","F10504022","CS","3360","1573 NE 33rd St","","$405,000","2","1,670","I02","1924","3","Oakland Park Second Add 2","No","No","$405,000"
"1","A11598699","CS","3380","1505 NE 15th Ave","","$529,000","2","¤1,562","I02","1956","6","¤ALLENWOOD ADD","No","No","$529,000"
"1","F10503025","CS","3390","1326 NW 8th Ave","","$540,000","","2,480","I02","1968","4","Progresso 2-18 D","No","No","$540,000"
"1","F10555746","CS","3450","4331 NE 5th Avenue","","$517,000","2","1,441","","1964","","Annex Park 44-1 B","No","No","$517,000"
"1","A11619559","CS","3460","1016 NW 6th Ave","","$520,000","","¤1,350","I02","1985","2","¤PROGRESSO","No","No","$520,000"
"1","F10446941","CS","3470","925 W Las Olas Blvd","","$498,850","2","1,064","I02","1955","4","Waverly Place 2-19 D","No","No","$498,850"
"1","A11984894","CS","3480","850 SW 12th Ct","","$535,000","","¤1,928","I02","1968","4","¤ISLAND VIEW","No","No","$535,000"
"1","B26018247","CS","3600","707 SE 18th Street Unit#1-2","","$490,000","2","1,200","","1955","","EVERGLADE LAND SALES CO","No","No","$490,000"
"1","F10479600","CS","3470","1955 Riverside Dr","","$525,000","","2,006","I02","1958","6","Riverside Park 7-24 B","No","No","$525,000"
"1","R11010453","CS","3470","500 SW 10th Street","","$560,000","2","1,744","","1940","","LAUDERDALE","No","No","$560,000"
"1","F10469465","CS","3370","1233 NE 3rd Ave","","$530,000","","1,447","I02","1952","5","Progresso 2-18 D","No","No","$530,000"
"1","F10493231","CS","3550","841 NW 39th St","","$551,000","4","2,220","I04","1964","4","Lloyd Estates","No","No","$551,000"
"1","A11990001","CS","3570","1713 SW 11th Ct","","$540,000","","¤1,941","I02","1963","4","¤RIVERSIDE PARK ADD AMEN P","No","No","$540,000"
"1","F10538931","CS","3360","1539 NE 32nd St","","$529,000","","1,050","","1954","4","Ocean Ave Heights 11-3 B","No","No","$529,000"
"1","F10538929","CS","3370","1539 NE 32nd Street","","$529,000","2","1,050","","1954","","Ocean Ave Heights 11-3 B","No","No","$529,000"
"1","F10456635","CS","3360","1633 NE 32nd STREET  1-2","","$490,000","2","1,644","I02","1960","6","Simpson Place 9-53 B","No","No","$490,000"
"1","B26021650","CS","3390","1100 NW 3rd Avenue Unit#1-2","","$525,000","2","1,137","","1953","","PROGRESSO","No","No","$525,000"
"1","F10541961","CS","3390","1500 NW 2nd Avenue","","$320,000","2","744","","1973","","Progresso 2-18 D","No","No","$320,000"
"1","A11926886","CS","3390","1533 NW 2nd Ave","","$510,000","2","¤1,290","I02","1984","4","¤PROGRESSO","No","No","$510,000"
"1","F10474344","CS","3470","1405-1407 SW 9th St","","$450,000","2","1,625","I02","1958","4","RIVERSIDE ADD AMEN PLAT","No","No","$450,000"
"1","A11840154","CS","3311","805 NW 12th Ave","","$461,800","3","¤1,357","I03","1956","4","¤LINCOLN PARK THIRD ADD","No","No","$461,800"
"1","F10418656","CS","3390","1324 NW 5th Ave","","$475,000","","1,404","I02","1957","4","Progresso 2-18 D","No","No","$475,000"
"1","A11927760","CS","3460","1810 NW 9th St","","$520,000","","¤1,464","I02","1965","4","¤LAUDERDALE HOMESITES FIRS","No","No","$520,000"
"1","F10523799","CS","3360","1573 NE 33rd St","","$509,000","2","1,670","I02","1924","3","Oakland Park Second Add 2","No","No","$509,000"
"1","F10482186","CS","3370","1219 NE 5th Terrace","","$430,000","0","1,000","","1957","","Progresso 2-18 D","No","No","$430,000"
"1","B26030712","CS","3390","1135 NW 6th Avenue","","$500,000","2","1,440","","1958","","PROGRESSO","No","No","$500,000"
"1","F10538784","CS","3370","1444 NE 3rd Avenue","","$415,000","2","1,495","","1955","","PROGRESSO","No","No","$415,000"
"1","F10449623","CS","3390","1118-1120 NW 2nd Ave","","$495,000","","664","I02","1960","2","Progresso 2-18 D","No","No","$495,000"
"1","A11779091","CS","3590","1906 SW 8th St","","$485,000","","¤1,464","I02","1955","4","¤HAZELWOOD ACRES","No","No","$485,000"
"1","A11808134","CS","3390","1025 NW 3rd Ave","","$460,000","2","¤1,356","I02","1953","4","¤PROGRESSO","No","No","$460,000"
"1","A12016537","CS","3390","1440-1442 NW 5th Ave","","$475,000","","¤1,430","I02","1956","2","¤PROGRESSO","No","No","$475,000"
"1","A11831124","CS","3400","630 NW 15th Ter","","$460,000","","¤1,488","I02","1961","4","¤DORSEY PARK","No","No","$460,000"
"1","A11965234","CS","3400","1450 NW 19th Ct","","$380,000","","¤1,631","I02","1973","3","¤FT LAUDERDALE ESTATES","No","No","$380,000"
"1","A11707890","CS","3460","817 NW 12th ave","","$430,000","","¤1,238","I02","1958","4","¤LINCOLN PARK THIRD ADD","No","No","$430,000"
"1","A11593622","CS","3470","907 SW 15th Ter","","$360,000","2","¤1,695","I02","1958","3","¤RIVERSIDE NO 3","No","No","$360,000"
"1","A11938358","CS","3400","1028 NW 6th Ave","","$395,000","","¤1,350","I02","1987","2","¤PROGRESSO","No","No","$395,000"
"1","F10496738","CS","3380","1317 NE 1st Ave","","$445,000","","1,042","I02","1949","5","Progresso 2-18 D","No","No","$445,000"
"1","A11948782","CS","3460","844 NW 18th Ave","","$440,000","","¤1,290","I02","1965","3","¤LAUDERDALE HOMESITES","No","No","$440,000"
"1","F10535409","CS","3390","1608 NW 5th Ave","","$429,000","","1,015","","1951","4","Progresso 2-18 D","No","No","$429,000"
"1","F10463505","CS","3450","902 NE 39th St","","$440,000","","1,285","I02","1958","4","Oakland Park Second Add 1","No","No","$440,000"
"1","F10465792","CS","3460","404 NW 10th Ave","","$416,000","","1,291","I02","1994","4","TUSKEGEE PARK","No","No","$416,000"
"1","F10511344","CS","3460","537 NW 16th Ave","","$420,000","2","1,425","I02","1954","6","Dorsey Park Second Add 23","No","No","$420,000"
"1","A11725010","CS","3720","1608 NW 9th Ave","","$365,000","","¤1,242","I02","1968","4","¤PROGRESSO","No","No","$365,000"
"1","R11033854","CS","3460","1808 NW 9th Street Unit#1-2","","$415,000","2","1,238","I02","1958","","LAUDERDALE HOMESITES FIRS","No","No","$415,000"
"1","F10460847","CS","3560","636 NW 14th Ter","","$419,990","","1,264","I02","1958","4","Lincoln Park Corr 5-2 B","No","No","$419,990"
"1","A11715672","CS","3560","631 NW 22nd Rd","","$430,000","2","¤1,164","I02","1965","4","¤WASHINGTON PARK","No","No","$430,000"
"1","A11810944","CS","3860","716 NW 14th Way","","$417,000","","¤1,288","I02","1963","4","¤LINCOLN PARK CORR PLAT","No","No","$417,000"
"1","A11850792","CS","3400","1420 N Andrews Ave","","$410,000","","¤1,080","I02","1959","4","¤PROGRESSO","No","No","$410,000"
"1","A11911604","CS","3390","1806 SW 22nd St","","$412,000","2","¤1,210","I02","1954","2","¤OSCEOLA PARK","No","No","$412,000"
"1","F10424903","CS","3390","1726-1728 NW 7th Ave","","$400,000","2","955","I02","1953","4","Progresso 2-18 D","No","No","$400,000"
"1","F10530056","CS","3400","632-634 NW 14th Ter","","$370,000","2","880","I02","1959","4","Lincoln Park Corr 5-2 B","No","No","$370,000"
"1","F10479946","CS","3390","1440 NW 5TH Ave","","$380,000","","1,478","I02","1956","5","Progresso 2-18 D","No","No","$380,000"
"1","A11735490","CS","3370","1013 NE 3rd Ave","","$515,000","4","¤2,363","I04","1973","5","¤PROGRESSO","No","No","$515,000"
"1","F10501718","CS","3390","1126 NW 4TH AV","","$380,000","","1,350","I02","1988","2","PROGRESSO 2-18 D","No","No","$380,000"
"1","A11729800","CS","3450","883 NE 39th St","","$380,000","2","¤1,250","I02","1956","4","¤OAKLAND PARK SECOND ADD","No","No","$380,000"
"1","A11715891","CS","3460","1200 NW 9th Street","","$357,500","","¤1,023","I02","1968","4","¤LINCOLN PARK THIRD ADD","No","No","$357,500"
"1","A11931647","CS","3400","1521 NW 5th Ave","","$349,000","","¤1,074","I02","1963","4","¤PROGRESSO","No","No","$349,000"
"1","A12015378","PS","3380","1324 NE 14th Ave","","$999,999","","¤1,785","I02","1951","4","¤PROGRESSO","Yes","No",""
"1","B26045999","PS","3270","837 NE 17th Avenue","","$975,000","4","2,316","","1959","","PROGRESSO","No","No",""
"1","B26040741","PS","3450","736 - 738 NE 36th Street","","$799,000","3","3,149","","1971","","OAKLAND PARK SECOND ADD","No","No",""
"1","A11943558","PS","3400","1112 NE 5th Ave","","$750,000","2","¤2,550","I02","1986","4","¤PROGRESSO","No","No",""
"1","B26048367","PS","3500","312 SW 9th Street Unit#1-2","","$550,000","2","1,798","","1980","","LAUDERDALE","No","No",""
"1","A11999219","PS","3390","1619-1621 NW 8th Ave","","$545,000","2","¤2,504","I02","1969","4","¤PROGRESSO","No","No",""
"1","F10537999","PS","3460","734 NW 13th Terrace","","$500,000","2","1,596","","2006","","Citrus Park Farms 1-138 D","No","No",""
"1","A11969574","PS","3370","1425 NE 22nd St","","$489,000","2","¤1,679","I02","1963","4","¤EDGEWATER ESTATES 1ST ADD","No","No",""
"1","B26031740","PS","3390","1429 N Andrews Avenue","","$455,000","2","1,000","","1954","","PROGRESSO","No","No",""
