"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1","R11146233","CS","4110","1120 S Ocean Boulevard","$105,000,000","3.5000","","1 To Less Than 2 Acre Lot, 2 To Less Than 3 Acre Lot","R-1C(c","HYPOLUXO BEACH MAP 1 IN","County Road, Public Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$105,000,000"
"1","F10486652","CS","3600","1818 SE 10th St","$42,650,000","1.3900","60,868","1 To Less Than 2 Acre Lot","RS-4.4","RIO VISTA ILSES","","Yes","Zoned Residential","Residential","$42,650,000"
"1","A11695755","CS","41","8565 Old Cutler Rd","$41,625,000","4.6000","200,650","4 To Less Than 5 Acre Lot","¤0100","GABLES ESTATES NO 2","","Yes","Zoned Residential","Residential","$41,625,000"
"1","B26026938","CS","5003","690 Island Drive","$39,200,000","0.8400","","1/2 To Less Than 3/4 Acre Lot, Less Than 1 Acre","R-B (city)","EVERGLADES ISLAND 2","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$39,200,000"
"1","R11158560","CS","5030","430 S Beach Road","$31,651,175","","","","res","jupiter island","City/County Maintained, Paved Road","Yes","","Single","$31,651,175"
"1","R11154052","CS","5003","Tarpon Way Lot","$27,250,000","0.5300","","1/2 To Less Than 3/4 Acre Lot","R-A(ci","ISLAND RD DEV REV","City/County Maintained, Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$27,250,000"
"1","B26007814","CS","4140","941 S Ocean Boulevard","$26,000,000","1.2000","","1 To Less Than 2 Acre Lot","R-1-AA (city)","Delray Estate Section","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$26,000,000"
"1","F10543132","CS","3112","1079 Hillsboro Mile","$21,500,000","1.2300","53,544","1 To Less Than 2 Acre Lot","RS-2","Hillsboro Mile","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$21,500,000"
"1","F10538344","CS","6220 SE Okeechobee County"," Us-441","$23,000,000","2,361.0000","27,573,480","10 Or More Acre Lot, Oversized Lot","Agriculture","None","County Road, City/County Maintained, Paved Road, U.S. Highway","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$23,000,000"
"1","R11115734","CS","4320","3070 S Ocean Boulevard","$15,100,000","1.2000","","1 To Less Than 2 Acre Lot","R-1A(c","GEDNEY VS PIERSON","City/County Maintained","Yes","","Unimproved Agri/Recreatn/Moblhome","$15,100,000"
"1","R11101767","CS","5001","1150 N Ocean Way","$14,000,000","0.5700","","1/2 To Less Than 3/4 Acre Lot","R-B(ci","EL ENCANTO","Paved Road, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$14,000,000"
"1","A11772886","CS","22","9224 Bay Dr","$13,875,000","0.0000","27,500","","¤1100","ALTOS DEL MAR NO 5","","Yes","Zoned Residential","Residential","$13,875,000"
"1","A11884799","CS","51","9175 Arvida Dr","$14,900,000","43,293.0000","43,293","","¤0100","GABLES ESTS NO 4","","Yes","Zoned Residential","Residential","$14,900,000"
"1","F10491645","CS","3280","633 5th Key Dr","$11,700,000","0.5020","21,873","","RS-4.4","SUNRISE KEY","","Yes","Zoned Residential","Residential","$11,700,000"
"1","A11993438","CS","31","1236 S S Venetian Way","$11,500,000","0.3100","13,382","","¤0100","SAN MARCO","","Yes","Zoned Residential","Residential","$11,500,000"
"1","A11678029","CS","32","1234 S Venetian Way","$11,500,000","0.3100","13,382","1/2 To Less Than 3/4 Acre Lot","¤0100","SAN MARCO","","Yes","Zoned Residential","Residential","$11,500,000"
"1","A11884920","CS","32","31 La Gorce Circle","$10,400,000","0.5900","25,896","","¤2100","LA GORCE ISLAND","","No","Zoned Residential","Residential","$10,400,000"
"1","R11142698","CS","5002","0 Chapel Hill Road","$10,000,000","0.3437","","1/4 To Less Than 1/2 Acre Lot","R-B(ci","HILL SUB","Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$10,000,000"
"1","A11988443","CS","32","1230 S Venetian Way","$11,000,000","0.1100","13,382","","¤0100","SAN MARCO","","Yes","Zoned Residential","Residential","$11,000,000"
"1","A12003770","CS","3160","3030 N Atlantic Blvd","$8,880,000","0.2900","12,596","1/4 To Less Than 1/2 Acre Lot","¤RS-8","LAUDERDALE BEACH","City/County Maintained, Paved Road, Public Road","Yes","Zoned Residential","Residential","$8,880,000"
"1","A11961758","CS","22","1990 NE 119th Rd","$8,875,000","0.0000","12,170","1/4 To Less Than 1/2 Acre Lot","¤0900","SANS SOUCI ESTATES","","Yes","Zoned Residential","Residential","$8,875,000"
"1","R11104227","CS","5001","324 Eden Road","$9,000,000","0.3221","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","R-B(ci","EDEN PROPERTIES","Paved Road","No","","Unimproved Agri/Recreatn/Moblhome","$9,000,000"
"1","R11140365","CS","4190","495 E Alexander Palm Road","$8,175,000","0.3353","","1/2 To Less Than 3/4 Acre Lot, 1/4 To Less Than 1/2 Acre Lot, East Of US 1","R1A(ci","ROYAL PALM YACHT & COUNTRY","Paved Road, Public Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$8,175,000"
"1","R11100717","CS","5001","254 N Woods Road","$8,500,000","0.3444","","1/4 To Less Than 1/2 Acre Lot","R-B(ci","WOODS LANDING 3","City/County Maintained","No","","Unimproved Agri/Recreatn/Moblhome","$8,500,000"
"1","A11751290","CS","22","700 88th St","$8,000,000","0.3400","15,000","1/4 To Less Than 1/2 Acre Lot","¤1100","SECOND AMD PLAT OF NORMAN","","Yes","Zoned Residential","Residential","$8,000,000"
"1","A11883060","CS","51","10600 Lakeside Dr","$8,100,000","1.3200","57,499","1 To Less Than 2 Acre Lot","¤0100","SNAPPER CREEK LAKES SUB","Paved Road","Yes","Zoned Residential","Residential","$8,100,000"
"1","R11150584","CS","5001","274 Monterey Road","$7,350,000","0.3099","","1/4 To Less Than 1/2 Acre Lot","R-B(ci","GREGORY ADDN","Paved Road","No","","Unimproved Agri/Recreatn/Moblhome","$7,350,000"
"1","R11155633","CS","5100","953 Thayer Lane","$7,780,000","2.2300","","2 To Less Than 3 Acre Lot","R1(cit","N/A","Private Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$7,780,000"
"1","A11964325","CS","41","7301 Ponce De Leon Rd","$7,250,000","1.2500","54,450","1 To Less Than 2 Acre Lot","¤2300","Unknown","","No","Zoned Residential","Residential","$7,250,000"
"1","B26045973","CS","4190","1845 Royal Palm Way","$7,000,000","0.3602","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","R1A (city)","ROYAL PALM YACHT & COUNTRY","City/County Maintained","No","","Unimproved Agri/Recreatn/Moblhome","$7,000,000"
"1","A11459360","CS","32","433 E Dilido Dr","$6,600,000","0.2410","10,500","","¤0800","DI LIDO ISLAND","","Yes","Zoned Residential","Residential","$6,600,000"
"1","R11068319","CS","5940 Florida Other","512 River Drive","$4,500,000","0.5500","","1/2 To Less Than 3/4 Acre Lot","R-1AA","REPLAT OF RIOMAR BAY UNIT ","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$4,500,000"
"1","R11159443","CS","5240","1010 Pine Point Road","$6,460,000","0.3206","","1/4 To Less Than 1/2 Acre Lot","RS-5(c","PINE POINT","City/County Maintained, Paved Road, Private Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$6,460,000"
"1","R11098071","CS","4200","670 Oak Street","$6,800,000","","","East Of US 1, Flood Zone Lot","R3","SHEPARDS W S","City/County Maintained, Public Road","Yes","","Single","$6,800,000"
"1","R11148575","CS","5002","222 Cherry Lane","$5,500,000","0.2300","","Less Than 1/4 Acre Lot","R-B(ci","CHERRY LANE","Paved Road","No","","Unimproved Agri/Recreatn/Moblhome","$5,500,000"
"1","R11070742","CS","5210","14860 Palmwood Road","$5,250,000","0.4600","","1/4 To Less Than 1/2 Acre Lot","AR","N/A","Paved Road, Public Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$5,250,000"
"1","R11021514","CS","5100","207 Body Court","$5,400,000","0.4600","","Corner Lot","R1(cit","YACHT CLUB ESTATES","Legal Access Road, City/County Maintained, Paved Road, Public Road","Yes","","Single","$5,400,000"
"1","A11898162","CS","32","7508 W Treasure Dr","$4,500,000","0.1928","8,400","Less Than 1/4 Acre Lot","¤0600","TREASURE ISLAND","City/County Maintained, Paved Road, Public Road","Yes","Zoned Residential","Residential","$4,500,000"
"1","A11991584","CS","22","10801 N Bayshore Dr","$4,750,000","0.2930","","","","BISCAYNE SHORES UNIT NO 2","","Yes","Zoned Residential","Residential","$4,750,000"
"1","A11800388","CS","41","8261 La Rampa St","$4,700,000","0.5165","22,500","1/2 To Less Than 3/4 Acre Lot","¤0100","COCOPLUM SEC 1","","No","Zoned Residential","Residential","$4,700,000"
"1","R11144485","CS","5100","18040 Via Rio ","$3,300,000","","","","RS","VIA RIO UNREC ON AM 90","Paved Road","Yes","","Single","$3,300,000"
"1","A11993184","CS","41","1953 Tigertail Ave","$4,800,000","0.3900","16,386","","¤0100","BISCAYNE PARK TERR","","No","Zoned Residential","Residential","$4,800,000"
"1","R11148476","CS","4150","4211 Intracoastal Drive","$5,200,000","0.2870","","1/4 To Less Than 1/2 Acre Lot","RS(cit","BEL LIDO","City/County Maintained","Yes","","Unimproved Agri/Recreatn/Moblhome","$5,200,000"
"1","R11135430","CS","5600","2002 Notre Dame Drive","$4,350,000","0.3478","","1/4 To Less Than 1/2 Acre Lot","SF-R(c","COLLEGE PARK ADD 2","Paved Road, Public Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$4,350,000"
"1","F10548984","CS","3240","0 Compass Isle","$4,500,000","0.2900","12,795","1/4 To Less Than 1/2 Acre Lot","RS-4.4","BAY COLONY","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$4,500,000"
"1","R11111334","CS","4190","425 S Maya Palm Drive","$3,950,000","","","","R1A(ci","ROYAL PALM YACHT & COUNTR","Public Road","No","","Single","$3,950,000"
"1","F10527532","CS","3240","40 Compass Isle","$4,500,000","0.2900","12,500","1/4 To Less Than 1/2 Acre Lot","RS-4.4","BAY COLONY","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$4,500,000"
"1","A11967185","CS","3280","2368 Castilla Isle","$4,275,000","0.3100","13,500","1/4 To Less Than 1/2 Acre Lot","¤RS-4.4","LAUDERDALE SHORES REAMEN","","Yes","Zoned Residential","Residential","$4,275,000"
"1","T20052976","CS","6080","4082 SE Old Saint Lucie Boulevard","$3,600,000","0.9920","","","RES","","City/County Maintained","Yes","","Single","$3,600,000"
"1","R11138779","CS","6080","4082 SE Old Saint Lucie Boulevard","$3,600,000","0.9900","","1/2 To Less Than 3/4 Acre Lot, Less Than 1 Acre","Res","DUMONT","City/County Maintained","Yes","","Unimproved Agri/Recreatn/Moblhome","$3,600,000"
"1","T20032731","CS","6080","3250 SE Willoughby Boulevard","$3,275,000","4.6500","","","","","","No","","Other","$3,275,000"
"1","R11125195","CS","3111","2040 E Hillsboro Boulevard","$3,600,000","0.3214","","1/4 To Less Than 1/2 Acre Lot","RM-25","DEERFIELD BEACH","Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$3,600,000"
"1","F10526591","CS","3240","11 Compass Isle","$3,995,000","0.2772","12,077","1/4 To Less Than 1/2 Acre Lot, East Of US 1","RS-4.4","BAY COLONY SECTION OF THE","Paved Road, Private Road","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$3,995,000"
"1","A11967220","CS","3280","500 Coral Way","$3,750,000","0.2410","10,500","Less Than 1/4 Acre Lot","¤RS-4.4","CORAL ISLES","","Yes","Zoned Residential","Residential","$3,750,000"
"1","B26015076","CS","3600","1401 SE 9th Street","$3,795,000","0.4183","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","RS-8","RIO VISTA ISLES","","Yes","","Unimproved Agri/Recreatn/Moblhome","$3,795,000"
"1","A11951170","CS","22","1045 93rd St","$3,650,000","0.2600","11,250","","¤4500","BAY HARBOR ISLAND","City/County Maintained, Public Road","No","Zoned Multifamily","Residential","$3,650,000"
"1","A12026630","CS","50","9651 SW 63rd Ct","$4,200,000","40,469.0000","40,469","","¤2300","PINE ACRES ESTS","","No","Zoned Residential","Residential","$4,200,000"
"1","A11998113","CS","32","3141 N Bay Rd","$3,000,000","10,534.0000","10,534","","¤0100","AMD PLAT OF SUNSET LAKE S","","No","Zoned Residential","Residential","$3,000,000"
"1","A11946909","CS","40","6366 Snapper Creek Dr","$3,050,000","0.7400","32,300","1/2 To Less Than 3/4 Acre Lot","¤2100","SNAPPER CREEK GROVES","City/County Maintained, Paved Road","Yes","Zoned Residential","Residential","$3,050,000"
"1","A12025544","CS","50","6420 SW 114th St","$3,495,000","0.9300","40,510","3/4 To Less Than 1 Acre Lot, East Of US 1","¤2300","HAMMOCK PINES ESTATES","","No","Zoned Residential","Residential","$3,495,000"
"1","A11951888","CS","3010","505 Palm Dr","$3,250,000","0.2500","11,117","1/4 To Less Than 1/2 Acre Lot","¤RS-5","GOLDEN ISLES SEC A REV PL","","Yes","Zoned Residential","Residential","$3,250,000"
"1","R11151824","CS","5100","119 Elsa Road","$3,290,000","","","1/4 To Less Than 1/2 Acre Lot","residential","Yacht Club Estates","Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$3,290,000"
"1","R11162754","CS","4190","428 E Camino Real","$3,300,000","0.3848","","Less Than 1/4 Acre Lot, 1/4 To Less Than 1/2 Acre Lot","R1A(ci","ROYAL PALM YACHT & COUNTRY","City/County Maintained","No","","Unimproved Agri/Recreatn/Moblhome","$3,300,000"
"1","R11162873","CS","4460","1010 Hibiscus Lane","$3,031,250","0.6355","","1/2 To Less Than 3/4 Acre Lot, Less Than 1 Acre","R-1-AA","S/D OF 8-46-43","Paved Road","No","","Unimproved Agri/Recreatn/Moblhome","$3,031,250"
"1","A11981141","CS","41","3170 Florida Ave","$3,120,000","0.1500","7,150","","¤3901","CHARLES H FROWS SUB","Paved Road","No","Zoned Residential","Other","$3,120,000"
"1","R11110626","CS","5590","3057 D Road","$2,900,000","20.0000","","10 Or More Acre Lot, 5 To Less Than 10 Acre Lot","AR(cit","LOXAHATCHEE GROVES","City/County Maintained, Paved Road","Yes","","","$2,900,000"
"1","F10549629","CS","3221","3020 NE 44th Street","$3,000,000","0.2800","12,000","East Of US 1","RS-3","Venetian Isles 3rd Sec 47","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$3,000,000"
"1","R11128673","CS","5440","3502 Washington Road","$2,850,000","","","","SF14(c","SOUTHLAND PARK","City/County Maintained, Paved Road","No","","Single","$2,850,000"
"1","A11963030","CS","50","6701 SW 115th St","$3,075,000","1.2400","54,014","","¤2300","OAKRIDGE ESTATES REV","","No","Zoned Residential","Residential","$3,075,000"
"1","A11939518","CS","3030","1049 S Southlake Dr","$2,875,000","0.4000","17,551","","¤RS-9","HOLLYWOOD LAKES SECTION","","Yes","Zoned Residential","Residential","$2,875,000"
"1","A11950574","CS","52","760 Allendale Road","$2,850,000","0.0000","7,500","Less Than 1/4 Acre Lot","¤0100","BISCAYNE KEY ESTATES","Public Road","No","Zoned Residential","Residential","$2,850,000"
"1","R11153066","CS","5440","265 Rilyn Drive","$2,550,000","0.3200","","1/4 To Less Than 1/2 Acre Lot","SF7","BURNUP AND SIMS ESTATES","City/County Maintained, Paved Road, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$2,550,000"
"1","A11744837","CS","32","315 W San Marino Dr","$2,650,000","0.1700","7,200","Less Than 1/4 Acre Lot","¤0100","SAN MARINO ISLAND","","No","Zoned Residential","Residential","$2,650,000"
"1","A11957732","CS","32","4557 N Jefferson Ave","$2,740,000","0.2500","8,929","","¤0100","NAUTILUS EXTENSION 5TH","","No","Zoned Residential","Residential","$2,740,000"
"1","A11911719","CS","41","919 Tendilla Ave","$2,175,000","0.2871","12,508","1/4 To Less Than 1/2 Acre Lot, Regular Lot","¤0100","CORAL GABLES COUNTRY CLUB","","No","Zoned Residential","Residential","$2,175,000"
"1","R11119525","CS","5100","601 Waldemar Road","$2,700,000","","","Less Than 1/4 Acre Lot","R1(cit","YACHT CLUB ESTATES","Paved Road","Yes","","Single","$2,700,000"
"1","F10539179","CS","3280","410 SE 16th Avenue","$2,410,000","0.3500","15,345","1/4 To Less Than 1/2 Acre Lot","","COLEE HAMMOCK","","No","Zoned Residential","Residential","$2,410,000"
"1","A11941794","CS","32","8447 E Dixie Hwy","$2,600,000","0.8800","38,323","3/4 To Less Than 1 Acre Lot","¤0100","BISCAYNE HEIGHTS","Legal Access Road, City/County Maintained, Paved Road","No","Zoned Residential","Residential","$2,600,000"
"1","A12002908","CS","49","12445 SW 46th St","$2,500,000","2.2500","98,010","","¤9000","BIRD ROAD FARMSITES","","No","Zoned Residential","Residential","$2,500,000"
"1","F10543989","CS","3600","1429 SE 12th Ct","$2,625,000","1.0000","7,485","Less Than 1/4 Acre Lot","RS-8","Lauderdale Harbors Sec A","Paved Road, Public Road","Yes","Zoned Residential","Residential","$2,625,000"
"1","R11143079","CS","4520","20 Par Club Circle","$2,550,000","1.2800","","1 To Less Than 2 Acre Lot","R(city","PAR CLUB CIRCLE","City/County Maintained, Paved Road","No","","Unimproved Agri/Recreatn/Moblhome","$2,550,000"
"1","F10525600","CS","3600","1531 SE 12th Court","$2,500,000","0.0500","7,700","","","LAUDERDALE HARBORS","City/County Maintained","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$2,500,000"
"1","F10526487","CS","3600","1017 SE 13th Terrace","$2,100,000","0.4090","17,822","","RS-8","Rio Vista Isles","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$2,100,000"
"1","B26017642","CS","4120","21 Hudson Avenue","$2,100,000","0.4200","","1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre","RSF (city)","BOYNTON BEACH PARK","Paved Road","No","","Unimproved Agri/Recreatn/Moblhome","$2,100,000"
"1","A11749796","CS","12","650 Ocean Blvd, Golden Beach","$2,250,000","0.2100","","","","GOLDEN BEACH SEC A","","No","Zoned Residential","Residential","$2,250,000"
"1","F10539125","CS","3260","2823 NE 24th Place","$2,100,000","0.2300","10,000","Less Than 1/4 Acre Lot","RS-4.4","CORAL RIDGE GALT ADD","","Yes","Zoned Residential","Residential","$2,100,000"
"1","A11952985","CS","41","2145 S Miami Ave","$2,200,000","0.1925","8,500","","¤0100","BRICKELLS FLAGLER","","No","Zoned Residential","Residential","$2,200,000"
"1","A11952911","CS","41","2141 S Miami Ave","$2,200,000","0.1951","8,500","","¤0100","BRICKELLS FLAGLER","","No","Zoned Residential","Residential","$2,200,000"
"1","R11138782","CS","5440","230 Avila Road","$2,400,000","0.1400","","Less Than 1/4 Acre Lot","SF14","EL CID COURT IN","City/County Maintained, Paved Road","No","","Unimproved Agri/Recreatn/Moblhome","$2,400,000"
"1","A11990224","CS","3233","700 SE 28th Ave","$2,000,000","0.0260","11,250","","¤RS-2","CYPRESS POINT","","Yes","Zoned Residential","Residential","$2,000,000"
"1","R11101912","CS","4370","248 SE 1st Avenue","$2,200,000","0.3182","","1/2 To Less Than 3/4 Acre Lot, 1/4 To Less Than 1/2 Acre Lot","RM(cit","DELRAY TOWN OF","City/County Maintained","No","","Unimproved Agri/Recreatn/Moblhome","$2,200,000"
"1","R11063433","CS","4160","810 E Fern Drive","$2,200,000","0.2300","","Less Than 1/4 Acre Lot","R1C","BOCA RATONE POR LA MAR","City/County Maintained","No","","Unimproved Agri/Recreatn/Moblhome","$2,200,000"
"1","R11162186","CS","4180","3163 NE 8th Avenue","$2,330,000","0.2087","","Less Than 1/4 Acre Lot","R1B(ci","BLUE INLET","Paved Road, Public Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$2,330,000"
"1","F10523620","CS","3270","743 N Victoria Park Rd","$2,250,000","18,137.0000","7,276","1/4 To Less Than 1/2 Acre Lot, East Of US 1, Oversized Lot","RS-8","Victoria Highlands Amd","Public Road","No","Zoned Residential","Residential","$2,250,000"
"1","A11942610","CS","50","13670 Deering Bay Dr","$1,950,000","10,470.0000","10,470","","¤0100","DEERING BAY ESTATES","Legal Access Road","Yes","Zoned Residential","Residential","$1,950,000"
"1","R11146509","CS","5020","11802 SE Village Circle","$2,050,000","0.3605","","1/4 To Less Than 1/2 Acre Lot, West Of US 1","RS","JUPITER HILLS VILLAGE","Private Road","No","","Unimproved Agri/Recreatn/Moblhome","$2,050,000"
"1","R11143173","CS","5440","236 Avila Road","$2,250,000","0.1500","","Less Than 1/4 Acre Lot, Corner Lot","SF14","EL CID COURT IN","City/County Maintained, Paved Road, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$2,250,000"
"1","A11807651","CS","50","7720 SW 117th St","$1,900,000","0.9060","39,465","","¤2300","SUNILAND ESTATES 1ST ADDN","","No","Zoned Residential","Residential","$1,900,000"
"1","R11168077","CS","5440","203 Gregory Place","$2,000,000","","","1/4 To Less Than 1/2 Acre Lot","SF7—SINGLE-FAM","LEWIS SHORE ESTS 1 IN","","No","","Unimproved Agri/Recreatn/Moblhome","$2,000,000"
"1","T20054526","CS","6090","1328 SW Estates Place","$2,150,000","0.7640","","Cul-De-Sac Lot, Irregular Lot","PUD-R","","","Yes","","Single","$2,150,000"
"1","R11062395","CS","6110","220 SE Macarthur Boulevard","$1,980,000","1.0200","","","SF Resid","191960 Yacht Club Beach R","City/County Maintained, Paved Road, Public Road","Yes","","Single","$1,980,000"
"1","R11154631","CS","4160","700 Malaga Drive","$2,100,000","0.2300","","Less Than 1/4 Acre Lot, Corner Lot, East Of US 1, Interior Lot","R1A(ci","SPANISH RIVER LAND CO SUB","City/County Maintained, Paved Road, Public Road","No","","Single","$2,100,000"
"1","B26015787","CS","5020","11765 SE Laurel Lane","$2,025,000","3.6200","","3 To Less Than 4 Acre Lot","R1A","GOMEZ GRANT W/O RVR","Paved Road","Yes","","","$2,025,000"
"1","R11169987","CS","3222","2821 NE 32nd Street","$2,000,000","0.2020","","Less Than 1/4 Acre Lot, Less Than 1 Acre","RS3","LAKE PLACID","City/County Maintained, Paved Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$2,000,000"
"1","A11995643","CS","41","6315 Castaneda St","$2,280,000","0.2200","9,809","Less Than 1/4 Acre Lot","¤0100","C GABLES RIVIERA SEC 12","Paved Road","No","Zoned Residential","Residential","$2,280,000"
"1","R11149653","CS","7010","8100 S Ocean Drive","$1,700,000","0.5100","","1/2 To Less Than 3/4 Acre Lot","Res","Diamond Sands","Paved Road, Private Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$1,700,000"
"1","A11939084","CS","40","7240 SW 63rd Ct","$1,100,000","0.3300","14,000","","¤0800","SUNSET VILLAS","","No","Zoned Residential","Residential","$1,100,000"
"1","A11728218","CS","3010","1418 N Ocean Dr","$2,000,000","0.1500","5,494","","¤BRT-25-A","HOLLYWOOD BEACH FIRST ADD","","Yes","Zoned Duplex","Residential","$2,000,000"
"1","B26029767","CS","3222","3348 NE 29th Avenue","$1,650,000","0.2020","","Less Than 1/4 Acre Lot, Less Than 1 Acre","RS-3","LAKE PLACID","Paved Road","Yes","","","$1,650,000"
"1","R11096890","CS","5330","7569 168th Court","$1,775,000","4.9400","","Corner Lot","AR","Palm Beach Country Estate","","No","","Single","$1,775,000"
"1","R11126093","CS","5080","112 Tim Mara Drive","$1,875,000","0.2500","","Less Than 1/4 Acre Lot, East Of US 1","R3(cit","MAISONS DE LA MER","Paved Road, Private Road","No","","Unimproved Agri/Recreatn/Moblhome","$1,875,000"
"1","R11142388","CS","5550","13085 Monte Rosa Court","$1,870,000","0.5439","","1/2 To Less Than 3/4 Acre Lot, Less Than 1 Acre","PCD","PANTHER NATIONAL AT AVENIR","","No","","Unimproved Agri/Recreatn/Moblhome","$1,870,000"
"1","R11080326","CS","5790","6248 Homeland Road","$1,500,000","5.0100","","3 To Less Than 4 Acre Lot, 4 To Less Than 5 Acre Lot, Corner Lot","AR","HOMELAND","County Road, Paved Road, Private Road","Yes","","","$1,500,000"
"1","A11833449","CS","40","8241 SW 58th St","$1,800,000","0.7600","33,106","3/4 To Less Than 1 Acre Lot","¤2300","SUNKIST ESTATES A","Other Road","No","Zoned Residential","Residential","$1,800,000"
"1","B26009793","CS","3580","2973 Riverland Road","$1,800,000","2.7500","","2 To Less Than 3 Acre Lot, Oversized Lot","RS-3.52","riverland area","City/County Maintained","No","","Unimproved Agri/Recreatn/Moblhome","$1,800,000"
"1","R11162874","CS","4460","1098 Hibiscus Lane","$1,800,000","0.3429","","1/4 To Less Than 1/2 Acre Lot","R-1-AA","S/D OF 8-46-43","Paved Road, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$1,800,000"
"1","F10551687","CS","6240 NW Okeechobee County","6575 NE 96th Avenue","$1,600,000","40.2400","1,752,854","","","OKECHOBEE","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$1,600,000"
"1","A11942520","CS","3220","2511 NE 48th Ct","$1,690,000","0.1840","8,000","","¤RS-3","CORAL KEY VILLAS 2ND SEC","","Yes","Zoned Residential","Residential","$1,690,000"
"1","F10525483","CS","3160","3301 NE 14th Court","$1,750,000","0.3000","14,057","1/2 To Less Than 3/4 Acre Lot","RS-8","LAS OLAS BY THE SEA EXT","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome","$1,750,000"
"1","A11808958","CS","6342 Indian River – Southwest County","2105 86th Ave SW","$1,700,000","20.2500","882,090","Other Lot Description","¤A-2","INDIAN RIVER FARMS COMPAN","City/County Maintained","Yes","Zoned Residential","Other","$1,700,000"
"1","A11808216","CS","6342 Indian River – Southwest County","2105 86th Ave SW","$1,700,000","20.2500","882,090","Other Lot Description","¤A-2","INDIAN RIVER FARMS COMPAN","City/County Maintained","Yes","Zoned Residential","Other","$1,700,000"
"1","A11942312","CS","32","4601 Royal Palm Ave","$1,700,000","0.2000","8,712","Less Than 1/4 Acre Lot","¤0100","SURPRISE LAKE","","No","Zoned Residential","Residential","$1,700,000"
"1","R11067684","CS","3290","5650 SW 192nd Terrace","$1,600,000","2.7600","","2 To Less Than 3 Acre Lot","A-1","WESTFIELD ESTATES","City/County Maintained, Public Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$1,600,000"
"1","R11045325","CS","5220","403 Olympus Drive","$1,725,000","0.3214","","1/4 To Less Than 1/2 Acre Lot, East Of US 1","RS-19c","Juno Beach","City/County Maintained, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$1,725,000"
"1","R11045324","CS","5220","401 Olympus Drive","$1,725,000","0.3185","","1/4 To Less Than 1/2 Acre Lot, Corner Lot, East Of US 1","RS-1(c","Juno Beach","City/County Maintained, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$1,725,000"
"1","A11955035","CS","40","6845 SW 97th Ave","$1,730,000","1.2000","54,450","","¤9000","SUB OF PB 3-169","","No","Zoned Residential","Residential","$1,730,000"
"1","R11158548","CS","3221","4740 NE 22nd Avenue","$1,675,000","0.2200","","Less Than 1/4 Acre Lot, East Of US 1","RS-3","CORAL KEY VILLAS 5TH SEC","City/County Maintained, Paved Road, Public Road","Yes","","Unimproved Agri/Recreatn/Moblhome","$1,675,000"
"1","A11826490","CS","3290","70 Sw Pl","$1,625,000","2.2400","97,530","","¤RR","CHAMBERS SUB SE1/4","","No","Zoned Residential","Residential","$1,625,000"
"1","A11970009","CS","32","4555 Alton Rd","$1,749,000","0.2500","8,611","","¤0100","NAUTILUS EXTENSION","City/County Maintained","No","Zoned Residential","Residential","$1,749,000"
