"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1001","R11075656","CS","5940 Florida Other","Tbd Walker Drive","$13,800","0.7700","","1/2 To Less Than 3/4 Acre Lot","res","INTERLACHEN LAKES ESTATES","","No","","Unimproved Agri/Recreatn/Moblhome","$13,800"
"1001","R11126031","CS","5940 Florida Other","0 NE 1st Terrace","$13,000","0.1700","","Less Than 1/4 Acre Lot","Res","Orange Blossom Ranches","County Road, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$13,000"
"1001","R11119636","CS","5940 Florida Other","Lot 7 Merced Street","$13,000","","","1/4 To Less Than 1/2 Acre Lot","R1","1570 - PORT CHARLOTTE SUB ","City/County Maintained, Paved Road, Public Road","No","","Unimproved Agri/Recreatn/Moblhome","$13,000"
"1001","R11102024","CS","5940 Florida Other","0 Valencia Drive","$12,500","0.5004","","1/2 To Less Than 3/4 Acre Lot","Res.","INDIAN LAKE ESTATES UNIT 0","","No","","Unimproved Agri/Recreatn/Moblhome","$12,500"
"1001","R11100426","CS","5940 Florida Other","Tbd Magnolia Lane","$13,400","","","1 To Less Than 2 Acre Lot","RES","COMPASS LAKE HILLS","","No","","Unimproved Agri/Recreatn/Moblhome","$13,400"
"1001","A11962960","CS","5940 Florida Other","425 Fawnwood","$11,000","10,565.0000","","","","SUNN LAKES","","No","Zoned Residential","Other","$11,000"
"1001","R11158093","CS","5940 Florida Other","000 Tbd","$10,000","","","Less Than 1/4 Acre Lot","Residential","SILVER SPRINGS SHORES","Private Road","No","","Unimproved Agri/Recreatn/Moblhome","$10,000"
"1001","R11158078","CS","5940 Florida Other","000 No Situs","$10,000","0.2400","","Less Than 1/4 Acre Lot","Residential","SILVER SPRINGS SHORES","Private Road","No","","Unimproved Agri/Recreatn/Moblhome","$10,000"
"1001","A11934345","CS","5940 Florida Other","0 Guzman Ave","$12,000","1.2500","","","","FLAGLER ESTATES UR SUBD","","No","Zoned Residential","Residential","$12,000"
"1001","R11120607","CS","5940 Florida Other","Tbd NW 52nd Avenue","$9,500","","","Less Than 1/4 Acre Lot","Single Family","Ocala Ridge Unit 7","","No","","Unimproved Agri/Recreatn/Moblhome","$9,500"
"1001","A11963288","CS","5940 Florida Other","26224 Deer Rd","$12,500","0.1837","8,000","Less Than 1/4 Acre Lot","RSF5/RESIDENTIAL-SIN","SOUTH PUNTA GORDA HGTS","Other Road","No","Boat Dock or Dockominium","Other","$12,500"
