"","MLS # Link","St","Area","Address","Current Price","Total Acreage","Property SqFt","Lot Description","ZN","Subdivision Name","Road Description","Waterfront Property (Y/N)","Style of Property","Type of Property","Sale Price"
"1","F10528252","X","3480","1717 SW 14th St","$599,900","0.1446","6,300","Less Than 1/4 Acre Lot","RS-8","Shady Banks","City/County Maintained","No","Zoned Residential","Residential",""
"1","A11793354","X","3380","1120 NE 15th Ave","$579,900","0.1492","6,502","","¤RC-15","PROGRESSO","","No","Zoned Duplex","Residential",""
"1","A11765179","X","3380","1120 NE 15th Ave","$579,900","0.1492","6,502","","¤RC-15","PROGRESSO","","No","Zoned Duplex","Residential",""
"1","A11811572","X","3370","901 NE 16th Ct","$565,000","0.0000","5,500","Less Than 1/4 Acre Lot","RMS-15 R-MULTI-FAMIL","LAUDERDALE PARK 6-33 1/2","Legal Access Road, City/County Maintained","No","Zoned Multifamily","Residential",""
"1","F10457244","X","3470","1730 SW 21st St","$549,999","23,205.0000","5,720","Less Than 1/4 Acre Lot","RD-15","Osceola Park 9-46 B","","No","Zoned Multifamily","Residential",""
"1","F10413344","X","3690","2323 W State Road 84","$549,000","0.0400","1,600","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10413343","X","3690","2323 W State Road 84","$549,000","0.0400","1,782","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10457246","X","3470","1720 SW 21st Street","$535,000","23,205.0000","5,720","Less Than 1/4 Acre Lot","RD-15","Osceola Park 9-46 B","","No","Zoned Multifamily","Unimproved Agri/Recreatn/Moblhome",""
"1","F10403659","X","3690","2323 W State Road 84","$529,000","0.0500","2,436","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10403656","X","3690","2323 W State Road 84","$529,000","0.0300","","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","A11562598","X","3390","918-924 NW 13th Ave","$499,999","0.2296","10,000","","¤RMM-25","LINCOLN PARK FOURTH ADD","","No","Zoned Multifamily","Income/MultiFamily",""
"1","F10500366","X","3450","800 NE 43rd Street","$499,000","0.2500","","Less Than 1/4 Acre Lot","RES","FLORANADA CENTER 9-51 B","Paved Road","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10413269","X","3690","2323 W State Road 84 Lort 409","$499,000","0.0500","1,896","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10403662","X","3690","2323 W State Road 84","$499,000","0.0300","1,674","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10403660","X","3690","2323 W State Road 84","$499,000","0.0300","1,705","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10481698","X","3470","806 Tequesta St","$429,000","0.1600","7,000","Less Than 1/4 Acre Lot","RML25","BRYAN SUBDIVISION","Paved Road, Public Road","No","Zoned Residential","Residential",""
"1","A11725313","X","3020","918 - 924 NW 13th Ave","$420,000","0.2300","10,000","","¤RMM-25","LINCOLN PARK FOURTH ADD","City/County Maintained","No","Zoned Multifamily","Residential",""
"1","R11015626","X","3560","1312 NW 2nd Street","$420,000","","","Less Than 1/4 Acre Lot","RMM-25","SEMINOLE FOREST","City/County Maintained, Paved Road, Public Road","No","","Single",""
"1","F10541313","X","3450","937 NE 34th Court","$399,999","0.2200","9,619","","","Oakland Park Second Add 1","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10541306","X","3450","935 NE 34th Court","$399,999","0.2200","9,619","Less Than 1/4 Acre Lot","R-1","Oakland Park Second Add 1","","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10432855","X","3350","1375 NE 40th Ct","$399,000","0.1100","5,041","Less Than 1/4 Acre Lot","R-1","Central Corals","Paved Road","No","Zoned Residential","Residential",""
"1","F10413236","X","3690","2323 W State Road 84","$399,000","0.0500","2,436","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10413229","X","3690","2323 W State Road 84","$399,000","0.0400","","Less Than 1/4 Acre Lot","B-2","Yacht Haven 157-17 B","","Yes","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","F10526383","X","3480","1310 SW 20th Street","$398,000","0.1530","7,493","Less Than 1/4 Acre Lot","","Lauderdale Groves Amd 18-","City/County Maintained, Paved Road","No","Zoned Residential","Unimproved Agri/Recreatn/Moblhome",""
"1","A11860963","X","3470","16 Sw Ave","$395,000","0.1500","6,363","","¤RD-15","SHERWOOD FOREST","Legal Access Road, City/County Maintained","No","Zoned Duplex","Residential",""
"1","F10464008","X","3480","1306 SW 20th St","$388,000","0.1530","6,659","Less Than 1/4 Acre Lot","","Lauderdale Groves Amd 18-","City/County Maintained, Paved Road","No","Zoned Residential","Residential",""
"1","A11476021","X","3390","1445 NW 7th Ter","$370,000","0.2300","10,134","1/4 To Less Than 1/2 Acre Lot","¤RDS-15","PROGRESSO","","No","Zoned Residential","Residential",""
"1","R11116418","X","3600","1801 SE 17 Street","$365,000","","","East Of US 1","B1","The Port Marina Condo","Paved Road, Public Road, State Road","Yes","","",""
"1","A11762584","X","3450","751 NE 43rd St","$359,000","0.2300","10,106","1/4 To Less Than 1/2 Acre Lot","¤RM-16","FLORANADA CENTER","Legal Access Road, City/County Maintained, Paved Road","No","Zoned Multifamily","Residential",""
"1","A11476169","X","3450","3640 NE 6th Ave","$350,000","0.1500","6,460","Less Than 1/4 Acre Lot","¤R-1","OAKLAND PARK SECOND ADD","","No","Zoned Residential","Residential",""
