"PERIOD_BEGIN"	"PERIOD_END"	"PERIOD_DURATION"	"REGION_TYPE"	"REGION_TYPE_ID"	"TABLE_ID"	"IS_SEASONALLY_ADJUSTED"	"REGION"	"CITY"	"STATE"	"STATE_CODE"	"PROPERTY_TYPE"	"PROPERTY_TYPE_ID"	"MEDIAN_SALE_PRICE"	"MEDIAN_SALE_PRICE_MOM"	"MEDIAN_SALE_PRICE_YOY"	"MEDIAN_LIST_PRICE"	"MEDIAN_LIST_PRICE_MOM"	"MEDIAN_LIST_PRICE_YOY"	"MEDIAN_PPSF"	"MEDIAN_PPSF_MOM"	"MEDIAN_PPSF_YOY"	"MEDIAN_LIST_PPSF"	"MEDIAN_LIST_PPSF_MOM"	"MEDIAN_LIST_PPSF_YOY"	"HOMES_SOLD"	"HOMES_SOLD_MOM"	"HOMES_SOLD_YOY"	"PENDING_SALES"	"PENDING_SALES_MOM"	"PENDING_SALES_YOY"	"NEW_LISTINGS"	"NEW_LISTINGS_MOM"	"NEW_LISTINGS_YOY"	"INVENTORY"	"INVENTORY_MOM"	"INVENTORY_YOY"	"MONTHS_OF_SUPPLY"	"MONTHS_OF_SUPPLY_MOM"	"MONTHS_OF_SUPPLY_YOY"	"MEDIAN_DOM"	"MEDIAN_DOM_MOM"	"MEDIAN_DOM_YOY"	"AVG_SALE_TO_LIST"	"AVG_SALE_TO_LIST_MOM"	"AVG_SALE_TO_LIST_YOY"	"SOLD_ABOVE_LIST"	"SOLD_ABOVE_LIST_MOM"	"SOLD_ABOVE_LIST_YOY"	"PRICE_DROPS"	"PRICE_DROPS_MOM"	"PRICE_DROPS_YOY"	"OFF_MARKET_IN_TWO_WEEKS"	"OFF_MARKET_IN_TWO_WEEKS_MOM"	"OFF_MARKET_IN_TWO_WEEKS_YOY"	"PARENT_METRO_REGION"	"PARENT_METRO_REGION_METRO_CODE"	"LAST_UPDATED"
"2016-10-01"	"2016-12-31"	90	"neighborhood"	1	399058	false	"Fort Lauderdale, FL - Harbour Isles of Fort Lauderdale"	"Fort Lauderdale"	"Florida"	"FL"	"Condo/Co-op"	3	625000	0	0.3102725367	858750	0.8467741935	2.631078224	520.833333333	0.4274691358	0.6693461092	542.226294982	0.439969461	0.5872442453	3	0	-0.5	3	0.5	-0.5714285714	4	-0.3333333333	-0.5	13	-0.07142857143	-0.1333333333	NA	NA	NA	42	2	-138	0.9755508346	0.04397424171	0.04379863334	0	0	0	NA	NA	NA	0	0	-0.1428571429	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2013-05-01"	"2013-07-31"	90	"neighborhood"	1	55948	false	"Fort Lauderdale, FL - Galt Mile"	"Fort Lauderdale"	"Florida"	"FL"	"Condo/Co-op"	3	247350	-0.1166071429	0.1891826923	349900	-0.01408847563	0.2541218638	247.512437811	0.2091591224	0.3420934312	276.581027668	-0.02614835565	0.0357670312	17	0	0.3076923077	10	-0.1666666667	-0.1666666667	19	NA	NA	34	0.1333333333	NA	NA	NA	NA	123	-14	NA	0.9194197462	0.004432754251	-0.03764405315	0.1176470588	0	-0.03619909502	NA	NA	NA	0	0	0	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2024-04-01"	"2024-06-30"	90	"neighborhood"	1	55674	false	"Fort Lauderdale, FL - River Oaks"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	680000	0.2710280374	-0.06206896552	673500	-0.2910526316	-0.1463878327	333.108551433	0.006997245179	-0.1813857349	393.379405773	-0.1251242016	-0.2395375534	4	-0.2	-0.6363636364	6	0	-0.3333333333	10	-0.4117647059	-0.4736842105	22	-0.08333333333	0.375	NA	NA	NA	54	7	-33	0.8689113982	-0.01484304188	-0.1010131434	0	0	-0.1818181818	NA	NA	NA	0	-0.1666666667	-0.5555555556	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2024-03-01"	"2024-05-31"	90	"neighborhood"	1	132014	false	"Fort Lauderdale, FL - Boulevard Park Isles"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	1600000	0	NA	NA	NA	NA	447.427293065	0	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	1	0	NA	NA	NA	NA	142	0	NA	0.8533333333	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2017-11-01"	"2018-01-31"	90	"neighborhood"	1	130040	false	"Fort Lauderdale, FL - Lake Estates"	"Fort Lauderdale"	"Florida"	"FL"	"Condo/Co-op"	3	150000	0	NA	NA	NA	NA	208.913649025	0	NA	NA	NA	NA	1	0	NA	1	0	NA	NA	NA	NA	1	0	NA	NA	NA	NA	74	0	NA	0.8823529412	0	NA	0	0	NA	NA	NA	NA	0	0	NA	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2015-08-01"	"2015-10-31"	90	"neighborhood"	1	56324	false	"Fort Lauderdale, FL - Lauderdale Manors"	"Fort Lauderdale"	"Florida"	"FL"	"Single Family Residential"	6	84000	0	-0.1272727273	105000	0.1592602815	-0.05829596413	76.877133106	-0.007489702248	-0.04701688925	90.828282828	0.121244641	0.05369919901	15	-0.1176470588	-0.0625	21	0.6153846154	0	22	0.1	-0.1538461538	28	0	0.12	NA	NA	NA	76	-15	30	0.9556229566	-0.01210825858	0.05161773231	0.2666666667	-0.0862745098	0.1416666667	NA	NA	NA	0.1904761905	0.1135531136	0.04761904762	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2016-11-01"	"2017-01-31"	90	"neighborhood"	1	56348	false	"Fort Lauderdale, FL - Tarpon River"	"Fort Lauderdale"	"Florida"	"FL"	"Single Family Residential"	6	457500	0	0.2708333333	443950	0	0.3165776987	228.065802592	-0.05732801595	-0.2089934946	254.734946237	0	-0.02496458219	3	-0.4	0	2	-0.3333333333	1	4	0	0	4	0	0.3333333333	NA	NA	NA	112	0	70	0.9312691167	0.008738549651	-0.01350759742	0	0	0	NA	NA	NA	0.5	0.1666666667	-0.5	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2024-03-01"	"2024-05-31"	90	"neighborhood"	1	145286	false	"Fort Lauderdale, FL - Edgewood"	"Fort Lauderdale"	"Florida"	"FL"	"Single Family Residential"	6	555000	0.09359605911	0.15625	560000	-0.06510851419	0.25	440.744368266	0.01245637654	0.07551207256	434.111792628	-0.009610441244	0.1001463238	5	-0.1666666667	0	7	0.75	0.4	10	0.4285714286	-0.09090909091	16	0.3333333333	0.6	NA	NA	NA	132	-2	72	0.9754842592	0.00384195641	-0.01827387871	0	0	-0.6	NA	NA	NA	0.1428571429	-0.1071428571	-0.2571428571	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2017-01-01"	"2017-03-31"	90	"neighborhood"	1	130358	false	"Fort Lauderdale, FL - Durrs"	"Fort Lauderdale"	"Florida"	"FL"	"All Residential"	-1	117000	-0.03980303652	0.3	127500	-0.05555555556	-0.01923076923	120	-0.07091539177	1.157333333	136.779379157	-0.00303030303	0.282725648	1	-0.5	0	7	0.75	0.4	6	0.2	-0.1428571429	6	-0.25	-0.5	NA	NA	NA	16	-27.5	-405	0.984020185	0.004702400207	-0.01597981497	0	0	0	NA	NA	NA	0.4285714286	0.1785714286	0.2285714286	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
"2015-10-01"	"2015-12-31"	90	"neighborhood"	1	56033	false	"Fort Lauderdale, FL - Riverside Park"	"Fort Lauderdale"	"Florida"	"FL"	"Single Family Residential"	6	133564.5	-0.01826901874	0.1524115617	209500	0.07989690722	0.6127790608	110.677544989	0.1857459848	0.3636543075	138.767649918	0.03853709199	0.1775346944	2	0	1	6	0.5	2	8	0.1428571429	0.1428571429	6	-0.3333333333	-0.5714285714	NA	NA	NA	154	-172.5	132	0.9643714302	-0.01528234336	-0.8187054929	0.5	0	-0.5	NA	NA	NA	0.1666666667	0.1666666667	0.1666666667	"Fort Lauderdale, FL"	22744	"2026-06-02 14:33:24.470 Z"
