status,neighborhood,ptype,list_price,sqft,ask_ppsf,pred_ppsf,gap_pct,waterfront,flag
Active,Lauderdale,Single Family,724999.0,2413.0,300.0,508.0,-40.8,False,Underpriced
Active,Manor Grove Village One,Condo,249900.0,1180.0,212.0,358.0,-40.8,True,Underpriced
Pending,River Highlands Amen,Single Family,250000.0,966.0,259.0,434.0,-40.3,False,Underpriced
Active,Breakwater Towers Co Op,Condo,259500.0,1036.0,250.0,418.0,-40.1,False,Underpriced
Active,Las Olas,Condo,400000.0,1447.0,276.0,461.0,-40.0,False,Underpriced
Active,Sky Harbour East,Condo,670000.0,2161.0,310.0,516.0,-39.9,True,Underpriced
Pending,Park Place,Condo,175000.0,830.0,211.0,351.0,-39.9,False,Underpriced
Active,Sailboat Bend,Single Family,1075000.0,2723.0,395.0,655.0,-39.8,False,Underpriced
Pending,Lakeridge Poinsettiaheight,Single Family,2500000.0,3430.0,729.0,1203.0,-39.4,False,Underpriced
Active,Tudor Manor,Condo,194000.0,740.0,262.0,433.0,-39.4,False,Underpriced
Active,Club Resort Residences,Condo,269000.0,662.0,406.0,670.0,-39.3,True,Underpriced
Active,Atlantic Hotel,Condo,385000.0,990.0,389.0,638.0,-39.0,True,Underpriced
Active,Las Olas,Condo,339000.0,1148.0,295.0,484.0,-38.9,False,Underpriced
Active,Village Harbor Beach,Condo,179999.0,685.0,263.0,429.0,-38.8,False,Underpriced
Active,Cliff Lake Villas Co Op,Condo,135000.0,800.0,169.0,275.0,-38.6,False,Underpriced
Active,Club Resort Residences,Condo,229500.0,533.0,431.0,702.0,-38.6,True,Underpriced
Active,Sky Harbour East,Condo,684900.0,2161.0,317.0,516.0,-38.6,True,Underpriced
Active,Breakwater Towers Co Op,Condo,225000.0,805.0,280.0,455.0,-38.5,False,Underpriced
Active,Las Olas,Condo,320000.0,816.0,392.0,637.0,-38.4,True,Underpriced
Active,Progresso,Single Family,615000.0,2248.0,274.0,443.0,-38.3,False,Underpriced
Active,Quarterdeck Condominium,Condo,254000.0,1008.0,252.0,408.0,-38.2,True,Underpriced
Active,Atlantic Hotel,Condo,385000.0,975.0,395.0,637.0,-38.0,True,Underpriced
Pending,Ft Lauderdale Land Dev,Townhouse,521000.0,2046.0,255.0,409.0,-37.8,False,Underpriced
Active,Everglades Land Sales Co Harbor Vista Townhome,Townhouse,675000.0,1826.0,370.0,589.0,-37.2,False,Underpriced
