street,neighborhood,geo_type,sold_ppsf,model_ppsf,premium_vs_nbhd,waterfront_share,median_price,n_sold,n_active
E Lake Dr,Harbor Beach,Barrier island / beach,954.0,966.0,3.6,0.0,3708750,4,2
Center Ave,Lauderdale Beach,Barrier island / beach,932.0,1052.0,-8.1,0.0,2217500,6,2
SE 10th St,Rio Vista,Mainland inland,909.0,876.0,13.6,0.43,4050000,7,5
Riviera Isle Dr,Riviera,Intracoastal / canal waterfront,882.0,1102.0,-35.2,0.67,2400000,6,1
SE 13th St,Lauderdale Harbors,Intracoastal / canal waterfront,882.0,852.0,2.5,0.62,2322500,8,2
Bontona Ave,Venice,Finger-isle waterfront,863.0,1075.0,-23.2,1.0,3500000,5,3
Harbourview Dr,Harbour Heights,Finger-isle waterfront,854.0,1100.0,21.9,0.5,3647500,4,3
Seminole Dr,Beach Way Heights,Intracoastal / canal waterfront,850.0,746.0,-16.5,1.0,2950000,11,4
NE 25th Ct,Coral Ridge Galt,Barrier island / beach,844.0,942.0,20.4,0.5,3750000,4,0
Coral Ridge Dr,Coral Ridge,Mainland inland,824.0,626.0,4.0,0.0,1532500,4,1
Ponce De Leon Dr,Rio Vista,Mainland inland,815.0,875.0,1.9,0.46,2950000,13,2
SE 6th St,Rio Vista,Mainland inland,801.0,778.0,0.1,0.0,2187500,4,0
NE 22nd Ter,North Bal Harbour,Finger-isle waterfront,792.0,874.0,0.0,1.0,1665000,5,1
NE 23rd St,Re Wilton Mano,Mainland inland,790.0,538.0,38.3,0.0,783000,4,0
NE 15th Ter,Edgewater Estates,Intracoastal / canal waterfront,786.0,751.0,9.3,0.71,1225000,7,1
N Fort Lauderdale Beach Blvd,Club Resort Residence,Barrier island / beach,783.0,666.0,130.0,0.86,832500,78,75
S Fort Lauderdale Beach Blvd,Las Olas,Barrier island / beach,770.0,616.0,22.9,0.95,1730000,20,16
SE 13th Ter,Lauderdale Harbors,Mainland inland,759.0,691.0,-11.7,0.0,1800000,5,2
SE 9th St,Rio Vista,Mainland inland,749.0,834.0,-6.4,0.33,2999000,9,5
NE 25th St,Coral Point,Mainland inland,749.0,604.0,30.5,0.5,1780000,8,3
SE 7th St,Rio Vista,Mainland inland,743.0,702.0,-7.1,0.17,1160000,23,2
Avocado Isle,South New River Isles,Finger-isle waterfront,739.0,668.0,3.4,1.0,1150000,5,3
Orange Isle,Mrs Marshalls,Finger-isle waterfront,737.0,640.0,9.2,1.0,1220000,5,0
Seabreeze Blvd,Harbor Beach,Barrier island / beach,732.0,752.0,-20.5,0.0,1756000,6,10
Mango Isle,South New River Isles,Finger-isle waterfront,726.0,648.0,1.5,1.0,1215500,8,0
NE 26th Pl,Coral Ridge Galt,Barrier island / beach,724.0,954.0,3.2,0.75,3225000,4,3
Mandarin Isle,South New River Isles,Finger-isle waterfront,719.0,683.0,0.6,1.0,1009000,5,6
Coral Shores Dr,Coral Shores,Intracoastal / canal waterfront,717.0,685.0,43.1,0.71,1000000,7,3
NE 22nd St,Coral Point,Mainland inland,704.0,661.0,22.6,0.15,1375000,13,1
