neighborhood,band,n_sold,n_live,sold_ppsf,ask_ppsf,gap_pct,verdict,median_sold_price
Palms,$1M–$2M,5,1,577.0,,,,1200000.0
Palms,$3M–$5M,2,0,900.0,,,,4000000.0
Palms Tower One,$1M–$2M,1,2,,730.0,,,1125000.0
Palms Tower One,$2M–$3M,0,2,,748.0,,,
Paramount,$1M–$2M,3,0,774.0,,,,1450000.0
Paramount,$2M–$3M,5,2,1204.0,1090.0,-9.4,Fairly priced,2300000.0
Paramount,$3M–$5M,2,0,1308.0,,,,3855750.0
Pelican Isles,$3M–$5M,2,0,1538.0,,,,4400000.0
Pelican Isles,$5M–$10M,0,2,,1180.0,,,
Poinsettia Heights,$1M–$2M,10,1,675.0,,,,1387500.0
Poinsettia Heights,$2M–$3M,3,4,729.0,895.0,22.8,Overpriced,2150000.0
Point Americas,$1M–$2M,9,11,662.0,711.0,7.4,Fairly priced,1420000.0
Point Americas,$2M–$3M,1,2,,792.0,,,2700000.0
Progresso,$1M–$2M,24,16,546.0,549.0,0.5,Fairly priced,1162500.0
Progresso,$2M–$3M,3,7,742.0,828.0,11.6,Overpriced,2050000.0
Rio Vista,$1M–$2M,28,5,720.0,731.0,1.6,Fairly priced,1425000.0
Rio Vista,$2M–$3M,28,5,792.0,962.0,21.5,Overpriced,2653125.0
Rio Vista,$3M–$5M,17,13,924.0,945.0,2.3,Fairly priced,3600000.0
Rio Vista,$5M–$10M,6,4,1370.0,1500.0,9.5,Fairly priced,6725000.0
Rio Vista,$10M+,3,3,1654.0,2441.0,47.6,Overpriced,11282000.0
Ritz Carlton,$2M–$3M,3,0,1344.0,,,,2650000.0
Ritz Carlton,$5M–$10M,0,2,,1576.0,,,
Riverside Amen,$1M–$2M,2,0,634.0,,,,1725000.0
Riverside Amen,$2M–$3M,2,1,628.0,,,,2067500.0
Riviera,$3M–$5M,3,0,926.0,,,,3625000.0
Riviera,$5M–$10M,3,1,1465.0,,,,7500000.0
Riviera,$10M+,1,2,,2129.0,,,14400000.0
Sea Isles,$5M–$10M,1,2,,1645.0,,,8200000.0
Sea Isles,$10M+,1,2,,2960.0,,,19000000.0
Selene,$1M–$2M,2,1,998.0,,,,1525000.0
Selene,$2M–$3M,2,3,1127.0,1286.0,14.1,Overpriced,2130000.0
Selene Oceanfront,$1M–$2M,1,3,,1059.0,,,1977000.0
Selene Oceanfront,$2M–$3M,1,3,,1252.0,,,2100000.0
Selene Oceanfront Residen,$1M–$2M,7,0,872.0,,,,1450000.0
Selene Oceanfront Residen,$3M–$5M,2,4,1200.0,1336.0,11.3,Overpriced,3887500.0
Seven Isles,$3M–$5M,4,0,1015.0,,,,3352500.0
Seven Isles,$5M–$10M,4,0,1182.0,,,,7074000.0
South New River Isles,$1M–$2M,14,6,735.0,820.0,11.6,Overpriced,1383000.0
South New River Isles,$2M–$3M,1,4,,1100.0,,,2225000.0
St Regis Residences,$3M–$5M,0,2,,2239.0,,,
St Regis Residences,$5M–$10M,0,3,,2359.0,,,
St Regis Residences,$10M+,0,2,,3982.0,,,
Stilwell Isles,$3M–$5M,3,0,1119.0,,,,4000000.0
Stilwell Isles,$5M–$10M,4,3,1182.0,1122.0,-5.1,Fairly priced,5947500.0
Stranahans,$1M–$2M,7,1,596.0,,,,1075000.0
Stranahans,$2M–$3M,1,3,,672.0,,,2520000.0
Sunrise,$1M–$2M,2,0,709.0,,,,1587071.0
Sunrise,$2M–$3M,2,1,836.0,,,,2437500.0
Sunrise,$10M+,0,3,,2964.0,,,
Sunrise Intracoastal,$2M–$3M,2,0,721.0,,,,2397500.0
Sunrise Intracoastal,$5M–$10M,2,0,1144.0,,,,7400000.0
Sunrise Key,$3M–$5M,2,0,1190.0,,,,4500000.0
Sunrise Key,$10M+,2,0,3376.0,,,,22050000.0
Tarpon River,$1M–$2M,6,5,432.0,496.0,14.7,Overpriced,1262500.0
Tarpon River,$2M–$3M,1,2,,758.0,,,2400000.0
Venice,$3M–$5M,5,2,853.0,1173.0,37.5,Overpriced,3500000.0
Venice,$5M–$10M,5,2,1125.0,1316.0,16.9,Overpriced,6300000.0
Venice,$10M+,1,2,,3078.0,,,23955000.0
Viceroy Fort Lauderdale,$1M–$2M,0,5,,1183.0,,,
Viceroy Fort Lauderdale,$2M–$3M,0,2,,1670.0,,,
Viceroy Fort Lauderdale,$3M–$5M,0,2,,3487.0,,,
Victoria Park,$1M–$2M,64,13,562.0,687.0,22.2,Overpriced,1350000.0
Victoria Park,$2M–$3M,29,4,724.0,684.0,-5.5,Fairly priced,2495000.0
Victoria Park,$3M–$5M,10,9,778.0,887.0,13.9,Overpriced,3050000.0
View Pointe,$2M–$3M,0,2,,1612.0,,,
View Pointe,$5M–$10M,0,2,,2438.0,,,
Wilton Manors,$1M–$2M,7,1,677.0,,,,1390000.0
Wilton Manors,$2M–$3M,4,1,852.0,,,,2676250.0
