neighborhood,basis_type,geo_type,norm_ppsf,sold_ppsf_median,sold_n,waterfront_share,waterfront_ppsf,dry_ppsf,waterfront_premium_local_pct,n_waterfront,median_sale_price,median_sqft,median_discount_pct,house_ppsf,condo_ppsf,townhouse_ppsf,n_house,n_condo,n_townhouse,new_ppsf,existing_ppsf,new_premium_pct,new_n,implied_land_ppsf,median_lot_sqft,median_year_built,vs_city_pct,failure_rate,failed_median_overpricing,failed_n
Coral Shores,Single Family,Mainland inland,485.1,501.2,21,0.38,743.9,495.4,50.2,8,910000,1860,2.4,514.6,,314.2,20,0,1,,499.2,,1,41.5,7702.0,1955,4.3,36.4,18.8,12
Coral Estates,Single Family,Mainland inland,478.7,487.1,12,0.0,,487.1,,0,727450,1768,3.56,487.1,,,12,0,0,,487.1,,0,33.4,7645.0,1954,2.9,36.8,21.3,7
Lauderdale Park,Single Family,Mainland inland,476.3,458.8,21,0.0,,458.8,,0,630000,1490,2.91,458.8,,,21,0,0,,489.8,,1,36.9,6000.0,1955,2.4,61.1,8.2,33
Hillbrook,Single Family,Mainland inland,468.6,452.0,12,0.0,,452.0,,0,882500,1826,1.83,452.0,,,12,0,0,,452.0,,0,28.9,10721.0,1955,0.7,47.8,1.7,11
Venetian Condominium,Condo,Barrier island / beach,467.6,560.0,14,0.93,553.3,,,13,787500,1425,6.14,,560.0,,0,14,0,,560.0,,0,,,1971,0.5,50.0,3.6,14
Shady Banks,Single Family,Mainland inland,467.2,426.9,18,0.22,639.9,418.7,52.8,4,639250,1451,4.86,426.9,,,18,0,0,,426.9,,0,30.3,7475.0,1953,0.4,56.1,2.9,23
Croissant Park,Single Family,Mainland inland,465.1,484.0,34,0.24,545.1,467.6,16.6,8,584500,1262,3.95,491.7,,393.0,30,0,4,586.1,479.2,22.3,7,29.7,6588.0,1950,-0.0,56.4,7.4,44
Middle River Manor,Single Family,Intracoastal / canal waterfront,452.6,619.1,18,0.89,628.6,,,16,1137500,1885,4.0,619.1,,,18,0,0,,600.6,,2,57.1,7000.0,1956,-2.7,58.1,22.7,25
Middle River Terrace,Single Family,Mainland inland,447.4,414.1,15,0.2,,414.6,,3,600000,1535,5.77,415.1,335.1,300.7,13,1,1,,414.1,,0,32.9,6420.0,1956,-3.8,57.1,5.5,20
Point Americas,Condo,Barrier island / beach,447.3,540.8,28,0.96,541.0,,,27,882859,1727,7.81,,540.8,,0,28,0,,540.8,,0,,,1969,-3.9,58.2,13.8,39
Progresso,Single Family,Mainland inland,445.9,409.1,242,0.0,,409.1,,0,545000,1330,3.38,419.8,159.9,387.8,199,1,42,593.1,405.2,46.4,19,27.1,6752.0,1953,-4.2,54.2,10.3,286
Coral Point,Single Family,Intracoastal / canal waterfront,443.6,574.2,15,0.8,574.4,,,12,985000,1941,5.63,574.2,,,15,0,0,,551.5,,1,49.4,7002.0,1957,-4.7,60.5,13.6,23
Gill Isles,Single Family,Finger-isle waterfront,443.3,538.5,14,0.79,541.1,,,11,845500,1581,7.52,538.5,,,14,0,0,,538.5,,0,38.3,7680.0,1959,-4.7,62.2,23.2,23
Las Olas,Condo,Intracoastal / canal waterfront,418.4,627.1,163,0.51,708.5,468.1,51.4,83,1185000,1867,5.6,902.2,608.3,583.6,19,140,4,816.8,584.7,39.7,21,124.9,6334.0,2005,-10.1,60.8,7.6,253
Watergarden,Condo,Intracoastal / canal waterfront,413.8,571.8,46,0.87,589.9,526.9,12.0,40,710000,1178,4.59,,571.8,,0,46,0,,571.8,,0,,,2004,-11.1,46.5,0.8,40
River Oaks,Single Family,Mainland inland,392.6,412.7,19,0.0,,412.7,,0,822000,2274,6.06,412.7,,,19,0,0,,406.4,,3,46.2,6250.0,2004,-15.6,32.1,0.0,9
Jenada Villas,Single Family,Mainland inland,385.3,378.4,22,0.18,368.8,388.8,-5.1,4,589500,1519,2.92,378.4,,,22,0,0,,378.4,,0,29.0,7026.0,1957,-17.2,56.9,12.7,29
Essex Tower,Condo,Mainland inland,369.0,385.5,16,0.06,,384.6,,1,415000,1218,6.24,,385.5,,0,16,0,,385.5,,0,,,1971,-20.7,42.9,-8.7,12
Vantage View,Condo,Barrier island / beach,361.5,431.3,14,0.29,423.9,431.3,-1.7,4,476500,1100,3.85,,431.3,,0,14,0,,431.3,,0,,,1976,-22.3,74.5,9.1,41
Lauderdale Manors,Single Family,Mainland inland,355.5,335.3,102,0.0,,335.3,,0,369950,1110,0.19,335.3,,,102,0,0,,331.4,,2,16.9,7697.0,1954,-23.6,41.0,8.1,71
Symphony,Condo,Intracoastal / canal waterfront,339.7,507.9,16,0.94,509.3,,,15,642500,1221,2.68,,507.9,,0,16,0,,507.9,,0,,,2005,-27.0,40.7,1.0,11
Marina Landings,Single Family,Mainland inland,338.5,438.0,25,0.0,,438.0,,0,1205000,2751,0.0,438.0,,,25,0,0,438.0,,,25,104.6,4050.0,2024,-27.3,28.6,1.0,10
Waverly Las Olas,Condo,Mainland inland,335.5,383.5,23,0.0,,383.5,,0,485000,1225,4.21,,383.5,,0,23,0,,383.5,,0,,,2005,-27.9,54.9,5.8,28
Lauderdale Villas,Single Family,Mainland inland,316.3,306.1,20,0.0,,306.1,,0,442500,1474,0.0,306.1,,,20,0,0,,291.4,,1,16.4,9460.0,1953,-32.0,61.5,6.8,32
Tarpon River,Townhouse,Mainland inland,314.5,424.2,28,0.0,,424.2,,0,820000,2062,3.83,522.4,,387.8,12,0,16,444.0,399.2,11.2,8,33.8,6500.0,2005,-32.4,47.2,4.7,25
Lauderdale Tower,Condo,Intracoastal / canal waterfront,314.3,396.6,12,0.75,397.3,,,9,282000,730,5.93,,396.6,,0,12,0,,396.6,,0,,,1964,-32.5,55.6,-4.2,15
Nuriver Landing,Condo,Intracoastal / canal waterfront,300.9,432.4,34,0.82,432.4,427.2,1.2,28,512500,1246,3.15,,432.4,,0,34,0,,432.4,,0,,,2006,-35.3,47.7,7.4,31
Marine Tower,Condo,Intracoastal / canal waterfront,298.3,386.4,12,0.92,398.4,,,11,552500,1595,6.95,,386.4,,0,12,0,,386.4,,0,,,1969,-35.9,53.8,9.5,14
Berkley South,Condo,Barrier island / beach,297.4,300.0,21,0.05,,299.2,,1,295000,1144,5.44,,300.0,,0,21,0,,300.0,,0,,,1974,-36.1,46.2,2.7,18
Village East,Condo,Mainland inland,297.3,348.7,26,0.0,,348.7,,0,338750,1054,4.93,,336.8,358.8,0,21,5,,348.7,,0,,,2001,-36.1,59.4,4.1,38
White Egret,Condo,Barrier island / beach,291.9,321.1,14,0.21,,326.4,,3,367500,1103,3.99,,321.1,,0,14,0,,321.1,,0,,,1971,-37.3,51.7,4.8,15
Sole Fort Lauderdale,Condo,Downtown high-rise,291.3,315.0,15,0.0,,315.0,,0,295000,958,2.74,,315.0,,0,15,0,,315.0,,0,,,2005,-37.4,50.0,23.3,15
Wilton Station,Condo,Mainland inland,269.6,324.7,49,0.16,325.5,324.7,0.2,8,490000,1650,3.51,,338.1,288.3,0,37,12,,324.7,,0,,,2006,-42.1,42.4,8.7,36
Manor Grove Village Two,Condo,Mainland inland,269.5,300.7,12,0.08,,300.0,,1,237500,750,1.86,,300.7,,0,12,0,,300.7,,0,,,1971,-42.1,55.6,6.8,15
Manor Grove Village Four,Condo,Mainland inland,261.5,264.4,17,0.0,,264.4,,0,290000,1180,3.6,,264.4,,0,17,0,,264.4,,0,,,1973,-43.8,34.6,13.0,9
Sunrise Tower,Condo,Intracoastal / canal waterfront,239.2,288.0,15,0.87,293.2,,,13,275000,955,8.03,,288.0,,0,15,0,,288.0,,0,,,1963,-48.6,25.0,-8.2,5
Marina Oaks,Condo,Mainland inland,239.2,260.4,14,0.0,,260.4,,0,198400,770,3.0,,260.4,,0,14,0,,260.4,,0,,,1988,-48.6,39.1,2.3,9
Villa Medici,Townhouse,Mainland inland,229.4,254.0,12,0.0,,254.0,,0,535000,2100,2.18,,253.3,254.8,0,3,9,,254.0,,0,,,2005,-50.7,60.0,4.3,18
Village Sailboat Bend,Condo,Mainland inland,229.3,273.1,23,0.0,,273.1,,0,265000,856,4.05,,312.3,229.3,0,16,7,,273.1,,0,,,2005,-50.7,30.3,0.2,10
Club Resort Residence,Condo,Barrier island / beach,224.1,340.7,22,0.95,342.3,,,21,233750,594,6.33,,340.7,,0,22,0,,340.7,,0,,,2006,-51.8,69.9,25.4,51
River Manor,Condo,Mainland inland,223.3,278.6,27,0.44,282.8,275.0,2.8,12,245000,1000,3.42,,278.6,,0,27,0,,278.6,,0,,,1973,-52.0,37.2,21.4,16
River Shores,Condo,Intracoastal / canal waterfront,218.5,300.0,15,0.8,304.2,,,12,195000,600,5.28,,300.0,,0,15,0,,300.0,,0,,,1965,-53.0,70.0,15.5,35
River Reach,Condo,Intracoastal / canal waterfront,213.5,266.3,54,0.83,266.7,261.1,2.1,45,309250,1110,6.29,,266.3,,0,54,0,,266.3,,0,,,1974,-54.1,56.1,19.7,69
Drake Tower,Condo,Intracoastal / canal waterfront,210.4,254.2,13,0.69,276.1,241.9,14.1,9,197000,790,5.45,,254.2,,0,13,0,,254.2,,0,,,1975,-54.8,50.0,23.8,13
Gallery One,Condo,Intracoastal / canal waterfront,171.9,240.9,29,0.97,248.6,,,28,139900,554,5.04,,240.9,,0,29,0,,240.9,,0,,,1988,-63.1,75.4,30.4,89
East Point Towers,Condo,Intracoastal / canal waterfront,158.6,213.5,25,0.96,214.8,,,24,260000,1344,6.69,,213.5,,0,25,0,,213.5,,0,,,1973,-65.9,64.3,13.8,45
