status,mls,area,address,neighborhood,sub_raw,list_price,sale_price,acre,psqft,lot_desc,zn,style,ptype,waterfront,road,lot_sqft,density,is_dock,acre_band,value,land_ppsf,corner,cul_de_sac,interior,irregular,oversized,flood,east_us1,west_us1
Sold,A11310492,5940 Florida Other,14294 Moonfish Ct,Rotonda Villas,ROTONDA VILLAS,11500.0,11500.0,0.18,7800.0,Less Than 1/4 Acre Lot,,Zoned Residential,Residential,False,,7800.0,Single-family,False,< 0.25 ac,11500.0,1.4743589743589745,False,False,False,False,False,False,False,False
Sold,T20054128,7070,1211 N 16th CT,,,10500.0,10500.0,0.0592,,,,,Single,False,,2578.752,,False,< 0.25 ac,10500.0,4.071737026282481,False,False,False,False,False,False,False,False
Sold,R11159099,7070,1211 N 16th Court,Highland Park Subdivision,HIGHLAND PARK SUBDIVISION,10500.0,10500.0,0.0592,,"Less Than 1/4 Acre Lot, Less Than 1 Acre, West Of US 1",Medium,,Unimproved Agri/Recreatn/Moblhome,False,City/County Maintained,2578.752,,False,< 0.25 ac,10500.0,4.071737026282481,False,False,False,False,False,False,False,True
Sold,A11631313,5940 Florida Other,NEW PORT RICHEY HELENA ST,Moon Lake Estates,MOON LAKE ESTATES,10000.0,10000.0,0.1945,,,,Zoned Residential,Residential,False,,8472.42,Single-family,False,< 0.25 ac,10000.0,1.1803003156123044,False,False,False,False,False,False,False,False
Sold,R11090997,5940 Florida Other,182 Millican Road,Rio De St Johns,RIO DE ST JOHNS,10900.0,10900.0,0.26,,,RES,,Single,False,,11325.6,Single-family,False,0.25–0.5 ac,10900.0,0.9624214169668714,False,False,False,False,False,False,False,False
Sold,R11090996,5940 Florida Other,180 Millican Road,Rio De St Johns,RIO DE ST JOHNS,12200.0,12200.0,0.26,,1/4 To Less Than 1/2 Acre Lot,RES,,Unimproved Agri/Recreatn/Moblhome,False,,11325.6,Single-family,False,0.25–0.5 ac,12200.0,1.077205622660168,False,False,False,False,False,False,False,False
Sold,A11934269,5940 Florida Other,0 Southwest 2nd Place,Rainbow Park,RAINBOW PARK UNIT 8,10000.0,10000.0,0.26,,,,Zoned Residential,Residential,False,,11325.6,Single-family,False,0.25–0.5 ac,10000.0,0.8829554284099739,False,False,False,False,False,False,False,False
Sold,A11902929,5940 Florida Other,433 CLAREMONT AVE,Placid Lakes,PLACID LAKES,10000.0,10000.0,0.3,,Less Than 1/4 Acre Lot,,Zoned Residential,Other,False,,13068.0,Single-family,False,< 0.25 ac,10000.0,0.7652280379553107,False,False,False,False,False,False,False,False
Sold,F10492651,5940 Florida Other,Lot 5 BLK 341 Blk 341 Palm Beach Drive,Indian Lake Estates,INDIAN LAKE ESTATES,9800.0,9800.0,0.5,21800.0,1/2 To Less Than 3/4 Acre Lot,,Zoned Residential,Unimproved Agri/Recreatn/Moblhome,False,Private Road,21800.0,Single-family,False,0.5–0.75 ac,9800.0,0.44954128440366975,False,False,False,False,False,False,False,False
Sold,R11100189,5940 Florida Other,512 Dogwood Avenue,Paradise Lakes,PARADISE LAKES SUB,9000.0,9000.0,0.23,,Less Than 1/4 Acre Lot,R2,,Single,False,,10018.800000000001,Single-family,False,< 0.25 ac,9000.0,0.8983111749910168,False,False,False,False,False,False,False,False
Sold,B26003913,5940 Florida Other,6280 Bowdoin Avenue,Highridge Estates,HIGHRIDGE ESTATES,8000.0,8000.0,0.34,,"1/4 To Less Than 1/2 Acre Lot, Less Than 1 Acre",00,,Unimproved Agri/Recreatn/Moblhome,False,Gravel/Lime Rock Road,14810.400000000001,,False,0.25–0.5 ac,8000.0,0.5401609679684546,False,False,False,False,False,False,False,False
Sold,A11927088,5940 Florida Other,3517 Green Acre Way,Buchanans Green Acres,BUCHANANS GREEN ACRES,20000.0,20000.0,0.2571,11200.0,,,Zoned Residential,Other,False,,11200.0,Single-family,False,0.25–0.5 ac,20000.0,1.7857142857142858,False,False,False,False,False,False,False,False
Sold,R11137259,5940 Florida Other,234 1st Way,Oak Ridge Park,OAK RIDGE PARK,9000.0,9000.0,0.11,,Less Than 1/4 Acre Lot,Residential,,Unimproved Agri/Recreatn/Moblhome,False,Paved Road,4791.6,Single-family,False,< 0.25 ac,9000.0,1.8782870022539442,False,False,False,False,False,False,False,False
Sold,R11137258,5940 Florida Other,232 1st Way,Oak Ridge Park,OAK RIDGE PARK,9000.0,9000.0,0.11,,Less Than 1/4 Acre Lot,Residential,,Unimproved Agri/Recreatn/Moblhome,False,"Gravel/Lime Rock Road, Paved Road",4791.6,Single-family,False,< 0.25 ac,9000.0,1.8782870022539442,False,False,False,False,False,False,False,False
Sold,A11903682,5940 Florida Other,MOMENCE CT-Alford MOMENCE CT,Compass Lake Hills,COMPASS LAKE HILLS,9000.0,9000.0,1.518,,,,Zoned Residential,Residential,False,,66124.08,Single-family,False,1–2 ac,9000.0,0.1361077537865177,False,False,False,False,False,False,False,False
