status,area,neighborhood,list_price,sale_price,beds,fbaths,hbaths,sqft,ptype,year_built,garage,pool,waterfront,lot_sqft,baths,age,ask_ppsf,sale_ppsf,discount,geo
Active,3280,Aqua Vista,12900000.0,,4,3,0.0,3192.0,Single Family,1970.0,2.0,True,True,,3.0,56.0,4041.3533834586465,,,AREA_3280
Active,3260,Coral Ridge,12495000.0,,5,5,2.0,6139.0,Single Family,2021.0,3.0,True,True,11990.0,6.0,5.0,2035.3477765108323,,,Coral Ridge
Active,3600,Rio Vista,12495000.0,,5,5,2.0,7171.0,Single Family,2017.0,3.0,True,True,12500.0,6.0,9.0,1742.4348068609677,,,Rio Vista
Active,3280,Coral Isles,12490000.0,,6,7,1.0,8365.0,Single Family,2004.0,4.0,True,True,15750.0,7.5,22.0,1493.1261207411835,,,Coral Isles
Active,3280,Nurmi Isles,12388000.0,,6,5,1.0,6479.0,Single Family,2026.0,3.0,True,True,10200.0,5.5,0.0,1912.0234604105572,,,Nurmi Isles
Active,3260,Coral Ridge,11995000.0,,6,7,2.0,6718.0,Single Family,2021.0,3.0,True,True,18562.0,8.0,5.0,1785.501637392081,,,Coral Ridge
Active,3280,Idlewyld,11900000.0,,5,6,1.0,5995.0,Single Family,1974.0,2.0,True,True,23520.0,6.5,52.0,1984.9874895746455,,,Idlewyld
Active,3160,Las Olas,11295000.0,,3,4,2.0,5695.0,Condo,2007.0,2.0,True,True,0.0,5.0,19.0,1983.3187006145743,,,Las Olas
Active,3160,Auberge,10995000.0,,4,4,1.0,4498.0,Condo,2018.0,4.0,False,True,0.0,4.5,8.0,2444.4197421076033,,,AREA_3160
Active,3800,Las Olas,10990000.0,,5,6,1.0,5281.0,Condo,2020.0,4.0,False,False,,6.5,6.0,2081.045256580193,,,Las Olas
Active,3260,Coral Ridge Galt,10500000.0,,5,5,2.0,6274.0,Single Family,2026.0,4.0,True,True,11403.0,6.0,0.0,1673.5734778450749,,,Coral Ridge Galt
Active,3160,Ritz Carlton,10495000.0,,4,5,1.0,7031.0,Condo,2007.0,2.0,False,True,,5.5,19.0,1492.6752951216042,,,AREA_3160
Active,3280,Gould Isles,10495000.0,,5,7,1.0,6590.0,Single Family,2026.0,3.0,True,True,9000.0,7.5,0.0,1592.5644916540211,,,AREA_3280
Active,3280,Gould Isles,10495000.0,,5,7,2.0,7393.0,Single Family,2016.0,3.0,True,True,12300.0,8.0,10.0,1419.5860949546868,,,AREA_3280
Active,3280,Nurmi Isles,10200000.0,,6,7,1.0,6303.0,Single Family,2026.0,4.0,True,True,10200.0,7.5,0.0,1618.277010947168,,,Nurmi Isles
Active,3170,Harbor Beach,10000000.0,,9,8,1.0,9501.0,Single Family,2018.0,6.0,True,False,37400.0,8.5,8.0,1052.520787285549,,,Harbor Beach
Active,3160,Selene Oceanfront Residenc,9999000.0,,3,4,1.0,5183.0,Condo,2025.0,3.0,False,True,0.0,4.5,1.0,1929.1915878834652,,,AREA_3160
Active,3170,Selene,9999000.0,,4,5,1.0,5435.0,Condo,2025.0,3.0,False,True,0.0,5.5,1.0,1839.7424103035878,,,AREA_3170
Active,3160,Fort Lauderdale Beach Auberge Beach Residences,9995000.0,,4,4,2.0,4498.0,Condo,2019.0,4.0,False,True,,5.0,7.0,2222.098710538017,,,AREA_3160
Active,3280,Riviera,9900000.0,,4,5,0.0,3775.0,Single Family,2020.0,4.0,True,True,12500.0,5.0,6.0,2622.5165562913908,,,AREA_3280
Active,3260,Coral Ridge,9799000.0,,5,6,1.0,4991.0,Single Family,2024.0,3.0,True,True,10426.0,6.5,2.0,1963.3340012021638,,,Coral Ridge
Active,3260,Bal Harbour St,9700000.0,,5,6,2.0,6629.0,Single Family,2026.0,6.0,True,True,8889.0,7.0,0.0,1463.2674611555287,,,AREA_3260
Active,3160,Fort Lauderdale Beac Auberge Beach,9500000.0,,4,5,,4365.0,Condo,2018.0,0.0,False,True,,5.0,8.0,2176.4032073310423,,,AREA_3160
Active,3280,Las Olas Isles,9500000.0,,6,6,2.0,8206.0,Single Family,2012.0,3.0,True,True,12999.0,7.0,14.0,1157.689495491104,,,Las Olas Isles
Active,3160,Birch Park Finger Estates,9495000.0,,5,5,1.0,4619.0,Single Family,2024.0,3.0,True,True,7827.0,5.5,2.0,2055.63974886339,,,AREA_3160
Active,3280,Stilwell Isles,9475000.0,,7,6,0.0,7674.0,Single Family,2015.0,3.0,True,True,12506.0,6.0,11.0,1234.6885587698723,,,AREA_3280
Active,3280,Sea Isles,9250000.0,,4,4,1.0,4078.0,Single Family,1959.0,3.0,True,True,12259.0,4.5,67.0,2268.268759195684,,,AREA_3280
Active,3280,Venice,9200000.0,,6,5,,6545.0,Single Family,2019.0,2.0,True,True,8890.0,5.0,7.0,1405.6531703590526,,,Venice
Active,3280,Nurmi Isles,8999000.0,,7,5,1.0,6446.0,Single Family,2017.0,3.0,True,True,11400.0,5.5,9.0,1396.05957182749,,,Nurmi Isles
Active,3280,Gould Isles,8995000.0,,7,5,1.0,6138.0,Single Family,2015.0,6.0,True,True,11700.0,5.5,11.0,1465.461062235256,,,AREA_3280
Active,3600,Lauderdale Harbors,8995000.0,,5,5,1.0,5950.0,Single Family,2024.0,2.0,True,True,,5.5,2.0,1511.764705882353,,,Lauderdale Harbors
Active,3170,Lucille Isles,8950000.0,,5,4,1.0,5299.0,Single Family,1982.0,2.0,True,True,11875.0,4.5,44.0,1688.9979241366295,,,AREA_3170
Active,3280,Coral Isles,8950000.0,,6,7,1.0,6363.0,Single Family,2001.0,3.0,True,True,11000.0,7.5,25.0,1406.5692283514065,,,Coral Isles
Active,3170,Harbour Heights,8900000.0,,4,4,1.0,3494.0,Single Family,1988.0,3.0,True,True,12500.0,4.5,38.0,2547.2238122495705,,,Harbour Heights
Active,3600,Lauderdale Harbors Section,8650000.0,,6,7,0.0,5781.0,Single Family,2026.0,3.0,True,True,7700.0,7.0,0.0,1496.280920256011,,,AREA_3600
Active,3280,Pelican Isles,8399000.0,,6,6,2.0,6642.0,Single Family,2019.0,3.0,True,True,12926.0,7.0,7.0,1264.5287563986751,,,AREA_3280
Active,3170,St Regis Residences,8375350.0,,4,4,1.0,3550.0,Condo,2028.0,2.0,False,True,0.0,4.5,,2359.2535211267605,,,AREA_3170
Active,3260,Coral Ridge Galt,8300000.0,,6,6,2.0,5628.0,Single Family,2022.0,3.0,True,True,10004.0,7.0,4.0,1474.769012082445,,,Coral Ridge Galt
Active,3160,Fort Lauderdale Beac Auberge Beach,8150000.0,,4,4,1.0,3767.0,Condo,2018.0,0.0,False,True,,4.5,8.0,2163.525351738784,,,AREA_3160
Active,3280,Stilwell Isles,7999999.0,,6,7,1.0,7130.0,Single Family,2004.0,0.0,True,True,,7.5,22.0,1122.0194950911641,,,AREA_3280
Active,3260,North Bal Harbour,7775000.0,,5,6,3.0,6273.0,Single Family,2027.0,2.0,True,True,8908.0,7.5,,1239.438864976885,,,AREA_3260
Active,3600,Rio Vista,7775000.0,,4,5,0.0,3544.0,Single Family,1958.0,2.0,True,True,12500.0,5.0,68.0,2193.848758465011,,,Rio Vista
Active,3380,Nurmi Isles,7450000.0,,7,7,1.0,6184.0,Single Family,2023.0,3.0,True,True,10200.0,7.5,3.0,1204.7218628719274,,,Nurmi Isles
Active,3260,Coral Ridge Galt,7250000.0,,5,5,0.0,5003.0,Single Family,2017.0,2.0,True,True,10000.0,5.0,9.0,1449.1305216869878,,,Coral Ridge Galt
Active,3260,Beach Way Heights,7200000.0,,7,8,1.0,7325.0,Single Family,1952.0,3.0,True,True,9900.0,8.5,74.0,982.9351535836178,,,AREA_3260
Active,3260,Coral Ridge,7100000.0,,6,6,2.0,5015.0,Single Family,2019.0,3.0,True,True,12500.0,7.0,7.0,1415.752741774676,,,Coral Ridge
Active,3600,Lauderdale Harbors,6999999.0,,5,6,2.0,5424.0,Single Family,2025.0,3.0,True,True,8800.0,7.0,1.0,1290.5602876106195,,,Lauderdale Harbors
Active,3160,Ritz Carlton,6995000.0,,3,3,1.0,4056.0,Condo,2007.0,2.0,False,True,0.0,3.5,19.0,1724.6055226824458,,,AREA_3160
Active,3170,Harbour Heights,6950000.0,,6,6,1.0,5565.0,Single Family,2004.0,2.0,True,True,9375.0,6.5,22.0,1248.8769092542677,,,Harbour Heights
Active,3280,Pelican Isles,6900000.0,,7,7,1.0,6301.0,Single Family,2003.0,3.0,True,True,13012.0,7.5,23.0,1095.0642755118236,,,AREA_3280
Active,3280,Riviera Isles,6900000.0,,4,5,1.0,3949.0,Single Family,2025.0,2.0,True,True,,5.5,1.0,1747.277791846037,,,AREA_3280
Active,3280,Coral Isles,6900000.0,,5,4,1.0,5288.0,Single Family,1999.0,3.0,True,True,11000.0,4.5,27.0,1304.841149773071,,,Coral Isles
Active,3280,Coral Isles,6895000.0,,4,5,,5973.0,Single Family,1991.0,2.0,True,True,,5.0,35.0,1154.3612924828394,,,Coral Isles
Active,,Andare By Pininfarina,6843500.0,,5,5,1.0,4320.0,Condo,2027.0,4.0,False,False,0.0,5.5,,1584.1435185185185,,,
Active,3160,Four Seasons,6750000.0,,3,3,1.0,2634.0,Condo,2022.0,3.0,False,True,,3.5,4.0,2562.642369020501,,,Four Seasons
Active,3280,Nurmi Isles,6600000.0,,4,4,1.0,4279.0,Single Family,1964.0,2.0,True,True,14400.0,4.5,62.0,1542.4164524421594,,,Nurmi Isles
Active,3260,Coral Ridge,6500000.0,,7,7,1.0,6147.0,Single Family,2026.0,3.0,True,False,13339.0,7.5,0.0,1057.4263868553767,,,Coral Ridge
Active,3260,Coral Ridge,6499500.0,,5,6,1.0,6630.0,Single Family,2026.0,3.0,True,False,15049.0,6.5,0.0,980.316742081448,,,Coral Ridge
Active,3280,Lumiere,6499500.0,,4,5,1.0,5914.0,Condo,2026.0,2.0,False,True,,5.5,0.0,1099.0023672641191,,,AREA_3280
Active,3280,Stilwell Isles Pa,6495000.0,,4,5,1.0,6110.0,Single Family,2000.0,3.0,True,True,12999.0,5.5,26.0,1063.0114566284778,,,AREA_3280
Active,3280,Venice,6495000.0,,5,6,1.0,5301.0,Single Family,2021.0,4.0,True,True,,6.5,5.0,1225.24052065648,,,Venice
Active,3160,Auberge Residence And Spa,6399000.0,,3,5,0.0,3301.0,Condo,2018.0,2.0,False,True,,5.0,8.0,1938.5034837927901,,,AREA_3160
Active,3260,Coral Ridge,6300000.0,,5,5,1.0,6189.0,Single Family,1989.0,2.0,True,True,12500.0,5.5,37.0,1017.9350460494426,,,Coral Ridge
Active,3280,Gould Isles,6250000.0,,5,6,1.0,6019.0,Single Family,2004.0,4.0,True,True,12000.0,6.5,22.0,1038.3784681840837,,,AREA_3280
Active,3170,Harbor Beach,6150000.0,,5,5,1.0,5917.0,Single Family,2005.0,3.0,True,False,12947.0,5.5,21.0,1039.3780632077066,,,Harbor Beach
Active,3160,Lauderdale Beach,5995000.0,,4,3,1.0,4283.0,Single Family,2013.0,2.0,True,False,8500.0,3.5,13.0,1399.7198225542843,,,Lauderdale Beach
Active,3170,Harbour Heights,5995000.0,,5,5,1.0,4964.0,Single Family,2025.0,3.0,True,False,8500.0,5.5,1.0,1207.6954069298952,,,Harbour Heights
Active,3080,Nurmi Isles,5990000.0,,5,5,1.0,4632.0,Single Family,1998.0,2.0,True,True,10800.0,5.5,28.0,1293.1778929188256,,,Nurmi Isles
Active,3470,Riverside Amen,5950000.0,,5,6,0.0,5600.0,Single Family,2019.0,4.0,True,True,15748.0,6.0,7.0,1062.5,,,AREA_3470
Active,3280,View Pointe,5890000.0,,4,4,1.0,3383.0,Condo,2027.0,1.0,False,True,,4.5,,1741.0582323381614,,,AREA_3280
Active,3280,Himmarshee Park,5890000.0,,5,5,,6058.0,Single Family,2016.0,2.0,True,True,9081.0,5.0,10.0,972.2680752723671,,,AREA_3280
Active,,Las Olas,5800000.0,,5,5,1.0,8329.0,Condo,2004.0,3.0,False,False,0.0,5.5,22.0,696.3621082963141,,,Las Olas
Active,3160,Las Olas,5800000.0,,5,7,,4644.0,Single Family,2026.0,2.0,True,False,8107.0,7.0,0.0,1248.9233419465977,,,Las Olas
Active,3280,Capri Venice,5790000.0,,4,3,0.0,3298.0,Single Family,2021.0,2.0,True,True,8800.0,3.0,5.0,1755.609460278957,,,AREA_3280
Active,3170,St Regis Residences,5770625.0,,3,3,1.0,2611.0,Condo,2028.0,2.0,False,True,0.0,3.5,,2210.1206434316355,,,AREA_3170
Active,3280,One Residences,5695000.0,,4,4,1.0,4456.0,Condo,2023.0,2.0,False,True,0.0,4.5,3.0,1278.052064631957,,,AREA_3280
Active,3260,Coral Ridge Galt,5599999.0,,4,4,0.0,4255.0,Single Family,2019.0,3.0,True,True,9237.0,4.0,7.0,1316.098472385429,,,Coral Ridge Galt
Active,3280,View Pointe,5519500.0,,4,4,1.0,1760.0,Condo,2027.0,1.0,False,True,,4.5,,3136.0795454545455,,,AREA_3280
Active,3170,St Regis Residences,5504582.0,,3,3,1.0,2278.0,Condo,2028.0,3.0,False,True,0.0,3.5,,2416.4100087796314,,,AREA_3170
Active,3260,Beach Way Heights,5500000.0,,5,5,1.0,4711.0,Single Family,1950.0,0.0,True,True,14683.0,5.5,76.0,1167.4803651029506,,,AREA_3260
Active,3260,Coral Ridge,5495000.0,,4,4,1.0,4795.0,Single Family,2007.0,3.0,True,True,10000.0,4.5,19.0,1145.985401459854,,,Coral Ridge
Active,3280,Sea Isles,5495000.0,,5,6,0.0,5377.0,Single Family,2004.0,3.0,True,True,10417.0,6.0,22.0,1021.9453226706341,,,AREA_3280
Active,3260,Coral Ridge Galt,5450000.0,,3,3,0.0,2690.0,Single Family,2017.0,2.0,True,True,12004.0,3.0,9.0,2026.0223048327136,,,Coral Ridge Galt
Active,3160,Auberge Beach,5445000.0,,3,5,0.0,3422.0,Condo,2018.0,2.0,False,True,0.0,5.0,8.0,1591.1747516072471,,,AREA_3160
Active,3160,Ritz Carlton,5400000.0,,4,4,2.0,3784.0,Condo,2007.0,4.0,False,True,0.0,5.0,19.0,1427.061310782241,,,AREA_3160
Active,3160,Selene Oceanfront Residen,5399000.0,,4,3,1.0,3240.0,Condo,2025.0,2.0,False,True,,3.5,1.0,1666.358024691358,,,Selene Oceanfront Residen
Active,3280,Sunrise Key,5395000.0,,4,3,0.0,3388.0,Single Family,1969.0,2.0,True,True,11669.0,3.0,57.0,1592.3848878394333,,,AREA_3280
Active,3280,Idlewyld,5395000.0,,4,4,1.0,4539.0,Single Family,2022.0,2.0,True,True,6250.0,4.5,4.0,1188.587794668429,,,Idlewyld
Active,3160,Four Seasons,5350000.0,,2,2,1.0,2184.0,Condo,2022.0,2.0,False,True,0.0,2.5,4.0,2449.6336996336995,,,Four Seasons
Active,3260,Coral Ridge,5350000.0,,5,5,2.0,4714.0,Single Family,2026.0,2.0,True,False,10000.0,6.0,0.0,1134.9172677131946,,,Coral Ridge
Active,3280,Azul,5350000.0,,3,3,1.0,2718.0,Condo,2025.0,2.0,False,True,,3.5,1.0,1968.3590875643856,,,AREA_3280
Active,3600,Rio Vista,5350000.0,,5,5,1.0,4516.0,Single Family,2024.0,2.0,True,False,9375.0,5.5,2.0,1184.6767050487156,,,Rio Vista
Active,3170,Pier Sixty Six,5300000.0,,3,3,1.0,2878.0,Condo,2024.0,2.0,False,True,0.0,3.5,2.0,1841.556636553162,,,AREA_3170
Active,3280,Riviera Isles,5250000.0,,5,5,1.0,3664.0,Single Family,2018.0,2.0,True,True,7500.0,5.5,8.0,1432.8602620087336,,,AREA_3280
Active,3260,Sage Intracoastal,5188355.0,,4,4,1.0,3216.0,Condo,2025.0,2.0,False,True,0.0,4.5,1.0,1613.2944651741293,,,AREA_3260
Active,3600,Rio Vista,5000000.0,,4,4,1.0,4240.0,Single Family,2003.0,2.0,True,True,9375.0,4.5,23.0,1179.245283018868,,,Rio Vista
Active,3170,Harbor Beach,4999999.0,,3,3,1.0,2205.0,Condo,2024.0,2.0,False,True,0.0,3.5,2.0,2267.5732426303853,,,Harbor Beach
Active,3160,Selene Oceanfront Residen,4999000.0,,3,4,0.0,3112.0,Condo,2025.0,2.0,False,True,0.0,4.0,1.0,1606.3624678663239,,,Selene Oceanfront Residen
Active,3260,Riva,4995000.0,,3,3,1.0,4267.0,Condo,2018.0,2.0,False,True,0.0,3.5,8.0,1170.611670963206,,,AREA_3260
Active,3270,Victoria Park,4995000.0,,7,4,0.0,5086.0,Single Family,1946.0,2.0,True,True,8331.0,4.0,80.0,982.1077467558002,,,Victoria Park
Active,3420,South Coral Point,4995000.0,,3,3,0.0,2650.0,Single Family,2016.0,2.0,True,True,8279.0,3.0,10.0,1884.9056603773586,,,AREA_3420
Active,3260,Beach Way Heights,4975000.0,,5,6,0.0,4595.0,Single Family,2025.0,5.0,True,False,13000.0,6.0,1.0,1082.6985854189336,,,AREA_3260
Active,3160,Lauderdale Beach,4900000.0,,6,6,1.0,4620.0,Single Family,2010.0,2.0,True,False,9002.0,6.5,16.0,1060.6060606060605,,,Lauderdale Beach
Active,3260,Riva Condominium Riva,4897000.0,,4,4,1.0,3832.0,Condo,2018.0,2.0,False,True,,4.5,8.0,1277.9227557411273,,,AREA_3260
Active,3600,Rio Vista,4895000.0,,5,5,1.0,4040.0,Single Family,2025.0,3.0,True,False,9024.0,5.5,1.0,1211.6336633663366,,,Rio Vista
Active,3260,Coral Ridge,4850000.0,,5,5,1.0,4770.0,Single Family,2025.0,3.0,True,False,10001.0,5.5,1.0,1016.7714884696016,,,Coral Ridge
Active,3160,Las Olas,4800000.0,,5,5,1.0,5000.0,Single Family,2021.0,118.0,True,False,,5.5,5.0,960.0,,,Las Olas
Active,3600,Lauderdale Harbors,4790000.0,,6,6,0.0,5518.0,Single Family,2011.0,2.0,True,False,14000.0,6.0,15.0,868.0681406306633,,,Lauderdale Harbors
Active,3160,Las Olas,4750000.0,,3,3,1.0,4320.0,Condo,2008.0,3.0,False,True,,3.5,18.0,1099.537037037037,,,Las Olas
Active,3280,Idlewyld,4700000.0,,5,5,1.0,4594.0,Single Family,2025.0,2.0,True,False,7500.0,5.5,1.0,1023.073574227253,,,Idlewyld
Active,3160,Four Seasons,4650000.0,,2,2,1.0,2189.0,Condo,2022.0,2.0,False,True,0.0,2.5,4.0,2124.2576518958426,,,Four Seasons
Active,3260,Coral Ridge Galt,4650000.0,,5,5,0.0,4752.0,Single Family,2026.0,3.0,True,False,11588.0,5.0,0.0,978.5353535353536,,,Coral Ridge Galt
Active,3170,Selene Oceanfront Residenc,4599000.0,,3,4,0.0,3240.0,Condo,2025.0,2.0,False,True,0.0,4.0,1.0,1419.4444444444443,,,AREA_3170
Active,3160,Four Seasons,4595000.0,,2,3,0.0,2230.0,Condo,2022.0,2.0,False,True,,3.0,4.0,2060.5381165919284,,,Four Seasons
Active,3160,Four Seasons,4500000.0,,2,2,1.0,2083.0,Condo,2022.0,2.0,False,True,0.0,2.5,4.0,2160.3456553048486,,,Four Seasons
