neighborhood,sample_txns,avg_homes_sold_90d,raw_ppsf_recent,raw_dom_recent,raw_s2l_recent,price_drop_rate,sold_above_rate,months_supply,list_ppsf_recent,first_year,last_period,norm_ppsf,ppsf_cagr,discount_pct,raw_discount_pct,vs_city_pct,confidence
North Golf Estates,108,2.1,231.4,125.5,0.91010572478,,0.06481481481419753,,241.4,2012,2026-03,274.6,0.0651143414042954,8.99,8.99,-46.9,Medium
Palm Aire Village East,40,1.3,223.3,133.0,0.95215311005,,0.19834710743636363,,178.3,2012,2026-03,204.6,0.09181375504552403,4.78,4.78,-60.4,Medium
Palm Aire Village West,16,1.1,210.8,128.1,0.968348926425,,0.3,,237.4,2012,2026-03,200.5,0.07634313665558445,3.17,3.17,-61.2,Low
Poinciana Park,2,1.0,,,,,0.0,,,2017,2020-08,306.6,,,,-40.7,Low
Poinsettia Heights,8,1.1,,,,,0.125,,,2016,2023-08,345.3,0.11140264365423591,,,-33.2,Low
Port Royale,119,3.0,343.7,91.0,0.954380322622857,,0.03260869565190217,,334.9,2012,2026-03,386.3,0.052768041976842595,4.56,4.56,-25.3,Medium
Progresso Village,3,1.0,,,,,0.0,,,2016,2024-10,263.4,-0.04050430487961143,,,-49.0,Low
Rio Vista,19,1.3,623.5,127.7,0.8993347844,,0.05,,611.7,2013,2026-03,504.5,0.06760460824902115,10.07,10.07,-2.4,Low
River Garden Sweeting Estate,3,1.2,,,,,0.0,,,2012,2013-12,130.2,,,,-74.8,Low
River Oaks,189,3.4,262.0,99.1,0.9277446475533334,,0.08141592920265486,,282.5,2012,2026-03,308.6,0.0754329796517732,7.23,7.23,-40.3,High
Riverside Park,23,1.5,277.8,236.0,0.7608695652,,0.1714285714257143,,,2012,2026-03,278.8,0.1047711230189241,23.91,23.91,-46.1,Low
Riviera Isles,69,1.9,404.2,74.5,0.9422284946736843,,0.0430622009569378,,376.7,2012,2026-03,522.4,0.059256363827483005,5.78,5.78,1.1,Medium
Sailboat Bend,183,3.4,399.1,70.3,0.9598234632596152,,0.10810810810738739,,434.6,2012,2026-03,403.2,0.06072341717925234,4.02,4.02,-22.0,High
Shady Banks,1,1.0,,,,,0.0,,,2021,2021-11,283.0,,,,-45.2,Low
South Beach Marina District,6,1.0,387.6,175.0,0.7936507937,,0.3333333333333333,,1991.6,2013,2025-08,658.0,0.03367947741268362,20.63,20.63,27.3,Low
South Middle River,156,2.9,213.8,152.9,0.949988065019355,,0.12262156448012686,,232.0,2012,2026-03,226.3,0.047913196530829705,5.0,5.0,-56.2,High
Sunrise Intracoastal,226,4.2,277.3,142.1,0.933578037555814,,0.08139534883780523,,336.5,2012,2026-03,425.0,-0.0065041378106974745,6.64,6.64,-17.8,High
Sunrise Lane District,78,2.0,386.6,85.6,0.9013821435789474,,0.10126582278354432,,557.4,2012,2026-03,520.9,0.06692429068067485,9.86,9.86,0.8,Medium
Tarpon River,143,2.9,251.2,145.8,0.9381703406461538,,0.09728506787253395,,320.3,2012,2026-03,330.8,0.02519233681797184,6.18,6.18,-36.0,High
Victoria Park,340,6.1,339.8,147.7,0.9336710337770492,,0.07887049659489777,,345.3,2012,2026-03,431.5,0.05690836633389251,6.63,6.63,-16.5,High
Waverly Place,4,1.3,,,,,0.25,,,2012,2021-01,344.5,0.11978841807322671,,,-33.3,Low
