"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","A11972748","CS","3470","1415 SW 1st Street Unit#1-8","","$1,550,000","¤RML-25","1975","COM/Sale","","Apartments, Residential-Multi-Family","Income/MultiFamily","13,802","","$1,550,000",""
"1","A11618230","CS","3213","2615 SW 2nd Ave","","$1,350,000","¤I","1952","COM/Sale","","Automotive, Warehouse Space","Industrial","10,289","","$1,350,000",""
"1","F10455487","CS","3500","516 SW Flagler Avenue","","$1,262,500","","2003","COM/Sale","","Office/Warehouse Combination, Office Space, Warehouse Space","Commercial","4,250","","$1,262,500",""
"1","F10455464","CS","3500","515 SW 1st Avenue","","$1,262,500","","1990","COM/Sale","","","Commercial","5,250","","$1,262,500",""
"1","F10461212","CS","3800","1133 SE 4th Avenue","","$1,400,000","ROA","1960","COM/Sale","","Office/Warehouse Combination, Office Space","Commercial","7,000","","$1,400,000",""
"1","F10490057","CS","3700","1514 NE 4th Avenue","","$950,000","CB","1961","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School","Retail","12,496","","$950,000",""
"1","F10466055","CS","3600","2301 S Andrews Avenue","","$1,200,000","CB","1959","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Retail","3,921","","$1,200,000",""
"1","F10494364","CS","3370","2435 N Dixie Highway","","$1,365,000","B-3","1950","COM/Sale","","Office/Warehouse Combination, Office Space","Commercial","11,662","","$1,365,000",""
"1","A11717708","CS","3370","3031 NE 21st Ter Unit#1-7","","$1,200,000","¤RMM-25","1974","COM/Sale","","Apartments, Residential-Multi-Family","Income/MultiFamily","6,003","No","$1,200,000",""
"1","A11821328","CS","3370","2435 N Dixie Hwy","","$1,395,000","¤TOC SOUT","1950","COM/Sale","","Commercial/Residential Income, Office Space","Income/MultiFamily","11,662","","$1,395,000",""
"1","A11645293","CS","3370","2420-2426 N Dixie Hwy","","$1,150,000","¤TOC SOUT","1965","COM/Sale","","Retail Space, Store/Warehouse Combination","Retail","6,110","","$1,150,000","4"
"1","R10880283","CS","3390","715 W Sunrise Boulevard","","$1,200,000","B-1","1970","COM/Sale","","","","","No","$1,200,000",""
