"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","B26044278","A","3470","602 SW 12th Avenue","","$2,000,000","RS-8","1960","COM/Sale","","Consumer Service, Office/Warehouse Combination, Office Space, Professional","Mixed Use","","","",""
"1","B26014252","A","3700","720 NE 3rd","","$2,000,000","RAC-UV","2001","COM/Sale","","Medical Office, Office/Warehouse Combination, Office Space","Office","","","",""
"1","A12016794","A","3010","2401 NW 9th Ave Unit#1-8","","$1,999,000","¤RM-12","1966","COM/Sale","","Apartments","Income/MultiFamily","10,061","","",""
"1","A12023882","A","3380","1210 NE 8th Ave"," ","$1,999,000","¤B-3","1967","COM/Sale","","Office/Warehouse Combination","Flex Space","6,378","","",""
"1","F10522666","A","3380","700 NE 13th Street"," ","$1,999,000","CB","1954","COM/Sale","","Office/Warehouse Combination, Office Space, Retail Space, School, Warehouse Space","Retail","8,108","","",""
"1","B26021514","A","3810","435 NW 7th Avenue"," ","$1,975,000","NWRAC-MUw","1800","COM/Sale","","","Mixed Use","","","",""
"1","B26035857","A","3460","540 NW 20th Avenue","","$1,900,000","NWRAC-MUw","1957","COM/Sale","","Church","Mixed Use","","","",""
"1","F10435807","A","3470","701 W Las Olas Boulevard"," ","$1,900,000","RAC-AS","","COM/Sale","","","Commercial","20,614","","","0"
"1","A12031212","A","3800","200 S Andrews Ave Unit#302-303","","$1,800,000","¤RAC-CC","1986","COM/Sale","","Office Space","Office","0","","",""
"1","A12030525","A","3800","200 S Andrews Ave Unit#300-301","","$1,800,000","¤RAC-CC","1986","COM/Sale","","Office Space","Office","0","","",""
"1","A11851609","A","3470","15 NW 9th Ave"," ","$1,799,000","¤B-3","1954","COM/Sale","Industrial","Warehouse Space","Industrial","7,000","No","","6"
