"","MLS # Link","St","Area","Address","","Current Price","ZN","Year Built","Prop Type","Style of Property","Prop Type/Type of Building","Type of Property","Property SqFt","Waterfront Property (Y/N)","Sale Price","#Bays"
"1","R11054030","C","3370","1310 NE 30 Street","","$1,285,000","R-1","1970","COM/Sale","","","Multifamily","","Yes","",""
"1","A11888354","C","3800","200 S Andrews Ave Unit#602","","$1,250,000","¤RAC-CC","1986","COM/Sale","Commercial Office","Condominium","Office","3,300","No","",""
"1","A11812059","C","3370","2600 N Andrews Ave","","$1,200,000","¤B-2","1952","COM/Sale","Commercial Office","Free Standing, Medical Office","Office","8,798","No","","0"
"1","A11977607","C","3270","200 S Andrews Ave Unit#602","","$1,150,000","¤RAC-CC","1986","COM/Sale","","Office Space, Unimproved Interior","Office","58,370","","",""
"1","F10475739","C","3800","301 SE 20th Street","","$1,075,000","","","COM/Sale","","Medical Office, Office/Warehouse Combination, Office Space","Commercial","","","",""
"1","F10436370","C","3800","301 SE 20th Street","","$1,075,000","","","COM/Sale","","Medical Office, Office/Warehouse Combination, Office Space","Commercial","","","",""
"1","A11794628","C","3800","200 S Andrews Ave Unit#503","","$1,020,000","¤RAC-CC","1986","COM/Sale","Commercial Office","Condominium, Office Space","Office","2,400","No","",""
"1","F10538522","C","3270","608 NE 16th Avenue Unit#1-5","","$1,000,000","","","COM/Sale","","Warehouse Space","Multifamily","","","",""
"1","A11985417","C","3800","200 S Andrews Ave Unit#503","","$1,000,000","¤RAC-CC","1986","COM/Sale","Commercial Office","Condominium, Office Space","Office","2,400","No","",""
"1","A11806234","C","3112","719 NW 7th Ter","","$985,000","¤I","1956","COM/Sale","Industrial","Free Standing, Industrial","Industrial","6,750","No","","2"
"1","F10545614","C","3500","419 NE 2nd Avenue","","$954,000","RAC-UV","1938","COM/Sale","","Warehouse Space","Multifamily","6,375","","",""
"1","F10517843","C","3800","1141 SE 4th Avenue","","$929,000","RO","1942","COM/Sale","","Office/Warehouse Combination, Office Space","Commercial","7,000","","",""
"1","A11592284","C","3370","1112 NE 5th Ave Unit#1-2","","$890,000","¤RMM-25","1982","COM/Sale","","Hotel/Motel, Residential-Multi-Family","Income/MultiFamily","6,751","","",""
"1","A11957283","C","3460","1601 NW 6th St","","$775,000","¤NWRAC-MU","1966","COM/Sale","Mixed Use","Office Space, Other Type","Mixed Use","4,463","No","",""
