submarket,asset_type,price_band,n,median_ppsf,median_price,median_sqft,share_pct
Area 3380,Mixed Use,$1–2.5M,1,298.0,1900000.0,6385.0,5.6
Area 3380,Multifamily,$1–2.5M,4,161.0,1900000.0,12246.0,22.2
Area 3380,Multifamily,$5–10M,1,180.0,6300000.0,35087.0,5.6
Area 3380,Office,$1–2.5M,1,202.0,1950000.0,9652.0,5.6
Area 3380,Restaurant,$1–2.5M,1,270.0,2150000.0,7960.0,5.6
Area 3380,Restaurant,$2.5–5M,1,345.0,2750000.0,7960.0,5.6
Area 3380,Retail,$1–2.5M,1,247.0,1999000.0,8108.0,5.6
Area 3390,Commercial (other),$1–2.5M,1,110.0,1990000.0,18100.0,12.5
Area 3390,Mixed Use,< $1M,1,80.0,750000.0,9351.0,12.5
Area 3390,Multifamily,< $1M,1,85.0,575000.0,6749.0,12.5
Area 3390,Multifamily,$1–2.5M,3,185.0,2179000.0,13220.0,37.5
Area 3390,Multifamily,$2.5–5M,1,68.0,2750000.0,40196.0,12.5
Area 3390,Retail,$1–2.5M,1,117.0,1200000.0,10213.0,12.5
Area 3400,Commercial (other),< $1M,1,60.0,550000.0,9134.0,25.0
Area 3400,Commercial (other),$2.5–5M,1,180.0,4500000.0,25024.0,25.0
Area 3400,Industrial,$1–2.5M,1,116.0,1950000.0,16875.0,25.0
Area 3400,Restaurant,$1–2.5M,1,182.0,1140000.0,6250.0,25.0
Area 3420,Multifamily,$1–2.5M,1,153.0,1400000.0,9167.0,100.0
Area 3424,Retail,$1–2.5M,3,156.0,1050000.0,6751.0,100.0
Area 3450,Commercial (other),$1–2.5M,1,110.0,1890000.0,17111.0,20.0
Area 3450,Industrial,$2.5–5M,1,127.0,2575000.0,20250.0,20.0
Area 3450,Mixed Use,< $1M,2,99.0,520000.0,5268.0,40.0
Area 3450,Multifamily,< $1M,1,138.0,600000.0,4335.0,20.0
Area 3460,Commercial (other),$1–2.5M,1,225.0,1399000.0,6225.0,4.8
Area 3460,Commercial (other),$2.5–5M,2,152.0,3698000.0,24733.0,9.5
Area 3460,Industrial,< $1M,1,126.0,850000.0,6750.0,4.8
Area 3460,Industrial,$1–2.5M,5,104.0,1750000.0,16875.0,23.8
Area 3460,Mixed Use,< $1M,3,144.0,775000.0,4680.0,14.3
Area 3460,Mixed Use,$1–2.5M,2,131.0,2212000.0,16875.0,9.5
Area 3460,Multifamily,$1–2.5M,6,146.0,1238000.0,8438.0,28.6
Area 3460,Multifamily,$5–10M,1,1932.0,5200000.0,2691.0,4.8
Area 3470,Commercial (other),< $1M,1,139.0,975000.0,7000.0,4.8
Area 3470,Commercial (other),$1–2.5M,1,92.0,1900000.0,20614.0,4.8
