mls,address,submarket,asset_type,status,sqft,lease_rate_psf,year_built,annual_rent_est
F10512373,716-718 NE 2nd Avenue,Area 3560,Commercial (other),Expired,6738.0,32.0,,215600.0
F10514310,1471 NE 26th Street,Area 3370,Retail,Cancelled,25944.0,32.0,,830200.0
F10396985,1217 E Broward Boulevard,Area 3270,Commercial (other),Expired,6750.0,32.0,,216000.0
A11723402,2400 E Oakland Park Blvd Unit#201,Area 3150,Restaurant,Sold,1053.0,31.91,1957.0,33600.0
F10443466,2901 SW 3rd Avenue Unit#1B,Area 3500,Commercial (other),Expired,5170.0,30.17,,156000.0
F10556047,3020 N Federal Highway Unit#6 - 2nd FLOOR,Area 3260,Commercial (other),Active,1000.0,30.0,,30000.0
F10506005,3020 N Federal Highway Unit#6 - 2nd FLOOR,Area 3260,Commercial (other),Expired,1000.0,30.0,,30000.0
F10453939,1881 NE 26th Street,Area 3370,Commercial (other),Expired,50854.0,30.0,,1525600.0
A11543408,1408 NE 4th Ave,Area 3370,Mixed Use,Expired,12996.0,30.0,1961.0,389900.0
F10550186,2150 S Andrews Avenue,Area 3800,Commercial (other),Active,45949.0,30.0,,1378500.0
A11971615,993 W State Road 84 Unit#993,Area 3130,Retail,Expired,250328.0,30.0,1975.0,7509800.0
F10502363,3015 N Ocean Boulevard,Area 3160,Commercial (other),Expired,104310.0,30.0,,3129300.0
A11552079,519 SE 32nd Ct,Area 3010,Industrial,Expired,38524.0,30.0,1987.0,1155700.0
F10485519,612 NW 9th Avenue Unit#A-E,Area 3460,Retail,Expired,20250.0,30.0,,607500.0
F10484007,777 E Oakland Park Boulevard,Area 3450,Commercial (other),Rented,23244.0,30.0,,697300.0
F10494025,501 NW 7th Avenue,Area 3460,Retail,Rented,161456.0,30.0,,4843700.0
F10537813,1800 E Las Olas Boulevard Unit#2nd Floor,Area 3280,Commercial (other),Rented,15418.0,30.0,,462500.0
A11629439,925 W Broward Blvd,Area 3560,Mixed Use,Expired,26576.0,29.35,1979.0,780000.0
F10530725,1101 NE 8th Avenue,Area 3370,Commercial (other),Pending,11893.0,29.0,,344900.0
F10403204,200 Davie Boulevard,Area 3500,Commercial (other),Expired,9698.0,29.0,,281200.0
F10455355,500 SE 15th Street Unit#106,Area 3280,Commercial (other),Expired,28600.0,29.0,,829400.0
F10491644,500 SE 15th Street Unit#106,Area 3280,Commercial (other),Rented,28600.0,29.0,,829400.0
F10334215,1142 NE 4th Avenue,Area 3370,Commercial (other),Rented,12499.0,29.0,,362500.0
A11865029,1217 E Broward Blvd,Area 3280,Office,Sold,6750.0,29.0,1958.0,195800.0
F10425780,900 NE 13th Street,Area 3370,Mixed Use,Expired,22915.0,28.0,,641600.0
A12019845,1395 W Sunrise Blvd,Area 3400,Retail,Active,35604.0,28.0,2002.0,996900.0
F10472004,3045 N Federal Highway Unit#60H,Area 3380,Commercial (other),Active,15109.0,28.0,,423100.0
A11521140,1395 W Sunrise Blvd,Area 3400,Retail,Expired,35604.0,28.0,2002.0,996900.0
F10455374,2132 E Oakland Park Boulevard,Area 3370,Commercial (other),Cancelled,3429.0,28.0,,96000.0
A11768897,350 SW 25th St,Area 3490,Mixed Use,Cancelled,32680.0,28.0,1987.0,915000.0
A11852410,15 NW 9th Ave,Area 3470,Industrial,Expired,7000.0,27.0,,189000.0
A11975002,165 E Oakland Park Blvd Unit#165,Area 3770,Retail,Sold,51631.0,27.0,1981.0,1394000.0
A11939037,15 NW 9th Ave,Area 3470,Industrial,Expired,7000.0,27.0,,189000.0
A11874384,1512 NE 4th Ave,Area 3370,Mixed Use,Active,6245.0,26.0,1981.0,162400.0
A11810199,200 S Andrews Ave Unit#602,Area 3800,Office,Cancelled,3300.0,25.0,1986.0,82500.0
A11985434,200 S Andrews Ave Unit#503,Area 3800,Office,Cancelled,2400.0,25.0,1986.0,60000.0
A11592666,3038 N Federal Hwy Unit#C,Area 3360,Retail,Expired,1982.0,25.0,1960.0,49600.0
A11900068,200 S Andrews Ave Unit#503,Area 3800,Office,Cancelled,2400.0,25.0,1986.0,60000.0
A11716499,2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L,Area 3300,Office,Expired,6624.0,25.0,1973.0,165600.0
A11703844,3038 N Federal Hwy Unit#C,Area 3360,Retail,Expired,1982.0,25.0,1960.0,49600.0
A11625990,2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L,Area 3350,Office,Expired,6624.0,25.0,1973.0,165600.0
A11811173,129-135 E Oakland Park Blvd Unit#129,Area 3370,Retail,Expired,51631.0,25.0,1981.0,1290800.0
A11927961,2429 Davie Blvd,Area 3150,Retail,Expired,5947.0,25.0,1966.0,148700.0
F10425925,1212 NE 26th Street,Area 3370,Multifamily,Expired,22859.0,25.0,,571500.0
F10516746,634 NE 3rd Avenue,Area 3700,Commercial (other),Expired,45250.0,25.0,,1131200.0
A12048526,200 S Andrews Ave Unit#503,Area 3800,Office,Active,2400.0,25.0,1986.0,60000.0
