mls,address,submarket,asset_type,status,deal_kind,price,sqft,units,price_per_unit,ppsf,pred_ppsf,ppsf_gap_pct,age,year_built,waterfront,bays,zoning,noi,implied_cap,market_cap,assumed_value,income_gap_pct,price_band
A12031317,1327 SE 2nd Ave,Area 3800,Office,Active,Sale,2100000.0,9289.0,,,226.0,110.0,104.8,50.0,1976.0,False,,ROA,147649.0,0.0703,0.08,1845608.0,13.8,$1–2.5M
F10532006,2745 E Oakland Park Boulevard,Area 3250,Commercial (other),Active,Sale,2100000.0,7503.0,,,280.0,300.0,-6.8,66.0,1960.0,False,,CB,101681.0,0.0484,0.07,1452581.0,44.6,$1–2.5M
A11948614,1730 NE 7th St Unit#1-5,Area 3270,Multifamily,Active,Sale,2149000.0,6633.0,5.0,429800.0,324.0,310.0,4.4,65.0,1961.0,False,,RCS-15,65094.0,0.0303,0.055,1183520.0,81.6,$1–2.5M
F10551939,1110 NW 7th Avenue,Area 3390,Multifamily,Active,Sale,2499999.0,13510.0,,,185.0,212.0,-12.9,72.0,1954.0,False,,RD-15,132582.0,0.053,0.055,2410577.0,3.7,$1–2.5M
A11947999,1225 NE 15th Ave Unit#1-9,Area 3380,Multifamily,Active,Sale,2399000.0,13011.0,9.0,266600.0,184.0,273.0,-32.4,58.0,1968.0,False,,RM-15,127685.0,0.0532,0.055,2321541.0,3.3,$1–2.5M
F10435807,701 W Las Olas Boulevard,Area 3470,Commercial (other),Active,Sale,1900000.0,20614.0,,,92.0,140.0,-34.2,,,False,0.0,RAC-AS,279361.0,0.147,0.07,3990870.0,-52.4,$1–2.5M
F10550621,1313 S Andrews Avenue,Area 3800,Commercial (other),Active,Sale,2350000.0,27878.0,,,84.0,132.0,-36.1,100.0,1926.0,False,,SRAC-SAe,377803.0,0.1608,0.07,5397181.0,-56.5,$1–2.5M
F10502298,212 SE 8th Street,Area 3800,Commercial (other),Active,Sale,2695000.0,14000.0,,,192.0,192.0,0.5,40.0,1986.0,False,,RAC-CC,189728.0,0.0704,0.07,2710400.0,-0.6,$2.5–5M
F10536144,749 NE 16th Avenue,Area 3800,Multifamily,Active,Sale,2500000.0,9566.0,,,261.0,226.0,15.4,63.0,1963.0,False,,RMM-25,93877.0,0.0376,0.055,1706853.0,46.5,$2.5–5M
F10554980,2617 NE 13th Court,Area 3260,Multifamily,Active,Sale,2475000.0,10400.0,,,238.0,244.0,-2.5,78.0,1948.0,False,,RMM-25,102061.0,0.0412,0.055,1855663.0,33.4,$1–2.5M
F10502935,2612 SW 14th Avenue,Area 3490,Commercial (other),Cancelled,Sale,375000.0,6120.0,,,61.0,334.0,-81.7,77.0,1949.0,False,,B-2,82938.0,0.2212,0.07,1184832.0,-68.3,< $1M
A11934612,2455 E Sunrise Blvd Unit#CU9J,Area 3260,Office,Cancelled,Sale,350000.0,13263.0,,,26.0,103.0,-74.5,18.0,2008.0,False,,B-1,210815.0,0.6023,0.08,2635192.0,-86.7,< $1M
F10536686,655 NW 22nd Road,Area 3560,Commercial (other),Cancelled,Sale,192000.0,1837.0,,,105.0,635.0,-83.5,67.0,1959.0,False,,CB,24895.0,0.1297,0.07,355643.0,-46.0,< $1M
F10472586,200 SE 19th Street,Area 3800,Mixed Use,Cancelled,Sale,699000.0,6950.0,,,101.0,199.0,-49.5,58.0,1968.0,False,,ROA,65052.0,0.0931,0.0675,963733.0,-27.5,< $1M
F10468835,314 SE 14th Street,Area 3800,Commercial (other),Cancelled,Sale,665000.0,6000.0,,,111.0,300.0,-63.0,74.0,1952.0,False,,ROA,81312.0,0.1223,0.07,1161600.0,-42.8,< $1M
A11701071,405-407 E Oakland Park Blvd,Area 3450,Multifamily,Cancelled,Sale,600000.0,4335.0,,,138.0,390.0,-64.5,38.0,1988.0,False,,B-1,42542.0,0.0709,0.055,773490.0,-22.4,< $1M
F10526269,200 SE 19th Street,Area 3800,Commercial (other),Cancelled,Sale,549000.0,6950.0,,,79.0,278.0,-71.5,58.0,1968.0,False,,ROA,94186.0,0.1716,0.07,1345520.0,-59.2,< $1M
A11794628,200 S Andrews Ave Unit#503,Area 3800,Office,Cancelled,Sale,1020000.0,2400.0,,,425.0,227.0,87.2,40.0,1986.0,False,,RAC-CC,38148.0,0.0374,0.08,476850.0,113.9,$1–2.5M
A11985417,200 S Andrews Ave Unit#503,Area 3800,Office,Cancelled,Sale,1000000.0,2400.0,,,417.0,227.0,83.6,40.0,1986.0,False,,RAC-CC,38148.0,0.0381,0.08,476850.0,109.7,$1–2.5M
A11806234,719 NW 7th Ter,Area 3112,Industrial,Cancelled,Sale,985000.0,6750.0,,,146.0,354.0,-58.7,70.0,1956.0,False,2.0,I,65408.0,0.0664,0.0625,1046520.0,-5.9,< $1M
F10545614,419 NE 2nd Avenue,Area 3500,Multifamily,Cancelled,Sale,954000.0,6375.0,,,150.0,285.0,-47.5,88.0,1938.0,False,,RAC-UV,62562.0,0.0656,0.055,1137485.0,-16.1,< $1M
F10517843,1141 SE 4th Avenue,Area 3800,Commercial (other),Cancelled,Sale,929000.0,7000.0,,,133.0,276.0,-51.9,84.0,1942.0,False,,RO,94864.0,0.1021,0.07,1355200.0,-31.4,< $1M
A11592284,1112 NE 5th Ave Unit#1-2,Area 3370,Multifamily,Cancelled,Sale,890000.0,6751.0,2.0,445000.0,132.0,298.0,-55.8,44.0,1982.0,False,,RMM-25,66252.0,0.0744,0.055,1204575.0,-26.1,< $1M
A11957283,1601 NW 6th St,Area 3460,Mixed Use,Cancelled,Sale,775000.0,4463.0,,,174.0,186.0,-6.5,60.0,1966.0,False,,NWRAC-MU,41774.0,0.0539,0.0675,618869.0,25.2,< $1M
A11610343,834 NW 10th Ter,Area 3460,Industrial,Cancelled,Sale,1400000.0,16875.0,,,83.0,142.0,-41.6,57.0,1969.0,False,6.0,B-3,163519.0,0.1168,0.0625,2616300.0,-46.5,$1–2.5M
A11952041,2217 NW 19th St,Area 3090,Industrial,Cancelled,Sale,1295000.0,32374.0,,,40.0,154.0,-74.0,,,False,,B-3,313704.0,0.2422,0.0625,5019265.0,-74.2,$1–2.5M
A11888354,200 S Andrews Ave Unit#602,Area 3800,Office,Cancelled,Sale,1250000.0,3300.0,,,379.0,192.0,97.7,40.0,1986.0,False,,RAC-CC,52454.0,0.042,0.08,655669.0,90.6,$1–2.5M
A11812059,2600 N Andrews Ave,Area 3370,Office,Cancelled,Sale,1200000.0,8798.0,,,136.0,124.0,10.1,74.0,1952.0,False,0.0,B-2,139844.0,0.1165,0.08,1748053.0,-31.4,$1–2.5M
F10461720,2500 Wilton Drive,Area 3370,Commercial (other),Cancelled,Sale,1890000.0,5664.0,,,334.0,340.0,-1.8,15.0,2011.0,False,0.0,B-2,76759.0,0.0406,0.07,1096550.0,72.4,$1–2.5M
A11681312,2300 NW 6th St,Area 3120,Multifamily,Cancelled,Sale,1800000.0,13402.0,,,134.0,213.0,-37.1,66.0,1960.0,False,,NWRAC-MU,131522.0,0.0731,0.055,2391307.0,-24.7,$1–2.5M
A11652916,511 SE 5th Ave Unit#11,Area 3800,Office,Cancelled,Sale,1740000.0,4540.0,,,383.0,162.0,136.5,21.0,2005.0,False,,RAC-CC,72163.0,0.0415,0.08,902041.0,92.9,$1–2.5M
A11974556,709 SW 4th Ct Unit#1-7,Area 3470,Multifamily,Cancelled,Sale,1599900.0,14000.0,7.0,228600.0,114.0,166.0,-31.2,85.0,1941.0,False,,RML-25,137390.0,0.0859,0.055,2498007.0,-36.0,$1–2.5M
A11825502,505 SE 20th St Unit#1-6,Area 3600,Multifamily,Cancelled,Sale,1490000.0,6977.0,6.0,248300.0,214.0,421.0,-49.3,68.0,1958.0,False,,RO,68469.0,0.046,0.055,1244900.0,19.7,$1–2.5M
A11986634,1100 NE 18th Ct Unit#1-8,Area 3420,Multifamily,Cancelled,Sale,1400000.0,9167.0,8.0,175000.0,153.0,262.0,-41.6,48.0,1978.0,False,,RML-25,89961.0,0.0643,0.055,1635659.0,-14.4,$1–2.5M
F10396875,3047 N Federal Highway,Area 3380,Commercial (other),Cancelled,Sale,2500000.0,3130.0,,,799.0,601.0,32.9,67.0,1959.0,False,,B-1,42418.0,0.017,0.07,605968.0,312.6,$2.5–5M
A11480161,835 NE 3rd Ave,Area 3700,Restaurant,Cancelled,Sale,2499999.0,6375.0,,,392.0,243.0,61.6,51.0,1975.0,False,0.0,NWRAC-MU,151470.0,0.0606,0.065,2330308.0,7.3,$1–2.5M
F10463127,415 SE 12th Street,Area 3150,Commercial (other),Cancelled,Sale,2499000.0,11950.0,,,209.0,235.0,-10.9,,,False,,MO,161946.0,0.0648,0.07,2313520.0,8.0,$1–2.5M
F10492389,900 Sunrise Lane,Area 3280,Retail,Cancelled,Sale,2200000.0,1849.0,,,1190.0,411.0,189.2,58.0,1968.0,False,,SLA,30517.0,0.0139,0.0675,452109.0,386.6,$1–2.5M
F10447022,200-204 NW 17th Court Unit#1-8,Area 3390,Multifamily,Cancelled,Sale,1950000.0,8518.0,8.0,243800.0,229.0,272.0,-15.8,60.0,1966.0,False,,RML-25,83592.0,0.0429,0.055,1519859.0,28.3,$1–2.5M
F10544162,700 NW 7th Avenue,Area 3400,Industrial,Cancelled,Sale,1950000.0,16875.0,,,116.0,217.0,-46.8,,,False,,I-1,163519.0,0.0839,0.0625,2616300.0,-25.5,$1–2.5M
A11646889,2120 S Federal Hwy,Area 3600,Retail,Cancelled,Sale,3495000.0,12150.0,,,288.0,212.0,35.9,15.0,2011.0,False,4.0,B-1,200533.0,0.0574,0.0675,2970864.0,17.6,$2.5–5M
F10467536,15 SE 9th Avenue,Area 3270,Commercial (other),Cancelled,Sale,3250000.0,7500.0,,,433.0,301.0,44.2,66.0,1960.0,False,,RO,101640.0,0.0313,0.07,1452000.0,123.8,$2.5–5M
F10499110,"1408, 1404 NE",Area 3370,Retail,Cancelled,Sale,3200000.0,32741.0,,,98.0,86.0,13.2,65.0,1961.0,False,,RM-15,540384.0,0.1689,0.0675,8005684.0,-60.0,$2.5–5M
F10414807,1115 Tequesta Street,Area 3470,Multifamily,Cancelled,Sale,2999990.0,17500.0,,,171.0,147.0,16.3,98.0,1928.0,False,,RML-25,171738.0,0.0572,0.055,3122509.0,-3.9,$2.5–5M
A11823943,828 NW 1st St,Area 3470,Industrial,Cancelled,Sale,2975000.0,13951.0,,,213.0,192.0,11.1,69.0,1957.0,False,8.0,B-3,135185.0,0.0454,0.0625,2162963.0,37.5,$2.5–5M
A11579197,92 Hendricks Isle,Area 3280,Multifamily,Cancelled,Sale,2750000.0,6250.0,,,440.0,320.0,37.5,74.0,1952.0,True,,RMM-25,61335.0,0.0223,0.055,1115182.0,146.6,$2.5–5M
F10438219,2100 Miami Road,Area 3170,Multifamily,Cancelled,Sale,10795000.0,21315.0,,,506.0,168.0,201.8,3.0,2023.0,False,0.0,RMM-25,209177.0,0.0194,0.055,3803216.0,183.8,$10M+
A11698022,2200 N Ocean Blvd Unit#CU3,Area 3160,Retail,Cancelled,Sale,7995000.0,12433.0,,,643.0,77.0,730.9,8.0,2018.0,True,,PUD,205204.0,0.0257,0.0675,3040062.0,163.0,$5–10M
F10493575,2000 S Federal Highway,Area 3480,Retail,Cancelled,Sale,7000000.0,16875.0,,,415.0,127.0,226.9,58.0,1968.0,False,,B-1,278518.0,0.0398,0.0675,4126200.0,69.6,$5–10M
F10497615,2000 S Federal Highway,Area 3600,Retail,Cancelled,Sale,7000000.0,16875.0,,,415.0,177.0,134.4,58.0,1968.0,False,,B-1,278518.0,0.0398,0.0675,4126200.0,69.6,$5–10M
A11594999,2001 W State Road 84 Unit#412-3,Area 3580,Industrial,Cancelled,Sale,5500000.0,11800.0,,,466.0,264.0,76.5,17.0,2009.0,False,,PUD,114342.0,0.0208,0.0625,1829472.0,200.6,$5–10M
F10486612,702-704 NE 1st Avenue,Area 3380,Commercial (other),Cancelled,Sale,4250000.0,11156.0,,,381.0,306.0,24.6,62.0,1964.0,False,,RAC-UV,151186.0,0.0356,0.07,2159802.0,96.8,$2.5–5M
A11572479,2881 E Oakland Park Blvd,Area 3250,Office,Cancelled,Sale,21000000.0,37685.0,,,557.0,59.0,842.9,57.0,1969.0,False,,CB,599003.0,0.0285,0.08,7487538.0,180.5,$10M+
A11665921,3086 Harbor Dr,Area 3170,Hotel,Cancelled,Sale,14999000.0,13483.0,,,1112.0,342.0,225.4,75.0,1951.0,False,,RMH-25,358648.0,0.0239,0.085,4219386.0,255.5,$10M+
A11842347,955 S Federal Hwy,Area 3040,Office,Cancelled,Sale,12500000.0,15535.0,,,805.0,95.0,749.3,52.0,1974.0,False,,RAC-RPO,246929.0,0.0198,0.08,3086610.0,305.0,$10M+
A11425211,3005 Alhambra St,Area 3170,Hotel,Cancelled,Sale,12400000.0,12500.0,,,992.0,356.0,179.0,85.0,1941.0,False,,,332500.0,0.0268,0.085,3911765.0,217.0,$10M+
A11642161,824 NE 4th St Unit#1-6,Area 3700,Multifamily,Expired,Sale,1500000.0,6440.0,6.0,250000.0,233.0,315.0,-26.1,66.0,1960.0,False,,RMM-25,63200.0,0.0421,0.055,1149083.0,30.5,$1–2.5M
F10450330,2455 E Sunrise Boulevard Unit#CU-1A,Area 3260,Commercial (other),Expired,Sale,1098960.0,8381.0,,,131.0,283.0,-53.7,,,False,,B-1,113579.0,0.1034,0.07,1622562.0,-32.3,$1–2.5M
F10491389,526 NW 15th Way,Area 3460,Multifamily,Expired,Sale,1300000.0,11300.0,,,115.0,153.0,-24.6,69.0,1957.0,False,,RS-8,110894.0,0.0853,0.055,2016249.0,-35.5,$1–2.5M
A11685059,1106 NE 5th Ave Unit#1-5,Area 3370,Multifamily,Expired,Sale,1349999.0,10127.0,5.0,270000.0,133.0,240.0,-44.6,46.0,1980.0,False,,RMM-25,99382.0,0.0736,0.055,1806951.0,-25.3,$1–2.5M
F10453529,2801 SW 3rd Avenue,Area 3490,Commercial (other),Expired,Sale,1180000.0,2268.0,,,520.0,570.0,-8.7,24.0,2002.0,False,1.0,I,30736.0,0.026,0.07,439085.0,168.7,$1–2.5M
A11773250,412 SE 23rd St,Area 3600,Office,Expired,Sale,1195000.0,6749.0,,,177.0,206.0,-13.9,67.0,1959.0,False,,RO,107275.0,0.0898,0.08,1340942.0,-10.9,$1–2.5M
F10491429,2001 W State Road 84 #418,Area 3580,Industrial,Expired,Sale,1200000.0,11800.0,,,102.0,265.0,-61.6,2.0,2024.0,False,,PUD,114342.0,0.0953,0.0625,1829472.0,-34.4,$1–2.5M
F10405105,2001 NW 21st Avenue,Area 3560,Commercial (other),Expired,Sale,1200000.0,8333.0,,,144.0,285.0,-49.4,42.0,1984.0,False,,B-2,112929.0,0.0941,0.07,1613269.0,-25.6,$1–2.5M
A11706192,848 NW 2nd Ave,Area 3460,Multifamily,Expired,Sale,1095000.0,6750.0,,,162.0,201.0,-19.3,53.0,1973.0,False,,RMM-25,66242.0,0.0605,0.055,1204396.0,-9.1,$1–2.5M
F10516187,1100 NE 18th Court Unit#1-8,Area 3370,Multifamily,Expired,Sale,1500000.0,9167.0,8.0,187500.0,164.0,253.0,-35.3,68.0,1958.0,False,,RML-25,89961.0,0.06,0.055,1635659.0,-8.3,$1–2.5M
A11657759,2600 N Andrews Ave,Area 3370,Mixed Use,Expired,Sale,1200000.0,8798.0,,,136.0,192.0,-28.9,55.0,1971.0,False,,B-2,82349.0,0.0686,0.0675,1219989.0,-1.6,$1–2.5M
F10529942,1230 SE 4th Avenue,Area 3800,Mixed Use,Expired,Sale,1250000.0,7393.0,,,169.0,192.0,-12.1,67.0,1959.0,False,,RO,69198.0,0.0554,0.0675,1025163.0,21.9,$1–2.5M
F10497894,808 NW 19 Street,Area 3370,Multifamily,Expired,Sale,1299000.0,9466.0,,,137.0,249.0,-44.9,56.0,1970.0,False,,RDS-15,92896.0,0.0715,0.055,1689010.0,-23.1,$1–2.5M
F10491090,2001 W State Road 84 Unit#232/234,Area 3580,Industrial,Expired,Sale,1300000.0,11800.0,,,110.0,265.0,-58.4,2.0,2024.0,False,,PUD,114342.0,0.088,0.0625,1829472.0,-28.9,$1–2.5M
A11814830,1415 SW 1st Street Unit#1-8,Area 3470,Multifamily,Expired,Sale,1699000.0,13802.0,8.0,212400.0,123.0,168.0,-26.7,52.0,1974.0,False,,RML-25,135447.0,0.0797,0.055,2462678.0,-31.0,$1–2.5M
A11889386,511 SE 5th Ave Unit#11,Area 3800,Office,Expired,Sale,1700000.0,4340.0,,,392.0,166.0,136.0,21.0,2005.0,True,,RAC-CC,68984.0,0.0406,0.08,862304.0,97.1,$1–2.5M
A11781126,1317 SE 4th Ave,Area 3800,Office,Expired,Sale,1350000.0,10500.0,,,129.0,103.0,24.5,68.0,1958.0,False,,ROA,166898.0,0.1236,0.08,2086219.0,-35.3,$1–2.5M
F10523632,1700 NE 5 Street,Area 3270,Commercial (other),Expired,Sale,2295000.0,13107.0,,,175.0,223.0,-21.6,68.0,1958.0,False,,RC-15,177626.0,0.0774,0.07,2537515.0,-9.6,$1–2.5M
F10486705,1124 NE 5th Avenue,Area 3370,Multifamily,Expired,Sale,1750000.0,20256.0,,,86.0,166.0,-47.9,75.0,1951.0,False,,RMM-25,198784.0,0.1136,0.055,3614260.0,-51.6,$1–2.5M
A11444550,511 SE 5th Ave Unit#11,Area 3800,Office,Expired,Sale,2043000.0,4540.0,,,450.0,162.0,177.7,21.0,2005.0,False,,RAC-CC,72163.0,0.0353,0.08,902041.0,126.5,$1–2.5M
A11739246,842 NW 1st Ave,Area 3810,Multifamily,Expired,Sale,2049000.0,10126.0,,,202.0,327.0,-38.1,52.0,1974.0,False,,RMM-25,99373.0,0.0485,0.055,1806773.0,13.4,$1–2.5M
F10395763,1100 NE 18th Court,Area 3370,Multifamily,Expired,Sale,1800000.0,9167.0,,,196.0,253.0,-22.4,68.0,1958.0,False,,RML-25,89961.0,0.05,0.055,1635659.0,10.0,$1–2.5M
F10435565,1620 NE 12th Terrace,Area 3360,Industrial,Expired,Sale,1800000.0,11736.0,,,153.0,263.0,-41.8,73.0,1953.0,False,5.0,B-3,113722.0,0.0632,0.0625,1819549.0,-1.1,$1–2.5M
F10396003,100 SE 21st Street Unit#1-8,Area 3800,Commercial (other),Expired,Sale,1850000.0,14299.0,8.0,231200.0,129.0,189.0,-31.6,49.0,1977.0,False,,RMM-25,193780.0,0.1047,0.07,2768286.0,-33.2,$1–2.5M
F10457923,530-536 & 548 & 548 32nd Street,Area 3450,Commercial (other),Expired,Sale,1890000.0,17111.0,,,110.0,194.0,-43.0,67.0,1959.0,False,5.0,B-3,231888.0,0.1227,0.07,3312690.0,-42.9,$1–2.5M
A11753988,1415 SW 1 ST Unit#1-8,Area 3470,Multifamily,Expired,Sale,1895000.0,13802.0,8.0,236900.0,137.0,168.0,-18.3,52.0,1974.0,False,,RML-25,135447.0,0.0715,0.055,2462678.0,-23.1,$1–2.5M
A11803692,844 NW 10th Ter,Area 3460,Mixed Use,Expired,Sale,2225000.0,16875.0,,,132.0,91.0,44.1,61.0,1965.0,False,8.0,B-3,157950.0,0.071,0.0675,2340000.0,-4.9,$1–2.5M
F10482300,1124 NE 5th Avenue Unit#1-6,Area 3370,Multifamily,Expired,Sale,1350000.0,13504.0,6.0,225000.0,100.0,206.0,-51.4,75.0,1951.0,False,,RMM-25,132523.0,0.0982,0.055,2409506.0,-44.0,$1–2.5M
A11690572,901 NE 30th Ct,Area 3331,Industrial,Expired,Sale,1900000.0,16500.0,,,115.0,220.0,-47.7,58.0,1968.0,False,,MR,159885.0,0.0842,0.0625,2558160.0,-25.7,$1–2.5M
A11363737,320 Davie Blvd,Area 3380,Office,Expired,Sale,1950000.0,9652.0,,,202.0,154.0,31.6,36.0,1990.0,False,,ROC,153419.0,0.0787,0.08,1917732.0,1.7,$1–2.5M
F10423861,1091 NE 4th Avenue,Area 3390,Commercial (other),Expired,Sale,1990000.0,18100.0,,,110.0,188.0,-41.6,,,False,,CB,245291.0,0.1233,0.07,3504160.0,-43.2,$1–2.5M
F10504783,2700 E Oakland Park Boulevard,Area 3260,Retail,Expired,Sale,1990000.0,15000.0,,,133.0,135.0,-1.7,66.0,1960.0,False,,CB,247572.0,0.1244,0.0675,3667733.0,-45.7,$1–2.5M
A11727291,2010 NW 6th St,Area 3040,Restaurant,Expired,Sale,1998500.0,5200.0,,,384.0,270.0,42.2,,,False,,NWRAC-MU,123552.0,0.0618,0.065,1900800.0,5.1,$1–2.5M
A11657946,821 NE 18th Ct Unit#1-5,Area 3370,Multifamily,Expired,Sale,2000000.0,8540.0,5.0,400000.0,234.0,263.0,-11.0,51.0,1975.0,False,,RML-25,83808.0,0.0419,0.055,1523784.0,31.3,$1–2.5M
A11750386,600 W Oakland Park Blvd,Area 3390,Retail,Expired,Sale,1200000.0,10213.0,,,117.0,166.0,-29.1,58.0,1968.0,False,,TOC-W,168564.0,0.1405,0.0675,2497237.0,-51.9,$1–2.5M
A11534878,2600 N Andrews Ave,Area 3370,Mixed Use,Expired,Sale,1200000.0,8798.0,,,136.0,192.0,-28.9,55.0,1971.0,False,,B-2,82349.0,0.0686,0.0675,1219989.0,-1.6,$1–2.5M
F10450315,2455 E Sunrise Boulevard Unit#1108,Area 3260,Commercial (other),Expired,Sale,1079325.0,3321.0,,,325.0,464.0,-29.9,,,False,,B-1,45006.0,0.0417,0.07,642946.0,67.9,$1–2.5M
A11582220,1227 South Andrews Ave,Area 3500,Mixed Use,Expired,Sale,1090000.0,6250.0,,,174.0,214.0,-18.5,,,False,,CB,58500.0,0.0537,0.0675,866667.0,25.8,$1–2.5M
F10512115,624 SW 24th Street,Area 3480,Commercial (other),Expired,Sale,990000.0,6325.0,,,157.0,329.0,-52.4,74.0,1952.0,False,,CF,85716.0,0.0866,0.07,1224520.0,-19.2,< $1M
F10453687,1210 NE 15th Street Unit#22,Area 3270,Commercial (other),Expired,Sale,824250.0,1568.0,,,526.0,695.0,-24.4,6.0,2020.0,False,1.0,B3,21250.0,0.0258,0.07,303565.0,171.5,< $1M
F10450332,2455 E Sunrise Boulevard Unit#CU-1B,Area 3260,Commercial (other),Expired,Sale,830625.0,8381.0,,,99.0,283.0,-65.0,,,False,,B-1,113579.0,0.1367,0.07,1622562.0,-48.8,< $1M
A11721197,223 SW 17th St,Area 3480,Mixed Use,Expired,Sale,849000.0,7380.0,,,115.0,217.0,-47.0,74.0,1952.0,False,,B-3,69077.0,0.0814,0.0675,1023360.0,-17.0,< $1M
A11225517,2011 W State Road 84 Unit#232-2,Area 3480,Industrial,Expired,Sale,850000.0,2000.0,,,425.0,680.0,-37.5,4.0,2022.0,False,,,19380.0,0.0228,0.0625,310080.0,174.1,< $1M
A11637888,848 NW 2nd Ave,Area 3460,Multifamily,Expired,Sale,1175000.0,6750.0,,,174.0,201.0,-13.4,54.0,1972.0,False,,RMM-25,66242.0,0.0564,0.055,1204396.0,-2.4,$1–2.5M
A11899504,423 SE 19th St,Area 3800,Office,Expired,Sale,899999.0,6840.0,,,132.0,130.0,1.4,59.0,1967.0,False,,RO,108722.0,0.1208,0.08,1359022.0,-33.8,< $1M
F10462346,824 NE 16th Street,Area 3370,Multifamily,Expired,Sale,930000.0,9759.0,,,95.0,245.0,-61.1,56.0,1970.0,False,,RS-8,95771.0,0.103,0.055,1741289.0,-46.6,< $1M
A11718368,2001-2007 NW 21st Ave,Area 3560,Mixed Use,Expired,Sale,949900.0,11136.0,,,85.0,175.0,-51.2,,,False,0.0,B-2,104233.0,0.1097,0.0675,1544192.0,-38.5,< $1M
A11748832,848 NW 2nd Ave,Area 3460,Multifamily,Expired,Sale,1039000.0,6750.0,,,154.0,201.0,-23.4,54.0,1972.0,False,,RMM-25,66242.0,0.0638,0.055,1204396.0,-13.7,$1–2.5M
F10483250,1147 Seabreeze Boulevard,Area 3170,Hotel,Expired,Sale,14750000.0,12976.0,,,1137.0,349.0,225.8,76.0,1950.0,False,,RMH-25,345162.0,0.0234,0.085,4060725.0,263.2,$10M+
A11804621,401 E Oakland Park Blvd,Area 3450,Mixed Use,Expired,Sale,540000.0,5268.0,,,103.0,260.0,-60.5,78.0,1948.0,False,,B-1,49308.0,0.0913,0.0675,730496.0,-26.1,< $1M
F10526976,301 SW 7th Street,Area 3500,Commercial (other),Expired,Sale,1395000.0,7250.0,,,192.0,276.0,-30.3,58.0,1968.0,False,,RAC-SMU (TMU),98252.0,0.0704,0.07,1403600.0,-0.6,$1–2.5M
F10526788,105 S Avenue Of The Arts,Area 3460,Commercial (other),Expired,Sale,1399000.0,6225.0,,,225.0,217.0,3.7,68.0,1958.0,False,,RAC-AS,84361.0,0.0603,0.07,1205160.0,16.1,$1–2.5M
F10410358,921 NE 3rd Avenue,Area 3700,Mixed Use,Expired,Sale,1400000.0,3375.0,,,415.0,330.0,25.6,46.0,1980.0,False,1.0,NWRAC-MUne,31590.0,0.0226,0.0675,468000.0,199.1,$1–2.5M
A11934425,426 NW 14th Ave Unit#1-8,Area 3460,Multifamily,Expired,Sale,1425000.0,11865.0,8.0,178100.0,120.0,149.0,-19.3,62.0,1964.0,False,,RS-8,116438.0,0.0817,0.055,2117061.0,-32.7,$1–2.5M
A11626291,2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L,Area 3350,Office,Expired,Sale,750000.0,6624.0,,,113.0,149.0,-24.0,53.0,1973.0,False,,B-1,105288.0,0.1404,0.08,1316106.0,-43.0,< $1M
A11716543,2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L,Area 3300,Office,Expired,Sale,750000.0,6624.0,,,113.0,149.0,-24.0,53.0,1973.0,False,,B-1,105288.0,0.1404,0.08,1316106.0,-43.0,< $1M
F10421306,1432 NE 10th Avenue,Area 3370,Commercial (other),Expired,Sale,525000.0,5992.0,,,88.0,328.0,-73.3,70.0,1956.0,False,,RMM-25,81204.0,0.1547,0.07,1160051.0,-54.7,< $1M
F10491103,2001 W St. Road,Area 3580,Industrial,Expired,Sale,535000.0,11800.0,,,45.0,264.0,-82.8,17.0,2009.0,False,,PUD,114342.0,0.2137,0.0625,1829472.0,-70.8,< $1M
F10453661,916 NW 9th Avenue,Area 3460,Industrial,Expired,Sale,850000.0,6750.0,,,126.0,231.0,-45.5,68.0,1958.0,False,,B-3,65408.0,0.077,0.0625,1046520.0,-18.8,< $1M
A11475571,739 NW 7th Ter,Area 3010,Industrial,Expired,Sale,875000.0,6750.0,,,130.0,354.0,-63.3,69.0,1957.0,False,,I,65408.0,0.0748,0.0625,1046520.0,-16.4,< $1M
F10490790,200 SE 19th Street,Area 3800,Commercial (other),Expired,Sale,599000.0,6950.0,,,86.0,278.0,-68.9,58.0,1968.0,False,,ROA,94186.0,0.1572,0.07,1345520.0,-55.5,< $1M
A11842002,648 W Oakland Park Blvd,Area 3390,Mixed Use,Expired,Sale,750000.0,9351.0,,,80.0,192.0,-58.2,65.0,1961.0,False,,TOC-W,87525.0,0.1167,0.0675,1296672.0,-42.2,< $1M
F10405535,412 SE 13th Street,Area 3800,Commercial (other),Expired,Sale,1049000.0,1412.0,,,743.0,646.0,15.0,87.0,1939.0,False,,RO,19135.0,0.0182,0.07,273363.0,283.7,$1–2.5M
A11891960,1026 NW 9th Ave,Area 3424,Retail,Expired,Sale,1050000.0,6751.0,,,156.0,206.0,-24.7,65.0,1961.0,False,,B-1,111424.0,0.1061,0.0675,1650725.0,-36.4,$1–2.5M
F10513010,125 N Birch Road,Area 3170,Commercial (other),Expired,Sale,23000000.0,28321.0,,,812.0,148.0,448.6,79.0,1947.0,False,,,383806.0,0.0167,0.07,5482946.0,319.5,$10M+
A11664525,616-626 SW 14th Ave,Area 3470,Multifamily,Expired,Sale,7950000.0,39000.0,,,204.0,97.0,111.0,60.0,1966.0,False,,RD-15,382730.0,0.0481,0.055,6958735.0,14.2,$5–10M
