mls,address,submarket,asset_type,status,deal_kind,price,sqft,units,price_per_unit,ppsf,pred_ppsf,ppsf_gap_pct,age,year_built,waterfront,bays,zoning,noi,implied_cap,market_cap,assumed_value,income_gap_pct,price_band
A11743959,2300 NW 6th St,Area 3120,Multifamily,Sold,Sale,1800000.0,13402.0,,,134.0,158.0,-14.8,67.0,1959.0,False,,NWRAC-MU,131522.0,0.0731,0.055,2391307.0,-24.7,$1–2.5M
F10482119,901 NE 30th Court,Area 3370,Commercial (other),Sold,Sale,1725000.0,16500.0,,,105.0,141.0,-26.1,58.0,1968.0,False,15.0,B-1,223608.0,0.1296,0.07,3194400.0,-46.0,$1–2.5M
A11631671,1823 - 1825 SW 1st Ave,Area 3360,Industrial,Sold,Sale,1075000.0,10000.0,,,108.0,212.0,-49.2,74.0,1952.0,False,,SRAC-SAw,96900.0,0.0901,0.0625,1550400.0,-30.7,$1–2.5M
F10517299,1129 NE 16th Avenue Unit#1-5,Area 3380,Multifamily,Sold,Sale,1150000.0,6752.0,5.0,230000.0,170.0,285.0,-40.3,62.0,1964.0,False,,RC-15,66261.0,0.0576,0.055,1204753.0,-4.5,$1–2.5M
A11887948,1100 NE 4th Ave Unit#1-2,Area 3400,Restaurant,Sold,Sale,1140000.0,6250.0,2.0,570000.0,182.0,181.0,0.9,72.0,1954.0,False,2.0,CB,148500.0,0.1303,0.065,2284615.0,-50.1,$1–2.5M
F10402950,808 W Broward Boulevard,Area 3810,Commercial (other),Sold,Sale,3450000.0,31542.0,,,109.0,136.0,-19.7,63.0,1963.0,False,,B-1,427457.0,0.1239,0.07,6106531.0,-43.5,$2.5–5M
F10465569,1620 SW 3 Avenue,Area 3500,Industrial,Sold,Sale,4050000.0,31764.0,,,128.0,103.0,23.6,69.0,1957.0,False,12.0,B-3,307793.0,0.076,0.0625,4924691.0,-17.8,$2.5–5M
A11344372,1320 SW 26th St,Area 3490,Multifamily,Sold,Sale,3000000.0,9445.0,,,318.0,190.0,67.6,80.0,1946.0,False,,B-2,92689.0,0.0309,0.055,1685263.0,78.0,$2.5–5M
F10525141,2780 E Oakland Park Boulevard,Area 3260,Commercial (other),Sold,Sale,3450000.0,17001.0,,,203.0,144.0,41.3,62.0,1964.0,False,3.0,CB,230398.0,0.0668,0.07,3291394.0,4.8,$2.5–5M
A11702199,1800 NW 9th Ave,Area 3250,Mixed Use,Sold,Sale,3500000.0,36491.0,,,96.0,69.0,39.8,66.0,1960.0,False,,RDS-15,341556.0,0.0976,0.0675,5060085.0,-30.8,$2.5–5M
