mls,address,submarket,asset_type,status,price,sqft,ppsf,pred_ppsf,ppsf_gap_pct,assumed_value,income_gap_pct
F10496405,817 NE 4th Avenue,Area 3270,Mixed Use,Expired,4000000.0,19125.0,209.0,131.0,59.7,2652000.0,50.8
F10530893,2209 NE 26th Street,Area 3370,Hotel,Expired,9600000.0,27696.0,347.0,226.0,53.4,8667219.0,10.8
A11587494,1916 SW 11th St,Area 3990,Multifamily,Expired,5999999.0,26399.0,227.0,149.0,52.6,4710350.0,27.4
A11640494,3001 N Ocean Blvd,Area 3130,Hotel,Expired,8000000.0,18110.0,442.0,293.0,51.0,5667365.0,41.2
F10513789,1916 SW 11th Street,Area 3990,Multifamily,Expired,5800888.0,26399.0,220.0,149.0,47.5,4710350.0,23.2
A11649334,1040 E Oakland Park Blvd,Area 3370,Retail,Expired,3650000.0,24725.0,148.0,100.0,47.3,6045647.0,-39.6
F10479873,1730 W Sunrise Boulevard,Area 3560,Retail,Expired,3900000.0,26836.0,145.0,99.0,46.6,6561819.0,-40.6
F10556540,1210 NE 8th Avenue,Area 3560,Mixed Use,Withdrawn,2198672.0,6378.0,345.0,235.0,46.6,884416.0,148.6
F10495959,2817 E Oakland Park Boulevard,Area 3250,Commercial (other),Expired,4500000.0,14860.0,303.0,209.0,44.9,2876896.0,56.4
F10467536,15 SE 9th Avenue,Area 3270,Commercial (other),Cancelled,3250000.0,7500.0,433.0,301.0,44.2,1452000.0,123.8
A11803692,844 NW 10th Ter,Area 3460,Mixed Use,Expired,2225000.0,16875.0,132.0,91.0,44.1,2340000.0,-4.9
F10409873,3030 SW 4th Avenue,Area 3490,Industrial,Expired,8700000.0,48992.0,178.0,123.0,43.9,7595720.0,14.5
A11564907,844 NW 10th Ter,Area 3460,Mixed Use,Expired,2200000.0,16875.0,130.0,91.0,42.5,2340000.0,-6.0
A11727291,2010 NW 6th St,Area 3040,Restaurant,Expired,1998500.0,5200.0,384.0,270.0,42.2,1900800.0,5.1
A11563857,15 NW 9th Ave,Area 3470,Industrial,Expired,2750000.0,7000.0,393.0,277.0,41.9,1085280.0,153.4
A11766749,729 SW 2nd Ct,Area 3470,Multifamily,Expired,3000000.0,11500.0,261.0,185.0,41.1,2051935.0,46.2
A11771851,2120 S Federal Hwy,Area 3600,Retail,Expired,3595000.0,12150.0,296.0,212.0,39.8,2970864.0,21.0
A11579197,92 Hendricks Isle,Area 3280,Multifamily,Cancelled,2750000.0,6250.0,440.0,320.0,37.5,1115182.0,146.6
A11646889,2120 S Federal Hwy,Area 3600,Retail,Cancelled,3495000.0,12150.0,288.0,212.0,35.9,2970864.0,17.6
F10396875,3047 N Federal Highway,Area 3380,Commercial (other),Cancelled,2500000.0,3130.0,799.0,601.0,32.9,605968.0,312.6
F10358396,600 SW 4th Avenue,Area 3500,Commercial (other),Expired,3395000.0,12363.0,275.0,208.0,32.0,2393477.0,41.8
A11363737,320 Davie Blvd,Area 3380,Office,Expired,1950000.0,9652.0,202.0,154.0,31.6,1917732.0,1.7
F10417742,2502 NE 6th Avenue,Area 3370,Commercial (other),Expired,2649000.0,6256.0,423.0,322.0,31.3,1211162.0,118.7
A11812151,2500 Wilton Dr,Area 3370,Special Purpose,Expired,2500000.0,5664.0,441.0,340.0,29.9,988557.0,152.9
F10447881,735 NW 7th Terrace,Area 3460,Industrial,Expired,2400000.0,10125.0,237.0,186.0,27.3,1569780.0,52.9
F10544997,1730 W Sunrise Boulevard,Area 3460,Commercial (other),Expired,3400000.0,26836.0,127.0,100.0,27.1,5195450.0,-34.6
A11308343,2010 Wilton Dr,Area 3380,Restaurant,Expired,2750000.0,7960.0,345.0,272.0,26.9,2909686.0,-5.5
F10410358,921 NE 3rd Avenue,Area 3700,Mixed Use,Expired,1400000.0,3375.0,415.0,330.0,25.6,468000.0,199.1
F10486612,702-704 NE 1st Avenue,Area 3380,Commercial (other),Cancelled,4250000.0,11156.0,381.0,306.0,24.6,2159802.0,96.8
A11781126,1317 SE 4th Ave,Area 3800,Office,Expired,1350000.0,10500.0,129.0,103.0,24.5,2086219.0,-35.3
F10421930,3001 NE 12 Terrace,Area 3370,Industrial,Expired,3900000.0,13000.0,300.0,242.0,24.0,2015520.0,93.5
F10466998,2455 E Sunrise Boulevard Unit#Penthouse,Area 3260,Commercial (other),Expired,3520180.0,12398.0,284.0,230.0,23.4,2400253.0,46.7
F10467099,2666 E Oakland Park Boulevard,Area 3250,Commercial (other),Expired,3800000.0,15000.0,253.0,208.0,21.9,2904000.0,30.9
