address,asset_type,submarket,status,last_ask,value,implied_cap,lease_psf,comp_ppsf,opener
2648 NE 32nd Street,Hotel,Area 3250,Expired,4200000.0,5541000.0,0.1267,,277,"Hi, I saw 2648 NE 32nd Street came off the market — I cover Oakland Park Blvd. Hotel around here is trading near $277/SF. I think it can be positioned to actually sell — got two minutes?"
817 NE 4th Avenue,Mixed Use,Area 3270,Expired,4000000.0,2505000.0,0.0448,20.2,131,"Hi, I saw 817 NE 4th Avenue came off the market — I cover Sunrise Blvd. Mixed-use around here is trading near $131/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
2150 NW 9th Avenue,Commercial (other),Area 3460,Expired,3995000.0,2467000.0,0.0768,26.5,109,"Hi, I saw 2150 NW 9th Avenue came off the market — I cover Sunrise Blvd. Commercial around here is trading near $109/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
3001 NE 12 Terrace,Industrial,Area 3370,Expired,3900000.0,3146000.0,0.0323,19.4,242,"Hi, I saw 3001 NE 12 Terrace came off the market — I cover Dixie Hwy · Oakland Park Blvd. Industrial around here is trading near $242/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
1730 W Sunrise Boulevard,Retail,Area 3560,Expired,3900000.0,2657000.0,0.1136,28.0,99,"Hi, I saw 1730 W Sunrise Boulevard came off the market — I cover Broward Blvd · Sunrise Blvd. Retail around here is trading near $99/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
2666 E Oakland Park Boulevard,Commercial (other),Area 3250,Expired,3800000.0,3120000.0,0.0535,26.5,208,"Hi, I saw 2666 E Oakland Park Boulevard came off the market — I cover Oakland Park Blvd. Commercial around here is trading near $208/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
1040 E Oakland Park Blvd,Retail,Area 3370,Expired,3650000.0,2472000.0,0.1118,28.0,100,"Hi, I saw 1040 E Oakland Park Blvd came off the market — I cover Dixie Hwy · Oakland Park Blvd. Retail around here is trading near $100/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
2905 NE 6th Avenue,Commercial (other),Area 3370,Expired,3600000.0,4183000.0,0.1133,26.5,139,"Hi, I saw 2905 NE 6th Avenue came off the market — I cover Dixie Hwy · Oakland Park Blvd. Commercial around here is trading near $139/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2666 E Oakland Park Boulevard,Commercial (other),Area 3250,Expired,3600000.0,3120000.0,0.0565,26.5,208,"Hi, I saw 2666 E Oakland Park Boulevard came off the market — I cover Oakland Park Blvd. Commercial around here is trading near $208/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2120 S Federal Hwy,Retail,Area 3600,Expired,3595000.0,2576000.0,0.0558,28.0,212,"Hi, I saw 2120 S Federal Hwy came off the market — I cover SE 17th St · Federal Hwy. Retail around here is trading near $212/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
