address,asset_type,submarket,status,last_ask,value,implied_cap,lease_psf,comp_ppsf,opener
1415 SW 1st Street Unit#1-8,Multifamily,Area 3470,Expired,1699000.0,2319000.0,0.0797,15.4,168,"Hi, I saw 1415 SW 1st Street Unit#1-8 came off the market — I cover Davie Blvd · Las Olas Blvd. Multifamily around here is trading near $168/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
834 NW 10th Ter,Industrial,Area 3460,Expired,1600000.0,2396000.0,0.1022,19.4,142,"Hi, I saw 834 NW 10th Ter came off the market — I cover Sunrise Blvd. Industrial around here is trading near $142/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Boulevard Unit#Retail Portfolio Sale,Commercial (other),Area 3260,Expired,1600000.0,2852000.0,0.105,26.5,230,"Hi, I saw 2455 E Sunrise Boulevard Unit#Retail Portfolio Sale came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $230/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
709 SW 4th Ct Unit#1-7,Multifamily,Area 3470,Cancelled,1599900.0,2324000.0,0.0859,15.4,166,"Hi, I saw 709 SW 4th Ct Unit#1-7 came off the market — I cover Davie Blvd · Las Olas Blvd. Multifamily around here is trading near $166/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
824 NE 4th St Unit#1-6,Multifamily,Area 3700,Expired,1500000.0,2029000.0,0.0421,15.4,315,"Hi, I saw 824 NE 4th St Unit#1-6 came off the market — I cover Andrews Ave. Multifamily around here is trading near $315/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1100 NE 18th Court Unit#1-8,Multifamily,Area 3370,Expired,1500000.0,2319000.0,0.06,15.4,253,"Hi, I saw 1100 NE 18th Court Unit#1-8 came off the market — I cover Dixie Hwy · Oakland Park Blvd. Multifamily around here is trading near $253/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
618 NE 14th Avenue,Multifamily,Area 3270,Expired,1500000.0,2439000.0,0.0626,15.4,255,"Hi, I saw 618 NE 14th Avenue came off the market — I cover Sunrise Blvd. Multifamily around here is trading near $255/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
618 NE 14th Avenue,Multifamily,Area 3270,Expired,1500000.0,2439000.0,0.0626,15.4,255,"Hi, I saw 618 NE 14th Avenue came off the market — I cover Sunrise Blvd. Multifamily around here is trading near $255/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
505 SE 20th St Unit#1-6,Multifamily,Area 3600,Cancelled,1490000.0,2937000.0,0.046,15.4,421,"Hi, I saw 505 SE 20th St Unit#1-6 came off the market — I cover SE 17th St · Federal Hwy. Multifamily around here is trading near $421/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
426 NW 14th Ave Unit#1-8,Multifamily,Area 3460,Expired,1425000.0,1768000.0,0.0817,15.4,149,"Hi, I saw 426 NW 14th Ave Unit#1-8 came off the market — I cover Sunrise Blvd. Multifamily around here is trading near $149/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
834 NW 10th Ter,Industrial,Area 3460,Cancelled,1400000.0,2396000.0,0.1168,19.4,142,"Hi, I saw 834 NW 10th Ter came off the market — I cover Sunrise Blvd. Industrial around here is trading near $142/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
1100 NE 18th Ct Unit#1-8,Multifamily,Area 3420,Cancelled,1400000.0,2402000.0,0.0643,15.4,262,"Hi, I saw 1100 NE 18th Ct Unit#1-8 came off the market — I cover the area. Multifamily around here is trading near $262/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
921 NE 3rd Avenue,Mixed Use,Area 3700,Expired,1400000.0,1114000.0,,20.2,330,"Hi, I saw 921 NE 3rd Avenue came off the market — I cover Andrews Ave. Mixed-use around here is trading near $330/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
105 S Avenue Of The Arts,Commercial (other),Area 3460,Expired,1399000.0,1351000.0,0.0603,26.5,217,"Hi, I saw 105 S Avenue Of The Arts came off the market — I cover Sunrise Blvd. Commercial around here is trading near $217/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
301 SW 7th Street,Commercial (other),Area 3500,Expired,1395000.0,2001000.0,0.0704,26.5,276,"Hi, I saw 301 SW 7th Street came off the market — I cover Andrews Ave. Commercial around here is trading near $276/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
1317 SE 4th Ave,Office,Area 3800,Expired,1350000.0,1082000.0,0.1236,17.0,103,"Hi, I saw 1317 SE 4th Ave came off the market — I cover Andrews Ave · SE 17th St. Office around here is trading near $103/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
1124 NE 5th Avenue Unit#1-6,Multifamily,Area 3370,Expired,1350000.0,2782000.0,0.0982,15.4,206,"Hi, I saw 1124 NE 5th Avenue Unit#1-6 came off the market — I cover Dixie Hwy · Oakland Park Blvd. Multifamily around here is trading near $206/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1106 NE 5th Ave Unit#1-5,Multifamily,Area 3370,Expired,1349999.0,2430000.0,0.0736,15.4,240,"Hi, I saw 1106 NE 5th Ave Unit#1-5 came off the market — I cover Dixie Hwy · Oakland Park Blvd. Multifamily around here is trading near $240/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
526 NW 15th Way,Multifamily,Area 3460,Expired,1300000.0,1729000.0,0.0853,15.4,153,"Hi, I saw 526 NW 15th Way came off the market — I cover Sunrise Blvd. Multifamily around here is trading near $153/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
2001 W State Road 84 Unit#232/234,Industrial,Area 3580,Expired,1300000.0,3127000.0,0.088,19.4,265,"Hi, I saw 2001 W State Road 84 Unit#232/234 came off the market — I cover SR-84. Industrial around here is trading near $265/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
808 NW 19 Street,Multifamily,Area 3370,Expired,1299000.0,2357000.0,0.0715,15.4,249,"Hi, I saw 808 NW 19 Street came off the market — I cover Dixie Hwy · Oakland Park Blvd. Multifamily around here is trading near $249/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
301 SW 14th Way,Multifamily,Area 3470,Withdrawn,1280000.0,1860000.0,0.0663,15.4,215,"Hi, I saw 301 SW 14th Way came off the market — I cover Davie Blvd · Las Olas Blvd. Multifamily around here is trading near $215/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
200 S Andrews Ave Unit#602,Office,Area 3800,Cancelled,1250000.0,634000.0,0.042,17.0,192,"Hi, I saw 200 S Andrews Ave Unit#602 came off the market — I cover Andrews Ave · SE 17th St. Office around here is trading near $192/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
1230 SE 4th Avenue,Mixed Use,Area 3800,Expired,1250000.0,1419000.0,0.0554,20.2,192,"Hi, I saw 1230 SE 4th Avenue came off the market — I cover Andrews Ave · SE 17th St. Mixed-use around here is trading near $192/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
2600 N Andrews Ave,Office,Area 3370,Cancelled,1200000.0,1091000.0,0.1165,17.0,124,"Hi, I saw 2600 N Andrews Ave came off the market — I cover Dixie Hwy · Oakland Park Blvd. Office around here is trading near $124/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
2001 W State Road 84 #418,Industrial,Area 3580,Expired,1200000.0,3127000.0,0.0953,19.4,265,"Hi, I saw 2001 W State Road 84 #418 came off the market — I cover SR-84. Industrial around here is trading near $265/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
2001 NW 21st Avenue,Commercial (other),Area 3560,Expired,1200000.0,2375000.0,0.0941,26.5,285,"Hi, I saw 2001 NW 21st Avenue came off the market — I cover Broward Blvd · Sunrise Blvd. Commercial around here is trading near $285/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2600 N Andrews Ave,Mixed Use,Area 3370,Expired,1200000.0,1689000.0,0.0686,20.2,192,"Hi, I saw 2600 N Andrews Ave came off the market — I cover Dixie Hwy · Oakland Park Blvd. Mixed-use around here is trading near $192/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
600 W Oakland Park Blvd,Retail,Area 3390,Expired,1200000.0,1695000.0,0.1405,28.0,166,"Hi, I saw 600 W Oakland Park Blvd came off the market — I cover Oakland Park Blvd · SE 17th St. Retail around here is trading near $166/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
2600 N Andrews Ave,Mixed Use,Area 3370,Expired,1200000.0,1689000.0,0.0686,20.2,192,"Hi, I saw 2600 N Andrews Ave came off the market — I cover Dixie Hwy · Oakland Park Blvd. Mixed-use around here is trading near $192/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
412 SE 23rd St,Office,Area 3600,Expired,1195000.0,1390000.0,0.0898,17.0,206,"Hi, I saw 412 SE 23rd St came off the market — I cover SE 17th St · Federal Hwy. Office around here is trading near $206/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
2801 SW 3rd Avenue,Commercial (other),Area 3490,Expired,1180000.0,1293000.0,,26.5,570,"Hi, I saw 2801 SW 3rd Avenue came off the market — I cover the area. Commercial around here is trading near $570/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
848 NW 2nd Ave,Multifamily,Area 3460,Expired,1175000.0,1357000.0,0.0564,15.4,201,"Hi, I saw 848 NW 2nd Ave came off the market — I cover Sunrise Blvd. Multifamily around here is trading near $201/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Boulevard Unit#CU-1A,Commercial (other),Area 3260,Expired,1098960.0,2372000.0,0.1034,26.5,283,"Hi, I saw 2455 E Sunrise Boulevard Unit#CU-1A came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $283/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
848 NW 2nd Ave,Multifamily,Area 3460,Expired,1095000.0,1357000.0,0.0605,15.4,201,"Hi, I saw 848 NW 2nd Ave came off the market — I cover Sunrise Blvd. Multifamily around here is trading near $201/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1227 South Andrews Ave,Mixed Use,Area 3500,Expired,1090000.0,1338000.0,0.0537,20.2,214,"Hi, I saw 1227 South Andrews Ave came off the market — I cover Andrews Ave. Mixed-use around here is trading near $214/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Boulevard Unit#1108,Commercial (other),Area 3260,Expired,1079325.0,1541000.0,0.0417,26.5,464,"Hi, I saw 2455 E Sunrise Boulevard Unit#1108 came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $464/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
1026 NW 9th Ave,Retail,Area 3424,Expired,1050000.0,1391000.0,0.1061,28.0,206,"Hi, I saw 1026 NW 9th Ave came off the market — I cover the area. Retail around here is trading near $206/SF and leasing around $28/SF. I think it can be positioned to actually sell — got two minutes?"
412 SE 13th Street,Commercial (other),Area 3800,Expired,1049000.0,912000.0,,26.5,646,"Hi, I saw 412 SE 13th Street came off the market — I cover Andrews Ave · SE 17th St. Commercial around here is trading near $646/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
848 NW 2nd Ave,Multifamily,Area 3460,Expired,1039000.0,1357000.0,0.0638,15.4,201,"Hi, I saw 848 NW 2nd Ave came off the market — I cover Sunrise Blvd. Multifamily around here is trading near $201/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
200 S Andrews Ave Unit#503,Office,Area 3800,Cancelled,1020000.0,545000.0,0.0374,17.0,227,"Hi, I saw 200 S Andrews Ave Unit#503 came off the market — I cover Andrews Ave · SE 17th St. Office around here is trading near $227/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
200 S Andrews Ave Unit#503,Office,Area 3800,Cancelled,1000000.0,545000.0,0.0381,17.0,227,"Hi, I saw 200 S Andrews Ave Unit#503 came off the market — I cover Andrews Ave · SE 17th St. Office around here is trading near $227/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
624 SW 24th Street,Commercial (other),Area 3480,Expired,990000.0,2081000.0,0.0866,26.5,329,"Hi, I saw 624 SW 24th Street came off the market — I cover Federal Hwy · SE 17th St. Commercial around here is trading near $329/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
719 NW 7th Ter,Industrial,Area 3112,Cancelled,985000.0,2390000.0,0.0664,19.4,354,"Hi, I saw 719 NW 7th Ter came off the market — I cover the area. Industrial around here is trading near $354/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
419 NE 2nd Avenue,Multifamily,Area 3500,Cancelled,954000.0,1817000.0,0.0656,15.4,285,"Hi, I saw 419 NE 2nd Avenue came off the market — I cover Andrews Ave. Multifamily around here is trading near $285/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
311 SW 14th Way,Multifamily,Area 3470,Withdrawn,950000.0,1697000.0,0.073,15.4,240,"Hi, I saw 311 SW 14th Way came off the market — I cover Davie Blvd · Las Olas Blvd. Multifamily around here is trading near $240/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
2001-2007 NW 21st Ave,Mixed Use,Area 3560,Expired,949900.0,1949000.0,0.1097,20.2,175,"Hi, I saw 2001-2007 NW 21st Ave came off the market — I cover Broward Blvd · Sunrise Blvd. Mixed-use around here is trading near $175/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
824 NE 16th Street,Multifamily,Area 3370,Expired,930000.0,2391000.0,0.103,15.4,245,"Hi, I saw 824 NE 16th Street came off the market — I cover Dixie Hwy · Oakland Park Blvd. Multifamily around here is trading near $245/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1141 SE 4th Avenue,Commercial (other),Area 3800,Cancelled,929000.0,1932000.0,0.1021,26.5,276,"Hi, I saw 1141 SE 4th Avenue came off the market — I cover Andrews Ave · SE 17th St. Commercial around here is trading near $276/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
423 SE 19th St,Office,Area 3800,Expired,899999.0,889000.0,0.1208,17.0,130,"Hi, I saw 423 SE 19th St came off the market — I cover Andrews Ave · SE 17th St. Office around here is trading near $130/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
1112 NE 5th Ave Unit#1-2,Multifamily,Area 3370,Cancelled,890000.0,2012000.0,0.0744,15.4,298,"Hi, I saw 1112 NE 5th Ave Unit#1-2 came off the market — I cover Dixie Hwy · Oakland Park Blvd. Multifamily around here is trading near $298/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
739 NW 7th Ter,Industrial,Area 3010,Expired,875000.0,2390000.0,0.0748,19.4,354,"Hi, I saw 739 NW 7th Ter came off the market — I cover the area. Industrial around here is trading near $354/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
2011 W State Road 84 Unit#232-2,Industrial,Area 3480,Expired,850000.0,1360000.0,,19.4,680,"Hi, I saw 2011 W State Road 84 Unit#232-2 came off the market — I cover Federal Hwy · SE 17th St. Industrial around here is trading near $680/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
916 NW 9th Avenue,Industrial,Area 3460,Expired,850000.0,1559000.0,0.077,19.4,231,"Hi, I saw 916 NW 9th Avenue came off the market — I cover Sunrise Blvd. Industrial around here is trading near $231/SF and leasing around $19/SF. I think it can be positioned to actually sell — got two minutes?"
11 SE 13th Street,Mixed Use,Area 3800,TempOff,850000.0,1312000.0,0.0688,20.2,210,"Hi, I saw 11 SE 13th Street came off the market — I cover Andrews Ave · SE 17th St. Mixed-use around here is trading near $210/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
223 SW 17th St,Mixed Use,Area 3480,Expired,849000.0,1601000.0,0.0814,20.2,217,"Hi, I saw 223 SW 17th St came off the market — I cover Federal Hwy · SE 17th St. Mixed-use around here is trading near $217/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Boulevard Unit#CU-1B,Commercial (other),Area 3260,Expired,830625.0,2372000.0,0.1367,26.5,283,"Hi, I saw 2455 E Sunrise Boulevard Unit#CU-1B came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $283/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
1210 NE 15th Street Unit#22,Commercial (other),Area 3270,Expired,824250.0,1090000.0,,26.5,695,"Hi, I saw 1210 NE 15th Street Unit#22 came off the market — I cover Sunrise Blvd. Commercial around here is trading near $695/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
1601 NW 6th St,Mixed Use,Area 3460,Cancelled,775000.0,830000.0,0.0539,20.2,186,"Hi, I saw 1601 NW 6th St came off the market — I cover Sunrise Blvd. Mixed-use around here is trading near $186/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L,Office,Area 3350,Expired,750000.0,987000.0,0.1404,17.0,149,"Hi, I saw 2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L came off the market — I cover Sunrise Blvd. Office around here is trading near $149/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L,Office,Area 3300,Expired,750000.0,987000.0,0.1404,17.0,149,"Hi, I saw 2455 E Sunrise Blvd Unit#CU9K-CU9M-CU9L came off the market — I cover Sunrise Blvd. Office around here is trading near $149/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
648 W Oakland Park Blvd,Mixed Use,Area 3390,Expired,750000.0,1795000.0,0.1167,20.2,192,"Hi, I saw 648 W Oakland Park Blvd came off the market — I cover Oakland Park Blvd · SE 17th St. Mixed-use around here is trading near $192/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
200 SE 19th Street,Mixed Use,Area 3800,Cancelled,699000.0,1383000.0,0.0931,20.2,199,"Hi, I saw 200 SE 19th Street came off the market — I cover Andrews Ave · SE 17th St. Mixed-use around here is trading near $199/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
314 SE 14th Street,Commercial (other),Area 3800,Cancelled,665000.0,1800000.0,0.1223,26.5,300,"Hi, I saw 314 SE 14th Street came off the market — I cover Andrews Ave · SE 17th St. Commercial around here is trading near $300/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
405-407 E Oakland Park Blvd,Multifamily,Area 3450,Cancelled,600000.0,1691000.0,0.0709,15.4,390,"Hi, I saw 405-407 E Oakland Park Blvd came off the market — I cover Oakland Park Blvd. Multifamily around here is trading near $390/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
1403 NW 8th Ave,Multifamily,Area 3390,Expired,575000.0,2079000.0,0.1152,15.4,308,"Hi, I saw 1403 NW 8th Ave came off the market — I cover Oakland Park Blvd · SE 17th St. Multifamily around here is trading near $308/SF and leasing around $15/SF. I think it can be positioned to actually sell — got two minutes?"
401 E Oakland Park Blvd,Mixed Use,Area 3450,Expired,540000.0,1370000.0,0.0913,20.2,260,"Hi, I saw 401 E Oakland Park Blvd came off the market — I cover Oakland Park Blvd. Mixed-use around here is trading near $260/SF and leasing around $20/SF. I think it can be positioned to actually sell — got two minutes?"
3015 N Ocean Boulevard Unit#C-115,Commercial (other),Area 3160,Expired,425000.0,618000.0,0.0618,26.5,319,"Hi, I saw 3015 N Ocean Boulevard Unit#C-115 came off the market — I cover Ocean Blvd · SE 17th St. Commercial around here is trading near $319/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Boulevard Unit#209,Commercial (other),Area 3260,Expired,423040.0,1001000.0,0.0424,26.5,757,"Hi, I saw 2455 E Sunrise Boulevard Unit#209 came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $757/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Boulevard Unit#512,Commercial (other),Area 3260,Expired,416975.0,987000.0,0.0417,26.5,769,"Hi, I saw 2455 E Sunrise Boulevard Unit#512 came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $769/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Boulevard Unit#815,Commercial (other),Area 3260,Expired,369495.0,907000.0,0.0393,26.5,847,"Hi, I saw 2455 E Sunrise Boulevard Unit#815 came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $847/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
2455 E Sunrise Boulevard Unit#502,Commercial (other),Area 3260,Expired,359775.0,921000.0,0.0417,26.5,832,"Hi, I saw 2455 E Sunrise Boulevard Unit#502 came off the market — I cover Sunrise Blvd · Oakland Park Blvd. Commercial around here is trading near $832/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
3015 N Ocean Boulevard Unit#C-115,Commercial (other),Area 3160,Expired,350000.0,618000.0,0.075,26.5,319,"Hi, I saw 3015 N Ocean Boulevard Unit#C-115 came off the market — I cover Ocean Blvd · SE 17th St. Commercial around here is trading near $319/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
3015 N Ocean Boulevard Unit#C-126,Commercial (other),Area 3160,Expired,315000.0,618000.0,0.0834,26.5,319,"Hi, I saw 3015 N Ocean Boulevard Unit#C-126 came off the market — I cover Ocean Blvd · SE 17th St. Commercial around here is trading near $319/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
655 NW 22nd Road,Commercial (other),Area 3560,Cancelled,192000.0,1166000.0,0.1297,26.5,635,"Hi, I saw 655 NW 22nd Road came off the market — I cover Broward Blvd · Sunrise Blvd. Commercial around here is trading near $635/SF and leasing around $26/SF. I think it can be positioned to actually sell — got two minutes?"
3045 N Federal Hwy Unit#6,Office,Area 3070,Expired,170000.0,265000.0,0.0375,17.0,662,"Hi, I saw 3045 N Federal Hwy Unit#6 came off the market — I cover Federal Hwy. Office around here is trading near $662/SF and leasing around $17/SF. I think it can be positioned to actually sell — got two minutes?"
1400 S Federal Highway,Commercial (other),Area 3600,UnderContract,10500000.0,7528000.0,0.0619,26.5,157,Hi — you're on the market at 1400 S Federal Highway for $10.50M ($219/SF). Comparable commercial on SE 17th St · Federal Hwy has been closer to $157/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
815 NE 13th Street,Commercial (other),Area 3380,Active,4900000.0,3733000.0,0.0374,26.5,276,Hi — you're on the market at 815 NE 13th Street for $4.90M ($362/SF). Comparable commercial on Wilton Dr · Federal Hwy has been closer to $276/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
"804-810 NE 4th Avenue Unit#804, 805 & 810",Commercial (other),Area 3380,Active,4900000.0,4062000.0,0.0449,26.5,250,"Hi — you're on the market at 804-810 NE 4th Avenue Unit#804, 805 & 810 for $4.90M ($302/SF). Comparable commercial on Wilton Dr · Federal Hwy has been closer to $250/SF; I have a read on where it clears and a few active buyers. Worth a quick call?"
101-105 SE 26 Street,Multifamily,Area 3570,Active,4000000.0,3364000.0,0.0464,15.4,178,Hi — you're on the market at 101-105 SE 26 Street for $4.00M ($212/SF). Comparable multifamily on the area has been closer to $178/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
101-105 SE 26th Street,Multifamily,Area 3570,Active,4000000.0,3364000.0,0.0464,15.4,178,Hi — you're on the market at 101-105 SE 26th Street for $4.00M ($212/SF). Comparable multifamily on the area has been closer to $178/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
929 NE 17th Way,Special Purpose,Area 3370,Active,3995000.0,3483000.0,0.0664,7.3,172,Hi — you're on the market at 929 NE 17th Way for $4.00M ($197/SF). Comparable special-purpose on Dixie Hwy · Oakland Park Blvd has been closer to $172/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
637 NE 4th Ave,Multifamily,Area 3810,Active,3749000.0,2754000.0,,15.4,408,Hi — you're on the market at 637 NE 4th Ave for $3.75M ($555/SF). Comparable multifamily on Broward Blvd has been closer to $408/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
3001 NE 6 Avenue,Mixed Use,Area 3370,Active,2800000.0,1929000.0,0.0393,20.2,164,Hi — you're on the market at 3001 NE 6 Avenue for $2.80M ($238/SF). Comparable mixed-use on Dixie Hwy · Oakland Park Blvd has been closer to $164/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
749 NE 16th Avenue,Multifamily,Area 3800,Active,2500000.0,2162000.0,0.0376,15.4,226,Hi — you're on the market at 749 NE 16th Avenue for $2.50M ($261/SF). Comparable multifamily on Andrews Ave · SE 17th St has been closer to $226/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
2617 NE 13th Court,Multifamily,Area 3260,Active,2475000.0,2538000.0,0.0412,15.4,244,Hi — you're on the market at 2617 NE 13th Court for $2.48M ($238/SF). Comparable multifamily on Sunrise Blvd · Oakland Park Blvd has been closer to $244/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
1730 NE 7th St Unit#1-5,Multifamily,Area 3270,Active,2149000.0,2056000.0,0.0303,15.4,310,Hi — you're on the market at 1730 NE 7th St Unit#1-5 for $2.15M ($324/SF). Comparable multifamily on Sunrise Blvd has been closer to $310/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
1327 SE 2nd Ave,Office,Area 3800,Active,2100000.0,1022000.0,0.0703,17.0,110,Hi — you're on the market at 1327 SE 2nd Ave for $2.10M ($226/SF). Comparable office on Andrews Ave · SE 17th St has been closer to $110/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
2745 E Oakland Park Boulevard,Commercial (other),Area 3250,Active,2100000.0,2251000.0,0.0484,26.5,300,Hi — you're on the market at 2745 E Oakland Park Boulevard for $2.10M ($280/SF). Comparable commercial on Oakland Park Blvd has been closer to $300/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
1210 NE 8th Ave,Flex,Area 3380,Active,1999000.0,2628000.0,0.047,,412,Hi — you're on the market at 1210 NE 8th Ave for $2.00M ($313/SF). Comparable flex on Wilton Dr · Federal Hwy has been closer to $412/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
1143 NE 7th Ave,Mixed Use,Area 3380,UnderContract,1900000.0,1884000.0,0.0315,20.2,295,Hi — you're on the market at 1143 NE 7th Ave for $1.90M ($298/SF). Comparable mixed-use on Wilton Dr · Federal Hwy has been closer to $295/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
15 NW 9th Ave,Industrial,Area 3470,Active,1799000.0,1939000.0,0.0377,19.4,277,Hi — you're on the market at 15 NW 9th Ave for $1.80M ($257/SF). Comparable industrial on Davie Blvd · Las Olas Blvd has been closer to $277/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
620 SW 7th St Unit#1-6,Multifamily,Area 3470,Active,1749000.0,1801000.0,0.0453,15.4,223,Hi — you're on the market at 620 SW 7th St Unit#1-6 for $1.75M ($217/SF). Comparable multifamily on Davie Blvd · Las Olas Blvd has been closer to $223/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
3015 N Ocean Boulevard Unit#C1-C8,Mixed Use,Area 3160,Active,1040000.0,702000.0,0.0468,20.2,135,Hi — you're on the market at 3015 N Ocean Boulevard Unit#C1-C8 for $1.04M ($200/SF). Comparable mixed-use on Ocean Blvd · SE 17th St has been closer to $135/SF; I have a read on where it clears and a few active buyers. Worth a quick call?
